id,control_id,name,category_id,category_name,description
HITRUST-00.a,00.a,Information Security Management Program,HITRUST-CAT-0,Information Security Management Program,Information Security Management Program
HITRUST-01.a,01.a,Access Control Policy,HITRUST-CAT-1,Access Control,Access Control Policy
HITRUST-01.b,01.b,User Registration,HITRUST-CAT-1,Access Control,User Registration
HITRUST-01.c,01.c,Privilege Management,HITRUST-CAT-1,Access Control,Privilege Management
HITRUST-01.d,01.d,User Password Management,HITRUST-CAT-1,Access Control,User Password Management
HITRUST-01.e,01.e,Review of User Access Rights,HITRUST-CAT-1,Access Control,Review of User Access Rights
HITRUST-01.f,01.f,Password Use,HITRUST-CAT-1,Access Control,Password Use
HITRUST-01.g,01.g,Unattended User Equipment,HITRUST-CAT-1,Access Control,Unattended User Equipment
HITRUST-01.h,01.h,Clear Desk and Clear Screen Policy,HITRUST-CAT-1,Access Control,Clear Desk and Clear Screen Policy
HITRUST-01.i,01.i,Policy on the Use of Network Services,HITRUST-CAT-1,Access Control,Policy on the Use of Network Services
HITRUST-01.j,01.j,User Authentication for External Connections,HITRUST-CAT-1,Access Control,User Authentication for External Connections
HITRUST-01.k,01.k,Equipment Identification in Networks,HITRUST-CAT-1,Access Control,Equipment Identification in Networks
HITRUST-01.l,01.l,Remote Diagnostic and Configuration Port Protection,HITRUST-CAT-1,Access Control,Remote Diagnostic and Configuration Port Protection
HITRUST-01.m,01.m,Segregation in Networks,HITRUST-CAT-1,Access Control,Segregation in Networks
HITRUST-01.n,01.n,Network Connection Control,HITRUST-CAT-1,Access Control,Network Connection Control
HITRUST-01.o,01.o,Network Routing Control,HITRUST-CAT-1,Access Control,Network Routing Control
HITRUST-01.p,01.p,Secure Log-on Procedures,HITRUST-CAT-1,Access Control,Secure Log-on Procedures
HITRUST-01.q,01.q,User Identification and Authentication,HITRUST-CAT-1,Access Control,User Identification and Authentication
HITRUST-01.r,01.r,Password Management System,HITRUST-CAT-1,Access Control,Password Management System
