id,control_id,text
HITRUST-00.a-OBJ,HITRUST-00.a,Implementing and managing an Information Security Management Program
HITRUST-01.a-OBJ,HITRUST-01.a,To control access to information assets and business processes according to business and security needs
HITRUST-01.b-OBJ,HITRUST-01.b,To ensure that authorized users are provided access to systems and services and unauthorized access is prevented
HITRUST-01.c-OBJ,HITRUST-01.c,To prevent unauthorized access and compromise of information systems through management of privileged access
HITRUST-01.d-OBJ,HITRUST-01.d,To ensure proper password allocation and management prevents unauthorized access
HITRUST-01.e-OBJ,HITRUST-01.e,To maintain appropriate access rights and prevent accumulation of excessive privileges
HITRUST-01.f-OBJ,HITRUST-01.f,To maintain security of passwords through proper use by users
HITRUST-01.g-OBJ,HITRUST-01.g,To prevent unauthorized access to information through unattended equipment
HITRUST-01.h-OBJ,HITRUST-01.h,"To reduce risk of unauthorized access, loss or damage to information during and outside normal working hours"
HITRUST-01.i-OBJ,HITRUST-01.i,To ensure user access to network services is properly authorized
HITRUST-01.j-OBJ,HITRUST-01.j,To prevent unauthorized remote access to information systems
HITRUST-01.k-OBJ,HITRUST-01.k,To control network connections and prevent unauthorized access
HITRUST-01.l-OBJ,HITRUST-01.l,To prevent unauthorized remote access to information systems and networks
HITRUST-01.m-OBJ,HITRUST-01.m,To prevent unauthorized access and protect network services and information
HITRUST-01.n-OBJ,HITRUST-01.n,To prevent unauthorized network connections that could compromise security
HITRUST-01.o-OBJ,HITRUST-01.o,To ensure security of information in networks and protection of connected services
HITRUST-01.p-OBJ,HITRUST-01.p,To prevent unauthorized access to information systems
HITRUST-01.q-OBJ,HITRUST-01.q,To prevent unauthorized user access and compromised user IDs
HITRUST-01.r-OBJ,HITRUST-01.r,To ensure system passwords are managed effectively and securely
HITRUST-01.s-OBJ,HITRUST-01.s,To prevent potential misuse or compromise of systems and information
HITRUST-01.t-OBJ,HITRUST-01.t,To reduce the risk of unauthorized access to information through unattended sessions
HITRUST-01.u-OBJ,HITRUST-01.u,To prevent unauthorized access to application information and functions
HITRUST-01.v-OBJ,HITRUST-01.v,To provide additional security for high-risk applications
HITRUST-01.w-OBJ,HITRUST-01.w,"To reduce opportunity for unauthorized modification, loss or disclosure of sensitive information"
HITRUST-01.x-OBJ,HITRUST-01.x,To ensure information security when using mobile computing and communication facilities
HITRUST-01.y-OBJ,HITRUST-01.y,"To protect information accessed, processed or stored at teleworking sites"
HITRUST-02.a-OBJ,HITRUST-02.a,"To ensure that employees, contractors and third-party users understand their responsibilities"
HITRUST-02.b-OBJ,HITRUST-02.b,To verify that candidates for employment are suitable and qualified for their roles
HITRUST-02.c-OBJ,HITRUST-02.c,"To ensure employees, contractors and third-party users are aware of and fulfill their security responsibilities"
HITRUST-02.d-OBJ,HITRUST-02.d,"To ensure that employees, contractors and third-party users are aware of information security threats"
HITRUST-02.e-OBJ,HITRUST-02.e,To ensure that employees are aware of information security threats and concerns and are equipped to support organizational security policy
HITRUST-02.f-OBJ,HITRUST-02.f,To address information security breaches effectively and deter future incidents
HITRUST-02.g-OBJ,HITRUST-02.g,"To ensure that employees, contractors and third-party users exit the organization or change employment in an orderly manner"
HITRUST-02.h-OBJ,HITRUST-02.h,"To ensure that all employees, contractors and third-party users return all organizational assets in their possession"
HITRUST-02.i-OBJ,HITRUST-02.i,To ensure that access rights are removed appropriately upon termination
HITRUST-03.a-OBJ,HITRUST-03.a,To ensure risks to the organization's information and information processing facilities are managed
HITRUST-03.b-OBJ,HITRUST-03.b,"To systematically identify, analyze and evaluate information security risks"
HITRUST-03.c-OBJ,HITRUST-03.c,To reduce risks to an acceptable level
HITRUST-03.d-OBJ,HITRUST-03.d,To monitor and review the risk management process
HITRUST-04.a-OBJ,HITRUST-04.a,To provide management direction and support for information security
HITRUST-04.b-OBJ,HITRUST-04.b,"To ensure the information security policy remains suitable, adequate and effective"
HITRUST-05.a-OBJ,HITRUST-05.a,To establish a management framework to initiate and control the implementation and operation of information security
HITRUST-05.b-OBJ,HITRUST-05.b,To reduce opportunities for unauthorized modification or misuse of information or services
HITRUST-05.c-OBJ,HITRUST-05.c,To maintain appropriate contacts with relevant authorities
HITRUST-05.d-OBJ,HITRUST-05.d,To maintain awareness of best practice and stay up to date with security information
HITRUST-05.e-OBJ,HITRUST-05.e,To ensure that information security is designed and implemented within IS projects
HITRUST-05.f-OBJ,HITRUST-05.f,To maintain the security of the organization's information and information processing facilities
HITRUST-05.g-OBJ,HITRUST-05.g,To ensure protection of the organization's assets that are accessible by third parties
HITRUST-05.h-OBJ,HITRUST-05.h,To maintain an agreed level of information security and service delivery in line with third party agreements
HITRUST-05.i-OBJ,HITRUST-05.i,To protect organizational assets that are accessible by customers
HITRUST-05.j-OBJ,HITRUST-05.j,To satisfy security requirements in outsourcing contracts
HITRUST-05.k-OBJ,HITRUST-05.k,To maintain information security and service delivery in line with third party agreements
HITRUST-06.a-OBJ,HITRUST-06.a,"To avoid breaches of any law, statutory, regulatory or contractual obligations"
HITRUST-06.b-OBJ,HITRUST-06.b,To ensure compliance with legal restrictions on the use of material which may be protected by intellectual property rights
