framework_id,rule_name
HITRUST 11.6.0,16 CFR 314: Standards for Safeguarding Customer Information
HITRUST 11.6.0,21 CFR Part 11 (2024)
HITRUST 11.6.0,23 NYCRR 500 (2nd Amendment)
HITRUST 11.6.0,California Consumer Privacy Act § 1798
HITRUST 11.6.0,Cybersecurity Act 2018 (Singapore)
HITRUST 11.6.0,Digital Operational Resilience Act
HITRUST 11.6.0,EU GDPR v2023
HITRUST 11.6.0,FTC Red Flags Rule (16 CFR 681)
HITRUST 11.6.0,Federal Information Security Management Act (FISMA)
HITRUST 11.6.0,HIPAA Breach Notification Rule
HITRUST 11.6.0,HIPAA Privacy Rule
HITRUST 11.6.0,HIPAA Security Rule
HITRUST 11.6.0,NAIC Insurance Data Security Model Law
HITRUST 11.6.0,NY DoH Title 10 Section 405.46
HITRUST 11.6.0,Network and Information Security (NIS) Directive
HITRUST 11.6.0,Ontario Personal Health Information Protection Act
HITRUST 11.6.0,Singapore Personal Data Protection Act (2023)
HITRUST 11.6.0,South Carolina Insurance Data Security Act (SCIDSA)
HITRUST 11.6.0,State of Massachusetts Data Protection Act (201 CMR 17.00) 2024
HITRUST 11.6.0,State of Nevada Security and Privacy of Personal Information (NRS 603A)
HITRUST 11.6.0,Texas Business and Commerce Code Chapter 521
HITRUST 11.6.0,Texas Medical Records Privacy Act
