control_id,requirement_id,assurance_level
00.a,IMP-00.a-L1,Level 1 (Validated)
00.a,IMP-00.a-L2,Level 2 (Validated)
00.a,IMP-00.a-L3,Level 3 (Certified)
00.a,IMP-00.a-CMS,Level CMS
00.a,IMP-00.a-HIX,Level HIX
00.a,IMP-00.a-PCI,Level PCI
00.a,IMP-00.a-NYDOH,Level NYDOH
00.a,IMP-00.a-DGF,Level DGF
00.a,IMP-00.a-HICP,Level HICP
01.a,IMP-01.a-L1,Level 1 (Validated)
01.a,IMP-01.a-L2,Level 2 (Validated)
01.a,IMP-01.a-L3,Level 3 (Certified)
01.a,IMP-01.a-CMS,Level CMS
01.a,IMP-01.a-NYDOH,Level NYDOH
01.a,IMP-01.a-HICP,Level HICP
01.a,IMP-01.a-NIS2,Level NIS2
01.b,IMP-01.b-L1,Level 1 (Validated)
01.b,IMP-01.b-L2,Level 2 (Validated)
01.b,IMP-01.b-L3,Level 3 (Certified)
01.b,IMP-01.b-CIS,Level CIS
01.b,IMP-01.b-CMS,Level CMS
01.b,IMP-01.b-NYDOH,Level NYDOH
01.c,IMP-01.c-L1,Level 1 (Validated)
01.c,IMP-01.c-L2,Level 2 (Validated)
01.c,IMP-01.c-L3,Level 3 (Certified)
01.c,IMP-01.c-CIS,Level CIS
01.c,IMP-01.c-CMS,Level CMS
01.c,IMP-01.c-HIE,Level HIE
01.c,IMP-01.c-HIX,Level HIX
01.c,IMP-01.c-NYDOH,Level NYDOH
01.d,IMP-01.d-L1,Level 1 (Validated)
01.d,IMP-01.d-L2,Level 2 (Validated)
01.d,IMP-01.d-L3,Level 3 (Certified)
01.d,IMP-01.d-CIS,Level CIS
01.d,IMP-01.d-CMS,Level CMS
01.d,IMP-01.d-PCI,Level PCI
01.d,IMP-01.d-NYDOH,Level NYDOH
01.e,IMP-01.e-L1,Level 1 (Validated)
01.e,IMP-01.e-L2,Level 2 (Validated)
01.e,IMP-01.e-HIE,Level HIE
01.e,IMP-01.e-HIX,Level HIX
01.e,IMP-01.e-NYDOH,Level NYDOH
01.f,IMP-01.f-L1,Level 1 (Validated)
01.f,IMP-01.f-L2,Level 2 (Validated)
01.g,IMP-01.g-L1,Level 1 (Validated)
01.g,IMP-01.g-L2,Level 2 (Validated)
01.h,IMP-01.h-L1,Level 1 (Validated)
01.h,IMP-01.h-L2,Level 2 (Validated)
01.i,IMP-01.i-L1,Level 1 (Validated)
01.i,IMP-01.i-L2,Level 2 (Validated)
01.i,IMP-01.i-CMS,Level CMS
01.j,IMP-01.j-L1,Level 1 (Validated)
01.j,IMP-01.j-L2,Level 2 (Validated)
01.j,IMP-01.j-L3,Level 3 (Certified)
01.j,IMP-01.j-CIS,Level CIS
01.j,IMP-01.j-CMS,Level CMS
01.j,IMP-01.j-HIX,Level HIX
01.j,IMP-01.j-PCI,Level PCI
01.j,IMP-01.j-NYDOH,Level NYDOH
01.j,IMP-01.j-HICP,Level HICP
01.k,IMP-01.k-L1,Level 1 (Validated)
01.k,IMP-01.k-L2,Level 2 (Validated)
01.l,IMP-01.l-L1,Level 1 (Validated)
01.l,IMP-01.l-L2,Level 2 (Validated)
01.l,IMP-01.l-L3,Level 3 (Certified)
01.l,IMP-01.l-CMS,Level CMS
01.l,IMP-01.l-HICP,Level HICP
01.m,IMP-01.m-L1,Level 1 (Validated)
01.m,IMP-01.m-L2,Level 2 (Validated)
01.m,IMP-01.m-CIS,Level CIS
01.m,IMP-01.m-CMS,Level CMS
01.m,IMP-01.m-NYDOH,Level NYDOH
01.m,IMP-01.m-HICP,Level HICP
