requirement_id,assurance_level
IMP-00.a-L1,Level 1 (Validated)
IMP-00.a-L2,Level 2 (Validated)
IMP-00.a-L3,Level 3 (Certified)
IMP-00.a-CMS,Level CMS
IMP-00.a-HIX,Level HIX
IMP-00.a-PCI,Level PCI
IMP-00.a-NYDOH,Level NYDOH
IMP-00.a-DGF,Level DGF
IMP-00.a-HICP,Level HICP
IMP-01.a-L1,Level 1 (Validated)
IMP-01.a-L2,Level 2 (Validated)
IMP-01.a-L3,Level 3 (Certified)
IMP-01.a-CMS,Level CMS
IMP-01.a-NYDOH,Level NYDOH
IMP-01.a-HICP,Level HICP
IMP-01.a-NIS2,Level NIS2
IMP-01.b-L1,Level 1 (Validated)
IMP-01.b-L2,Level 2 (Validated)
IMP-01.b-L3,Level 3 (Certified)
IMP-01.b-CIS,Level CIS
IMP-01.b-CMS,Level CMS
IMP-01.b-NYDOH,Level NYDOH
IMP-01.c-L1,Level 1 (Validated)
IMP-01.c-L2,Level 2 (Validated)
IMP-01.c-L3,Level 3 (Certified)
IMP-01.c-CIS,Level CIS
IMP-01.c-CMS,Level CMS
IMP-01.c-HIE,Level HIE
IMP-01.c-HIX,Level HIX
IMP-01.c-NYDOH,Level NYDOH
IMP-01.d-L1,Level 1 (Validated)
IMP-01.d-L2,Level 2 (Validated)
IMP-01.d-L3,Level 3 (Certified)
IMP-01.d-CIS,Level CIS
IMP-01.d-CMS,Level CMS
IMP-01.d-PCI,Level PCI
IMP-01.d-NYDOH,Level NYDOH
IMP-01.e-L1,Level 1 (Validated)
IMP-01.e-L2,Level 2 (Validated)
IMP-01.e-HIE,Level HIE
IMP-01.e-HIX,Level HIX
IMP-01.e-NYDOH,Level NYDOH
IMP-01.f-L1,Level 1 (Validated)
IMP-01.f-L2,Level 2 (Validated)
IMP-01.g-L1,Level 1 (Validated)
IMP-01.g-L2,Level 2 (Validated)
IMP-01.h-L1,Level 1 (Validated)
IMP-01.h-L2,Level 2 (Validated)
IMP-01.i-L1,Level 1 (Validated)
IMP-01.i-L2,Level 2 (Validated)
IMP-01.i-CMS,Level CMS
IMP-01.j-L1,Level 1 (Validated)
IMP-01.j-L2,Level 2 (Validated)
IMP-01.j-L3,Level 3 (Certified)
IMP-01.j-CIS,Level CIS
IMP-01.j-CMS,Level CMS
IMP-01.j-HIX,Level HIX
IMP-01.j-PCI,Level PCI
IMP-01.j-NYDOH,Level NYDOH
IMP-01.j-HICP,Level HICP
IMP-01.k-L1,Level 1 (Validated)
IMP-01.k-L2,Level 2 (Validated)
IMP-01.l-L1,Level 1 (Validated)
IMP-01.l-L2,Level 2 (Validated)
IMP-01.l-L3,Level 3 (Certified)
IMP-01.l-CMS,Level CMS
IMP-01.l-HICP,Level HICP
IMP-01.m-L1,Level 1 (Validated)
IMP-01.m-L2,Level 2 (Validated)
IMP-01.m-CIS,Level CIS
IMP-01.m-CMS,Level CMS
IMP-01.m-NYDOH,Level NYDOH
IMP-01.m-HICP,Level HICP
IMP-01.n-L1,Level 1 (Validated)
IMP-01.n-L2,Level 2 (Validated)
IMP-01.n-CMS,Level CMS
IMP-01.n-NYDOH,Level NYDOH
IMP-01.o-L1,Level 1 (Validated)
IMP-01.o-CMS,Level CMS
IMP-01.o-HICP,Level HICP
IMP-01.p-L1,Level 1 (Validated)
IMP-01.p-L2,Level 2 (Validated)
IMP-01.p-L3,Level 3 (Certified)
IMP-01.p-CIS,Level CIS
IMP-01.p-CMS,Level CMS
IMP-01.q-L1,Level 1 (Validated)
IMP-01.q-L2,Level 2 (Validated)
IMP-01.q-L3,Level 3 (Certified)
IMP-01.q-CIS,Level CIS
IMP-01.q-CMS,Level CMS
IMP-01.q-HIX,Level HIX
IMP-01.q-PCI,Level PCI
IMP-01.q-NYDOH,Level NYDOH
IMP-01.q-HICP,Level HICP
IMP-01.r-L1,Level 1 (Validated)
IMP-01.r-L2,Level 2 (Validated)
IMP-01.s-L1,Level 1 (Validated)
IMP-01.s-L2,Level 2 (Validated)
IMP-01.t-L1,Level 1 (Validated)
IMP-01.t-L2,Level 2 (Validated)
IMP-01.t-CIS,Level CIS
IMP-01.t-CMS,Level CMS
IMP-01.t-HIX,Level HIX
IMP-01.t-NYDOH,Level NYDOH
IMP-01.u-L1,Level 1 (Validated)
IMP-01.v-L1,Level 1 (Validated)
IMP-01.v-L2,Level 2 (Validated)
IMP-01.v-L3,Level 3 (Certified)
IMP-01.v-CMS,Level CMS
IMP-01.v-PCI,Level PCI
IMP-01.v-NYDOH,Level NYDOH
IMP-01.w-L1,Level 1 (Validated)
IMP-01.w-L2,Level 2 (Validated)
IMP-01.w-L3,Level 3 (Certified)
IMP-01.w-CMS,Level CMS
IMP-01.x-L1,Level 1 (Validated)
IMP-01.x-L2,Level 2 (Validated)
IMP-01.x-CIS,Level CIS
IMP-01.x-CMS,Level CMS
IMP-01.x-HIX,Level HIX
IMP-01.x-NYDOH,Level NYDOH
IMP-01.y-L1,Level 1 (Validated)
IMP-01.y-L2,Level 2 (Validated)
IMP-01.y-L3,Level 3 (Certified)
IMP-02.a-L1,Level 1 (Validated)
IMP-02.a-L2,Level 2 (Validated)
IMP-02.a-DGF,Level DGF
IMP-02.b-L1,Level 1 (Validated)
IMP-02.b-L2,Level 2 (Validated)
IMP-02.b-L3,Level 3 (Certified)
IMP-02.b-CMS,Level CMS
IMP-02.b-NYDOH,Level NYDOH
IMP-02.c-L1,Level 1 (Validated)
IMP-02.c-L2,Level 2 (Validated)
IMP-02.c-CMS,Level CMS
IMP-02.c-NIS2,Level NIS2
IMP-02.d-L1,Level 1 (Validated)
IMP-02.d-L2,Level 2 (Validated)
IMP-02.d-CMS,Level CMS
IMP-02.d-DGF,Level DGF
IMP-02.e-L1,Level 1 (Validated)
IMP-02.e-L2,Level 2 (Validated)
IMP-02.e-L3,Level 3 (Certified)
IMP-02.e-CIS,Level CIS
IMP-02.e-CMS,Level CMS
IMP-02.e-Federal,Level Federal
IMP-02.e-PCI,Level PCI
IMP-02.e-NYDOH,Level NYDOH
IMP-02.e-DGF,Level DGF
IMP-02.f-L1,Level 1 (Validated)
IMP-02.f-L2,Level 2 (Validated)
IMP-02.f-HIPAA,Level HIPAA
IMP-02.f-NIS2,Level NIS2
