rule_name,cfr_reference
16 CFR 314: Standards for Safeguarding Customer Information,16 CFR 314
21 CFR Part 11 (2024),21 CFR Part 11
23 NYCRR 500 (2nd Amendment),23 NYCRR 500
California Consumer Privacy Act § 1798,§ 1798
Cybersecurity Act 2018 (Singapore),
Digital Operational Resilience Act,
EU GDPR v2023,
FTC Red Flags Rule (16 CFR 681),16 CFR 681
Federal Information Security Management Act (FISMA),
HIPAA Breach Notification Rule,
HIPAA Privacy Rule,
HIPAA Security Rule,
NAIC Insurance Data Security Model Law,
NY DoH Title 10 Section 405.46,Title 10 Section 405.46
Network and Information Security (NIS) Directive,
Ontario Personal Health Information Protection Act,
Singapore Personal Data Protection Act (2023),
South Carolina Insurance Data Security Act (SCIDSA),
State of Massachusetts Data Protection Act (201 CMR 17.00) 2024,201 CMR 17.00
State of Nevada Security and Privacy of Personal Information (NRS 603A),NRS 603A
Texas Business and Commerce Code Chapter 521,Chapter 521
Texas Medical Records Privacy Act,
