externalreference_id,title,issuer,date,url,text,source_document
ref_oig_physician_guidance,OIG Compliance Program Guidance for Individual and Small Group Physician Practices,Office of Inspector General,"September 25, 2000",www.oig.hhs.gov/authorities/docs/physician.pdf,"On September 25, 2000, the Office of Inspector General (OIG) issued final Compliance Program Guidance for Individual and Small Group Physician Practices. This document contains a detailed outline of how the OIG believes individual and small group physician practices should approach compliance.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ref_oig_publications,OIG work plan and semiannual reports,Office of Inspector General,,www.oig.hhs.gov/publications.html,"Each year, the work plan identifies areas of physician practices that will be the focus of OIG investigations. These documents are available on the OIG's website at www.oig.hhs.gov/publications.html.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ref_hcfa_medlearn,Medicare Learning Network,HCFA,,www.hcfa.gov/medlearn,One excellent method of training staff regarding fraud and abuse is through a computer/Web-based training program. Such programs can be found through the Medicare Learning Network at www.hcfa.gov/medlearn.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ref_leie,List of Excluded Individuals/Entities,Office of Inspector General,,http://exclusions.oig.hhs.gov/,"To make this determination, a search should be made of the OIG's “List of Excluded Individuals/Entities” at the following website: http://exclusions.oig.hhs.gov/.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ref_epls,List of Parties Excluded from Federal Procurement and Nonprocurement Programs,General Services Administration,,http://epls.arnet.gov,"In addition, a search should be made of the General Services Administration's “List of Parties Excluded from Federal Procurement and Nonprocurement Programs” at http://epls.arnet.gov.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ref_hcfac_report,Department of Health and Human Services and the Department of Justice Health Care Fraud and Abuse Control Program Annual Report Fiscal Year 2001,HHS and DOJ,Fiscal Year 2001,,"MONETARY RESULTS IN 2001. The Federal government won or negotiated more than $1.7 billion in judgments, settlements, and administrative impositions in health care fraud cases and proceedings. As a result of these activities, as well as prior year judgments, settlements, and administrative impositions, the Federal government collected more than $1.3 billion. More than $1 billion of the funds collected and disbursed in 2001 were returned to the Medicare Trust Fund. An additional $42.8 million was recovered as the Federal share of Medicaid restitution. This is the largest return to the government since the inception of the Program. ENFORCEMENT ACTIONS. Federal prosecutors filed 445 criminal indictments in health care fraud cases in 2001. A total of 465 defendants were convicted for health care fraud-related crimes in 2001. There were also 1,746 civil matters pending and 188 civil cases filed in 2001. HHS excluded 3,756 individuals and entities from participating in the Medicare and Medicaid programs, or other federally sponsored health care programs, most as a result of licensure revocations. This record number of exclusion actions is the result of successful collaboration with state Medicaid Fraud Control Units (MFCUs) and state licensure boards.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ref_mms_education,MMS Education,Massachusetts Medical Society,,,"The MMS provides seminars on a variety of topics, including Medicare documentation requirements, coding and billing, and medical record audits. The MMS also offers seminars that provide step-by-step instructions for implementing a compliance plan in the medical office and how to respond to an investigation. Contact the MMS Medical Education Department for information on upcoming programs.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ref_mms_personalized,MMS Personalized Assistance,Massachusetts Medical Society,,,The MMS will provide reimbursement assistance in response to questions over the phone.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ref_mms_resource_kits,MMS Resource Kits,Massachusetts Medical Society,,,The MMS provides informational materials on physician compliance and other major topics affecting physician practices.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
ref_mms_consulting,MMS Attorney and Practice Management Consulting,Massachusetts Medical Society,,pprc@massmed.org,"The MMS has available a full spectrum of credentialed consultants who can assist you in coding, billing, and compliance issues. To find out more about these and other MMS services, contact the Physician Practice Resource Center at pprc@massmed.org or the Department of Health Policy/Health Systems at (781) 434-7222.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
