exclusionground_id,exclusion_type,text,source_document
exg_m1,Mandatory,A criminal offense related to the delivery of an item or service under Medicare or Medicaid.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_m2,Mandatory,A criminal offense under federal or state law relating to the neglect or abuse of a patient in connection with the delivery of a health care item or service.,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_m3,Mandatory,"A felony under federal or state law relating to fraud, theft, embezzlement, breach of fiduciary responsibility, or other financial misconduct against a health care program financed by any federal, state, or local government agency.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_m4,Mandatory,"A felony under federal or state law relating to the unlawful manufacture, distribution, prescription, or dispensing of a controlled substance.","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p1,Permissive,Misdemeanor convictions relating to health care fraud,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p2,Permissive,Convictions relating to fraud in non-health care programs,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p3,Permissive,Convictions for obstructing an investigation,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p4,Permissive,Misdemeanor convictions for controlled substance violations,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p5,Permissive,License revocations or suspensions,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p6,Permissive,"Fraud, kickbacks, and other prohibited activities","Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p7,Permissive,Submitting claims for unnecessary or substandard services,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p8,Permissive,Submitting false or improper claims,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p9,Permissive,Exclusion or suspension from any other federal or state health care program,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p10,Permissive,Defaulting on a health education loan or scholarship obligation,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p11,Permissive,Entities controlled by an individual who is subject to mandatory exclusion,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p12,Permissive,Failure to disclose required information,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p13,Permissive,Failure to grant immediate access to a fraud investigator,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
exg_p14,Permissive,Failure to take corrective action,"Massachusetts Medical Society, Fraud and Abuse Compliance: Implementing a Compliance Plan (2003) (KB 2/USA/MAfraud.PDF)"
