subsection_id,number,title,section_id,page,source_document
3.1,3.1,Role of the Board of Directors and Senior Management,3,7,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.2,3.2,"Policies, Standards and Procedures",3,9,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.3,3.3,Management of Information Assets,3,9,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.4,3.4,Management of Third Party Services,3,10,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.5,3.5,Competency and Background Review,3,10,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
3.6,3.6,Security Awareness and Training,3,11,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
4.1,4.1,Risk Management Framework,4,12,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
4.2,4.2,Risk Identification,4,13,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
4.3,4.3,Risk Assessment,4,13,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
4.4,4.4,Risk Treatment,4,13,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
4.5,4.5,"Risk Monitoring, Review and Reporting",4,13,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
5.1,5.1,Project Management Framework,5,15,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
5.2,5.2,Project Steering Committee,5,15,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
5.3,5.3,System Acquisition,5,15,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
5.4,5.4,System Development Life Cycle and Security-By-Design,5,16,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
5.5,5.5,System Requirements Analysis,5,17,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
5.6,5.6,System Design and Implementation,5,17,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
5.7,5.7,System Testing and Acceptance,5,17,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
5.8,5.8,Quality Management,5,18,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
6.1,6.1,"Secure Coding, Source Code Review and Application Security Testing",6,19,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
6.2,6.2,Agile Software Development,6,20,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
6.3,6.3,DevSecOps Management,6,20,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
6.4,6.4,Application Programming Interface Development,6,20,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
6.5,6.5,Management of End User Computing and Applications,6,22,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7.1,7.1,IT Service Management Framework,7,23,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7.2,7.2,Configuration Management,7,23,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7.3,7.3,Technology Refresh Management,7,23,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7.4,7.4,Patch Management,7,24,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7.5,7.5,Change Management,7,24,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7.6,7.6,Software Release Management,7,25,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7.7,7.7,Incident Management,7,25,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
7.8,7.8,Problem Management,7,27,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.1,8.1,System Availability,8,28,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.2,8.2,System Recoverability,8,28,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.3,8.3,Testing of Disaster Recovery Plan,8,29,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
8.4,8.4,System Backup and Recovery,8,30,"MAS Technology Risk Management Guidelines, January 2021 (KB 2/Singapore/MAS Technology Risk Management Guidelines.pdf)"
