control_id,family_id,control_name,control_text
AC-1,AC,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) an access control policy; and (b) procedures to facilitate the implementation of the access control policy and associated access controls."
AT-1,AT,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a security awareness and training policy; and (b) procedures to facilitate the implementation of the security awareness and training policy."
AU-1,AU,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) an audit and accountability policy; and (b) procedures to facilitate the implementation of the audit and accountability policy."
CA-1,CA,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a security assessment and authorization policy; and (b) procedures to facilitate the implementation of the security assessment and authorization policy."
CM-1,CM,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a configuration management policy; and (b) procedures to facilitate the implementation of the configuration management policy."
CP-1,CP,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a contingency planning policy; and (b) procedures to facilitate the implementation of the contingency planning policy."
IA-1,IA,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) an identification and authentication policy; and (b) procedures to facilitate the implementation of the identification and authentication policy."
IR-1,IR,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) an incident response policy; and (b) procedures to facilitate the implementation of the incident response policy."
MA-1,MA,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a system maintenance policy; and (b) procedures to facilitate the implementation of the system maintenance policy."
MP-1,MP,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a media protection policy; and (b) procedures to facilitate the implementation of the media protection policy."
PE-1,PE,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a physical and environmental protection policy; and (b) procedures to facilitate the implementation of the physical and environmental protection policy."
PL-1,PL,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a security planning policy; and (b) procedures to facilitate the implementation of the security planning policy."
PM-1,PM,Information Security Program Plan,"The organization develops and disseminates an organization-wide information security program plan."
PS-1,PS,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a personnel security policy; and (b) procedures to facilitate the implementation of the personnel security policy."
PT-1,PT,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a PII processing and transparency policy; and (b) procedures to facilitate the implementation of the PII processing and transparency policy."
RA-1,RA,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a risk assessment policy; and (b) procedures to facilitate the implementation of the risk assessment policy."
SA-1,SA,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a system and services acquisition policy; and (b) procedures to facilitate the implementation of the system and services acquisition policy."
SC-1,SC,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a system and communications protection policy; and (b) procedures to facilitate the implementation of the system and communications protection policy."
SI-1,SI,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a system and information integrity policy; and (b) procedures to facilitate the implementation of the system and information integrity policy."
SR-1,SR,Policy and Procedures,"The organization develops, documents, and disseminates to defined personnel or roles: (a) a supply chain risk management policy; and (b) procedures to facilitate the implementation of the supply chain risk management policy."
