externalinstrument_id,title,sr_number,source_document
ext_constitution,Federal Constitution,SR 101,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_pila,Federal Act of 18 December 1987 on Private International Law,SR 291,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_criminal_code,Criminal Code,SR 311.0,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_host_state_act,Host State Act of 22 June 2007,SR 192.12,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_apa,Administrative Procedure Act of 20 December 1968 (APA),SR 172.021,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_foia,Freedom of Information Act of 17 December 2004,SR 152.3,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_civil_code,Civil Code,SR 210,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_archiving_act,Archiving Act of 26 June 1998,SR 152.1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_fpa,Federal Personnel Act of 24 March 2000 (FPA),SR 172.220.1,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_acla,Federal Act of 22 March 1974 on Administrative Criminal Law (ACLA),SR 313.0,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_gaoa,Government and Administration Organisation Act of 21 March 1997,SR 172.010,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_fadp_1992,Federal Act of 19 June 1992 on Data Protection,,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
ext_schengen_dpa,Schengen-Data Protection Act of 28 September 2018,AS 2019 639,KB 2/Switzerland/Switzerland Revised Federal Act on Data Protection.pdf
