term_id,term,definition,definition_source,section_id,source_document
TERM-01,cybersecurity,"Any activity necessary to protect network and information systems, the users of such systems, and other persons affected by cyberthreats.",ENISA mandate (Regulation (EU) 2019/881),SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-02,cyberthreat,"Any potential circumstance, event or action that could damage, disrupt or otherwise adversely impact network and information systems, the users of such systems and other persons.",ENISA mandate (Regulation (EU) 2019/881),SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-03,Information and Communication Technology,"ICT stands for Information and Communication Technology. It is used in many different contexts and from a technical point of view ICT relates to digital computers and internet (communication) systems, including software, hardware and networks. From an economic and political standpoint, ICT relates to a cross sector of enterprises, including manufacturers, product suppliers or service providers relating to the ICT field.",EN16234-1:2019 e-Competence Framework (e-CF),SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-04,competence,"The demonstrated ability to apply knowledge, skills, and attitudes to achieve observable results. Examples are B.1. Application Development and E.3. Risk Management.",EN16234-1:2019 e-Competence Framework (e-CF),SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-05,skill,The ability to carry out managerial or technical activities and tasks on a cognitive or practical level; knowing how to do it.,EN16234-1:2019 e-Competence Framework (e-CF),SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-06,soft skills,"Interactive skills used to engage successfully with situations in the workplace; may refer to work quality, social interaction, or emotion. (also called transversal, transferrable, or behavioural skills)",EN16234-1:2019 e-Competence Framework (e-CF),SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-07,knowledge,Body of facts to be applied in a field of work or study; knowing what to do.,EN16234-1:2019 e-Competence Framework (e-CF),SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-08,attitude,Representation of the human element of an e-competence; it reflects on how a person integrates knowledge and skills and applies them appropriately in context.,EN16234-1:2019 e-Competence Framework (e-CF),SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-09,learning outcome,"Statement of what a person knows, understands and can perform on completion of a learning process",European Qualifications Framework (EQF),SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-10,role profile,"An outline or general document that demonstrates the relationship between specific activities or tasks in a role and the individual skills, competences and knowledge required to undertake them. Unlike a particular job, a role derives from an organisational need to do something. Assigned employees can meet organisational requirements by carrying out all or part of the tasks required to ensure their role.",Creative Leadership - Talent Management; CWA ICT Profiles,SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-11,job profile,"A context-specific and detailed description of what an employee does to assure that the job holder has no doubts about their tasks, duties, responsibilities and often those to whom they report. It usually contains precise information about the competences, skills and knowledge required and practical information about health and safety and remuneration.",ICT Profiles CWA,SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-12,proficiency level,"A clear indication of the degree of mastery that allows a professional to meet requirements in the performance of a competence. EN 16234-1 (e-CF) incorporates proficiency levels e-1 through to e-5. The e-CF characterises proficiency levels by combining levels of influence within a community, context complexity, and autonomy.",EN16234-1:2019 e-Competence Framework (e-CF),SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
TERM-13,learning level,"Indicates a grading and may be represented by a formal qualification. Learning levels generally derive from an education system or indicate a grading in a taxonomy of intellectual or learning behaviours (such as memorising, applying, interpreting) and have a relationship with proficiency levels but are to be distinguished from these.",EN16234-1:2019 e-Competence Framework (e-CF),SEC-4,"ENISA, User Manual: European Cybersecurity Skills Framework (ECSF), September 2022 (KB 2/Europe/ENISA European Cybersecurity Skills Framework User Manual.pdf)"
