source_id,target_id,rel_type,context_in_manual
PI-CISO-M-01,RP-01,ITEM_OF_PROFILE,Annex B.6 (ISACA use case) - quoted as 'Profile 1 CISO Mission'
PI-CISO-K-01,RP-01,ITEM_OF_PROFILE,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1
PI-CISO-K-02,RP-01,ITEM_OF_PROFILE,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1
PI-CISO-K-03,RP-01,ITEM_OF_PROFILE,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1
PI-CISO-K-04,RP-01,ITEM_OF_PROFILE,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1
PI-CISO-K-05,RP-01,ITEM_OF_PROFILE,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1
PI-CISO-K-06,RP-01,ITEM_OF_PROFILE,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1
PI-CISO-K-07,RP-01,ITEM_OF_PROFILE,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1
PI-CISO-K-08,RP-01,ITEM_OF_PROFILE,Annex B.6 (ISACA use case) - 'Key knowledge' extract of ECSF PROFILE 1
PI-CISO-S-01,RP-01,ITEM_OF_PROFILE,Chapter 2 - soft skills discussion
PI-EX2-T-01,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-T-01,RP-06,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
PI-EX2-T-02,RP-03,ILLUSTRATIVELY_DRAWN_FROM,"Example II: Crafting a job description (section 3.1) - the manual states these duties are included in the key tasks identified in the roles of Cyber Legal, Policy & Compliance Officer and Cybersecurity Auditor"
