source_id,target_id,rel_type,relationship_label,esco_code
ESCO-2149.2.8,RP-09,MAPS_TO_ECSF_PROFILE,might include,2149.2.8
ESCO-2310.1,RP-07,MAPS_TO_ECSF_PROFILE,might include,2310.1
ESCO-2356,RP-07,MAPS_TO_ECSF_PROFILE,might include,2356
ESCO-2511.18,RP-06,MAPS_TO_ECSF_PROFILE,might include,2511.18
ESCO-2519.2,RP-06,MAPS_TO_ECSF_PROFILE,might include,2519.2
ESCO-2529.1,RP-01,MAPS_TO_ECSF_PROFILE,is,2529.1
ESCO-2529.2,RP-11,MAPS_TO_ECSF_PROFILE,is,2529.2
ESCO-2529.3,RP-08,MAPS_TO_ECSF_PROFILE,might be included,2529.3
ESCO-2529.4,RP-12,MAPS_TO_ECSF_PROFILE,is,2529.4
ESCO-2529.6,RP-08,MAPS_TO_ECSF_PROFILE,might be included,2529.6
ESCO-2529.7,RP-05,MAPS_TO_ECSF_PROFILE,might be included,2529.7
ESCO-2529.7,RP-08,MAPS_TO_ECSF_PROFILE,might be included,2529.7
ESCO-2619.4,RP-03,MAPS_TO_ECSF_PROFILE,is,2619.4
