level_id,figure_id,dimension,scale,label,criteria,second_criteria,source_document
lik_5,fig_4_2,Likelihood of occurrence,5,Almost certain,"Existing controls: No controls in place | No policies or procedures, no responsible person(s) identified, no training, no management review",Frequency of noncompliance: Expected to occur in most circumstances; More than once per year,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
lik_4,fig_4_2,Likelihood of occurrence,4,Likely,Existing controls: Policies and procedures in place but neither mandated nor updated regularly | Controls not tested or tested with unsatisfactory results | Responsible person(s) identified | Some formal and informal (on-the-job) training | No management reviews,Frequency of noncompliance: Will probably occur; At least once per year,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
lik_3,fig_4_2,Likelihood of occurrence,3,Possible,"Existing controls: Policies mandated, but not updated regularly | Controls tested only occasionally, with mixed results | Responsible person(s) identified | Training is provided when needed | Occasional management reviews are performed, but not documented",Frequency of noncompliance: Might occur at some time; At least once in 5 years,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
lik_2,fig_4_2,Likelihood of occurrence,2,Unlikely,"Existing controls: Policies mandated and updated regularly | Controls tested with mostly positive results | Regular training provided to the identified responsible person(s), but not documented | Regular management reviews are performed, but not documented",Frequency of noncompliance: Could occur at some time; At least once in 10 years,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
lik_1,fig_4_2,Likelihood of occurrence,1,Rare,"Existing controls: Policies mandated and updated regularly | Controls regularly tested with positive results | Regular mandatory training is provided to the identified responsible person(s), and the training is documented | Regular management reviews are performed and documented",Frequency of noncompliance: May occur only in exceptional circumstances; Less than once in 10 years,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
imp_1,fig_4_3,Impact of compliance risks,1,Insignificant,Legal: In compliance | Financial: < $1 million | Operational (Potential Disruption): < 1/2 day | Reputation (Image): No press exposure | Health and Safety: No injuries | Ability to Pursue Strategic Goals: Little or no impact,,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
imp_2,fig_4_3,Impact of compliance risks,2,Minor,Legal: Civil violation with little/no fines | Financial: $1–$5 million | Operational (Potential Disruption): < 1 day | Reputation (Image): Localized negative impact on reputation (such as a single large customer) but recoverable | Health and Safety: First aid treatment | Ability to Pursue Strategic Goals: Minor impact,,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
imp_3,fig_4_3,Impact of compliance risks,3,Serious,Legal: Significant civil fines/penalties | Financial: $5–$25 million | Operational (Potential Disruption): 1 day–1 week | Reputation (Image): Negative media coverage in a specific U.S. region or a foreign country | Health and Safety: Medical treatment | Ability to Pursue Strategic Goals: Major impact,,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
imp_4,fig_4_3,Impact of compliance risks,4,Disastrous,"Legal: Serious violation, criminal prosecution probable | Financial: $25–$100 million | Operational (Potential Disruption): 1 week–1 month | Reputation (Image): Negative U.S. national or international media coverage (not front page) | Health and Safety: Death or extensive injuries | Ability to Pursue Strategic Goals: Significant impact",,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
imp_5,fig_4_3,Impact of compliance risks,5,Catastrophic,"Legal: Significant violation, criminal conviction probable, loss of accreditation or licensure | Financial: > $100 million | Operational (Potential Disruption): > 1 month | Reputation (Image): Sustained U.S. national (and international) negative media coverage (front page of business section) | Health and Safety: Multiple deaths or several permanent disabilities | Ability to Pursue Strategic Goals: Loss of accreditation or license",,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
