scf_control_code,scf_control_name,scf_domain,dpdpa_section_id,dpdpa_section_number,dpdpa_title,relationship_type,relationship_strength,mapping_quality
GOV-01,Cybersecurity Data Privacy Program Governance,Governance,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
GOV-02,Applicable Statutory Regulatory Contractual Requirements Definition,Governance,SEC-03,3,Applicability,Intersects With,5,Good
GOV-03,Risk-Based Program Definition,Governance,SEC-19,19,Data Protection Impact Assessment,Subset Of,10,Excellent
GOV-04,Established and Governed Operational Controls,Governance,SEC-17,7,Reasonable security practices,Intersects With,5,Good
GOV-05,Applicable Laws Determination,Governance,SEC-03,3,Applicability,Intersects With,5,Good
PRI-01,Data Privacy Program,Data Privacy,SEC-04,4,Data Fiduciary to provide notice,Subset Of,10,Excellent
PRI-02,Personal Data Protection,Data Privacy,SEC-17,7,Reasonable security practices,Subset Of,10,Excellent
PRI-03,Data Retention and Disposal,Data Privacy,SEC-10,10,Retention of personal data,Subset Of,10,Excellent
PRI-04,Privacy by Design,Data Privacy,SEC-07,7,Reasonable security practices,Equal,10,Excellent
PRI-05,Personal Data Processing,Data Privacy,SEC-06,6,Processing of personal data,Intersects With,5,Good
PRI-06,Minimum Necessary Rule,Data Privacy,SEC-06,6,Processing of personal data,Equal,10,Excellent
PRI-07,Sensitive Information Classification,Data Privacy,SEC-19,19,Data Protection Impact Assessment,Subset Of,10,Excellent
PRI-08,Data Minimization,Data Privacy,SEC-06,6,Processing of personal data,Intersects With,5,Good
PRI-09,Third Party Data Sharing Restrictions,Data Privacy,SEC-24,24,Transfer of personal data,Subset Of,10,Excellent
PRI-10,Genetic Information Protection,Data Privacy,SEC-29,29,Personal data of children,Equal,10,Excellent
PRI-11,Right to Know Implementation,Data Privacy,SEC-11,11,Right to access personal data,Subset Of,10,Excellent
PRI-12,Right to Know Sales Implementation,Data Privacy,SEC-11,11,Right to access personal data,Subset Of,10,Excellent
PRI-13,Opt-Out Mechanism Implementation,Data Privacy,SEC-06,6,Processing of personal data,Subset Of,10,Excellent
PRI-14,Opt-Out Response Procedures,Data Privacy,SEC-06,6,Processing of personal data,Subset Of,10,Excellent
PRI-15,Non-Discrimination Implementation,Data Privacy,SEC-04,4,Data Fiduciary to provide notice,Subset Of,10,Excellent
DCH-01,Data Classification Scheme,Data Classification and Handling,SEC-02,2,Definitions,Subset Of,10,Excellent
DCH-02,Data Handling Procedures,Data Classification and Handling,SEC-17,7,Reasonable security practices,Intersects With,5,Good
DCH-03,Sensitive Data Inventory,Data Classification and Handling,SEC-19,19,Data Protection Impact Assessment,Intersects With,5,Good
DCH-04,Data Quality Management,Data Classification and Handling,SEC-12,12,Right to correction of personal data,Intersects With,5,Good
DCH-05,Data Disposal Procedures,Data Classification and Handling,SEC-13,13,Right to erasure of personal data,Subset Of,10,Excellent
DCH-06,Sensitive Data Handling,Data Classification and Handling,SEC-29,29,Personal data of children,Subset Of,10,Excellent
