SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,NIST_PMF_1_1_Function,NIST_PMF_1_1_Category,NIST_PMF_1_1_Subcategory
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Privacy Program Governance,GV-P,GV-PM,GV-PM-P1
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Governance Program Execution,GV-P,GV-PM,GV-PM-P2
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Leadership Engagement,GV-P,GV-PM,GV-PM-P3
Cybersecurity Data Privacy Governance,GOV,GOV-02,Applicable Statutory Regulatory Contractual Requirements Definition,GV-P,GV-PM,GV-PM-P4
Cybersecurity Data Privacy Governance,GOV,GOV-03,Risk-Based Program Definition,GV-P,GV-RM,GV-RM-P1
Cybersecurity Data Privacy Governance,GOV,GOV-03.1,Risk Assessment Program,GV-P,GV-RM,GV-RM-P2
Cybersecurity Data Privacy Governance,GOV,GOV-03.2,Risk Response Program,GV-P,GV-RM,GV-RM-P3
Artificial and Autonomous Technology,AAT,AAT-01,Artificial Intelligence AI and Autonomous Technologies Governance,GV-P,GV-PM,GV-PM-P1
Artificial and Autonomous Technology,AAT,AAT-01.1,AI and Autonomous Technologies Legal Requirements,GV-P,GV-PM,GV-PM-P4
Artificial and Autonomous Technology,AAT,AAT-02,Situational Awareness of AI and Autonomous Technologies,GV-P,GV-RM,GV-RM-P1
Artificial and Autonomous Technology,AAT,AAT-06,AI and Autonomous Technologies Impact Assessment,GV-P,GV-AT,GV-AT-P1
Asset Management,AST,AST-01,Asset Management Program,ID-P,ID-IM,ID-IM-P1
Asset Management,AST,AST-01.1,Asset Dependency Analysis,ID-P,ID-IM,ID-IM-P2
Asset Management,AST,AST-01.2,Asset Inventory Accuracy,ID-P,ID-IM,ID-IM-P3
Business Continuity and Disaster Recovery,BCD,BCD-01,Business Continuity and Disaster Recovery Program,CM-P,CM-BC,CM-BC-P1
Business Continuity and Disaster Recovery,BCD,BCD-01.1,Business Continuity Plan,CM-P,CM-BC,CM-BC-P2
Business Continuity and Disaster Recovery,BCD,BCD-01.3,Business Continuity Testing,CM-P,CM-BC,CM-BC-P3
Capacity and Performance Planning,CAP,CAP-01,Capacity Assessment Program,GV-P,GV-PM,GV-PM-P5
Compliance,CPL,CPL-01,Compliance Monitoring Program,GV-P,GV-PM,GV-PM-P6
Compliance,CPL,CPL-01.1,Compliance Assessment,GV-P,GV-MT,GV-MT-P1
Compliance,CPL,CPL-02,Compliance Reporting,GV-P,GV-MT,GV-MT-P2
Configuration Management,CFG,CFG-01,Configuration Management Program,CT-P,CT-PO,CT-PO-P1
Configuration Management,CFG,CFG-01.1,Configuration Standards,CT-P,CT-PO,CT-PO-P2
Continuous Monitoring,MON,MON-01,Event Log Review and Analysis,CM-P,CM-AW,CM-AW-P1
Continuous Monitoring,MON,MON-01.1,Event Log Centralized Collection,CM-P,CM-AW,CM-AW-P2
Continuous Monitoring,MON,MON-01.3,Event Log Correlation and Analysis,CM-P,CM-AW,CM-AW-P3
Cryptographic Protections,CRY,CRY-01,Cryptographic Controls Program,CT-P,CT-DP,CT-DP-P1
Cryptographic Protections,CRY,CRY-02,Cryptographic At Rest,CT-P,CT-DP,CT-DP-P2
Cryptographic Protections,CRY,CRY-03,Cryptographic In Transit,CT-P,CT-DP,CT-DP-P3
Cryptographic Protections,CRY,CRY-04,Key Management,CT-P,CT-DP,CT-DP-P4
Cryptographic Protections,CRY,CRY-05,Key Management Practices,CT-P,CT-DP,CT-DP-P5
Data Classification and Handling,DCH,DCH-01,Data Classification Scheme,ID-P,ID-IM,ID-IM-P4
Data Classification and Handling,DCH,DCH-01.1,Data Classification Standards,ID-P,ID-IM,ID-IM-P5
Data Classification and Handling,DCH,DCH-01.3,Sensitive Data Inventory,ID-P,ID-IM,ID-IM-P1
Data Classification and Handling,DCH,DCH-02,Data Handling Procedures,CT-P,CT-DM,CT-DM-P1
Data Classification and Handling,DCH,DCH-02.1,Data Storage Standards,CT-P,CT-DP,CT-DP-P1
Data Classification and Handling,DCH,DCH-02.2,Data Transmission Standards,CT-P,CT-DP,CT-DP-P3
Data Classification and Handling,DCH,DCH-05.9,Attribute Reassignment,CT-P,CT-DM,CT-DM-P7
Data Classification and Handling,DCH,DCH-06,Media Storage,CT-P,CT-DP,CT-DP-P1
Endpoint Security,END,END-01,Endpoint Security Program,CT-P,CT-PO,CT-PO-P1
Endpoint Security,END,END-02,Endpoint Hardening,CT-P,CT-PO,CT-PO-P2
Endpoint Security,END,END-02.1,Malware Protection,CT-P,CT-DP,CT-DP-P2
Human Resources Security,HRS,HRS-01,Human Resources Security Program,GV-P,GV-PM,GV-PM-P7
Human Resources Security,HRS,HRS-01.1,Hiring Practices,GV-P,GV-PM,GV-PM-P8
Human Resources Security,HRS,HRS-03,Security Awareness Training,GV-P,GV-AT,GV-AT-P2
Identification and Authentication,IAC,IAC-01,Identity and Access Management Program,CT-P,CT-PO,CT-PO-P1
Identification and Authentication,IAC,IAC-02,Authentication Mechanisms,CT-P,CT-PO,CT-PO-P2
Identification and Authentication,IAC,IAC-03,Access Control Enforcement,CT-P,CT-PO,CT-PO-P3
Incident Response,IRO,IRO-01,Incident Response Program,CM-P,CM-AW,CM-AW-P1
Incident Response,IRO,IRO-01.1,Incident Response Plan,CM-P,CM-AW,CM-AW-P4
Incident Response,IRO,IRO-02,Incident Detection and Analysis,CM-P,CM-AW,CM-AW-P5
Incident Response,IRO,IRO-03,Incident Containment and Recovery,CM-P,CM-AW,CM-AW-P6
Incident Response,IRO,IRO-04,Data Breach Notification,CM-P,CM-AW,CM-AW-P7
Information Assurance,IAO,IAO-01,Information Assurance Program,GV-P,GV-MT,GV-MT-P3
Information Assurance,IAO,IAO-01.1,Security Assessment Program,GV-P,GV-MT,GV-MT-P4
Information Assurance,IAO,IAO-02,Control Testing,GV-P,GV-MT,GV-MT-P5
Information Assurance,IAO,IAO-03,Penetration Testing,GV-P,GV-MT,GV-MT-P6
Mobile Device Management,MDM,MDM-01,Mobile Device Management Program,CT-P,CT-PO,CT-PO-P1
Mobile Device Management,MDM,MDM-02,Mobile Device Access Control,CT-P,CT-PO,CT-PO-P3
Network Security,NET,NET-01,Network Security Program,CT-P,CT-PO,CT-PO-P1
