SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,PCI_DSS_Requirement,PCI_DSS_Sub_Requirement
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Privacy Program Governance,12,12.1.1
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Governance Program Execution,12,12.1.1
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Leadership Engagement,12,12.1.1
Cybersecurity Data Privacy Governance,GOV,GOV-02,Applicable Statutory Regulatory Contractual Requirements Definition,12,12.1.1
Cybersecurity Data Privacy Governance,GOV,GOV-02.1,Applicable Requirements Assessment,12,12.2.1
Cybersecurity Data Privacy Governance,GOV,GOV-02.2,Requirements Integration,12,12.2.1
Cybersecurity Data Privacy Governance,GOV,GOV-03,Risk-Based Program Definition,12,12.1.1
Cybersecurity Data Privacy Governance,GOV,GOV-03.1,Risk Assessment Program,12,12.6.1
Cybersecurity Data Privacy Governance,GOV,GOV-03.2,Risk Response Program,12,12.6.2
Artificial and Autonomous Technology,AAT,AAT-01,Artificial Intelligence AI and Autonomous Technologies Governance,12,12.1.1
Artificial and Autonomous Technology,AAT,AAT-01.1,AI and Autonomous Technologies-Related Legal Requirements Definition,12,12.2.1
Artificial and Autonomous Technology,AAT,AAT-01.2,Trustworthy AI and Autonomous Technologies,2,2.1.1
Artificial and Autonomous Technology,AAT,AAT-01.3,AI and Autonomous Technologies Value Sustainment,6,6.1.1
Artificial and Autonomous Technology,AAT,AAT-02,Situational Awareness of AI and Autonomous Technologies,12,12.3.1
Artificial and Autonomous Technology,AAT,AAT-02.1,AI and Autonomous Technologies Risk Mapping,12,12.6.1
Artificial and Autonomous Technology,AAT,AAT-02.2,AI and Autonomous Technologies Internal Controls,2,2.2.1
Artificial and Autonomous Technology,AAT,AAT-02.3,Adequate Protections For AI and Autonomous Technologies,6,6.2.1
Artificial and Autonomous Technology,AAT,AAT-03,AI and Autonomous Technologies Context Definition,10,10.1.1
