SCF_Control,SCF_ID,GLBA
Cybersecurity Data Privacy Governance,GOV,GLBA Safeguards Rule
Cybersecurity Data Privacy Governance,GOV,GLBA Privacy Rule
Cybersecurity Data Privacy Governance,GOV,GLBA Standards for Safeguarding Customer Information
Artificial and Autonomous Technology,AAT,GLBA Safeguards Rule
Artificial and Autonomous Technology,AAT,GLBA Privacy Rule
Asset Management,AST,GLBA Safeguards Rule
Asset Management,AST,GLBA Standards for Safeguarding Customer Information
Business Continuity Disaster Recovery,BCD,GLBA Safeguards Rule
Business Continuity Disaster Recovery,BCD,GLBA Standards for Safeguarding Customer Information
Capacity Performance Planning,CAP,GLBA Safeguards Rule
Change Management,CHG,GLBA Safeguards Rule
Change Management,CHG,GLBA Standards for Safeguarding Customer Information
Cloud Security,CLD,GLBA Safeguards Rule
Cloud Security,CLD,GLBA Standards for Safeguarding Customer Information
Compliance,CPL,GLBA Safeguards Rule
Compliance,CPL,GLBA Privacy Rule
Compliance,CPL,GLBA Standards for Safeguarding Customer Information
Configuration Management,CFG,GLBA Safeguards Rule
Configuration Management,CFG,GLBA Standards for Safeguarding Customer Information
Continuous Monitoring,MON,GLBA Safeguards Rule
Continuous Monitoring,MON,GLBA Standards for Safeguarding Customer Information
Cryptographic Protections,CRY,GLBA Safeguards Rule
Cryptographic Protections,CRY,GLBA Standards for Safeguarding Customer Information
Data Classification Handling,DCH,GLBA Safeguards Rule
Data Classification Handling,DCH,GLBA Privacy Rule
Data Classification Handling,DCH,GLBA Standards for Safeguarding Customer Information
Embedded Technology,EMB,GLBA Safeguards Rule
Embedded Technology,EMB,GLBA Standards for Safeguarding Customer Information
Endpoint Security,END,GLBA Safeguards Rule
Endpoint Security,END,GLBA Standards for Safeguarding Customer Information
Human Resources Security,HRS,GLBA Safeguards Rule
Human Resources Security,HRS,GLBA Privacy Rule
Human Resources Security,HRS,GLBA Standards for Safeguarding Customer Information
Identification Authentication,IAC,GLBA Safeguards Rule
Identification Authentication,IAC,GLBA Standards for Safeguarding Customer Information
Incident Response,IRO,GLBA Safeguards Rule
Incident Response,IRO,GLBA Standards for Safeguarding Customer Information
Information Assurance,IAO,GLBA Safeguards Rule
Information Assurance,IAO,GLBA Standards for Safeguarding Customer Information
Maintenance,MNT,GLBA Safeguards Rule
Maintenance,MNT,GLBA Standards for Safeguarding Customer Information
Mobile Device Management,MDM,GLBA Safeguards Rule
Mobile Device Management,MDM,GLBA Standards for Safeguarding Customer Information
Network Security,NET,GLBA Safeguards Rule
Network Security,NET,GLBA Standards for Safeguarding Customer Information
Physical Environmental Security,PES,GLBA Safeguards Rule
Physical Environmental Security,PES,GLBA Standards for Safeguarding Customer Information
Data Privacy,PRI,GLBA Safeguards Rule
Data Privacy,PRI,GLBA Privacy Rule
Data Privacy,PRI,GLBA Standards for Safeguarding Customer Information
Project Resource Management,PRM,GLBA Safeguards Rule
Project Resource Management,PRM,GLBA Standards for Safeguarding Customer Information
Risk Management,RSK,GLBA Safeguards Rule
Risk Management,RSK,GLBA Standards for Safeguarding Customer Information
Secure Engineering Architecture,SEA,GLBA Safeguards Rule
Secure Engineering Architecture,SEA,GLBA Standards for Safeguarding Customer Information
Security Operations,OPS,GLBA Safeguards Rule
Security Operations,OPS,GLBA Standards for Safeguarding Customer Information
Security Awareness Training,SAT,GLBA Safeguards Rule
Security Awareness Training,SAT,GLBA Privacy Rule
Security Awareness Training,SAT,GLBA Standards for Safeguarding Customer Information
Technology Development Acquisition,TDA,GLBA Safeguards Rule
Technology Development Acquisition,TDA,GLBA Standards for Safeguarding Customer Information
Third-Party Management,TPM,GLBA Safeguards Rule
Third-Party Management,TPM,GLBA Privacy Rule
Third-Party Management,TPM,GLBA Standards for Safeguarding Customer Information
Threat Management,THR,GLBA Safeguards Rule
Threat Management,THR,GLBA Standards for Safeguarding Customer Information
Vulnerability Patch Management,VPM,GLBA Safeguards Rule
Vulnerability Patch Management,VPM,GLBA Standards for Safeguarding Customer Information
Web Security,WEB,GLBA Safeguards Rule
Web Security,WEB,GLBA Standards for Safeguarding Customer Information
