SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,HIPAA_Title,HIPAA_Rule,HIPAA_Requirement_ID,HIPAA_Requirement_Description
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Privacy Program Governance,Title II,164.308,HIPAA-164.308(a)(1),Develop implement and maintain a comprehensive security management process
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Governance Program Execution,Title II,164.308,HIPAA-164.308(a)(2),Designate a security official responsible for security management process
Cybersecurity Data Privacy Governance,GOV,GOV-02,Applicable Statutory Regulatory Contractual Requirements Definition,Title II,164.308,HIPAA-164.308(a)(1)(ii),Identify and analyze security requirements and implement policies and procedures
Cybersecurity Data Privacy Governance,GOV,GOV-03,Risk-Based Program Definition,Title II,164.308,HIPAA-164.308(a)(1)(ii)(A),Conduct a security risk analysis and assessment
Cybersecurity Data Privacy Governance,GOV,GOV-03.1,Risk Assessment Program,Title II,164.308,HIPAA-164.308(a)(1)(ii)(A),Document risk analysis and assessment activities
Cybersecurity Data Privacy Governance,GOV,GOV-03.2,Risk Response Program,Title II,164.308,HIPAA-164.308(a)(1)(ii)(B),Implement policies and procedures to manage identified risks
Cybersecurity Data Privacy Governance,GOV,GOV-04,Management Reporting,Title II,164.308,HIPAA-164.308(a)(1)(ii)(C),Develop report mechanism for security management process status
Risk Management,RSK,RSK-01,Risk Management Program,Title II,164.308,HIPAA-164.308(a)(1)(ii)(A),Conduct comprehensive security risk analysis
Risk Management,RSK,RSK-01.1,Risk Assessment,Title II,164.308,HIPAA-164.308(a)(1)(ii)(A),Perform periodic risk assessment of protected health information
Risk Management,RSK,RSK-02,Risk Response,Title II,164.308,HIPAA-164.308(a)(1)(ii)(B),Design and implement safeguards to control identified risks
Risk Management,RSK,RSK-03,Risk Monitoring,Title II,164.308,HIPAA-164.308(a)(1)(ii)(C),Monitor and adjust security program based on risk assessment results
Asset Management,AST,AST-01,Asset Management Program,Title II,164.308,HIPAA-164.308(a)(3)(ii),Maintain information systems containing protected health information
Asset Management,AST,AST-01.1,Asset Dependency Analysis,Title II,164.308,HIPAA-164.308(a)(3)(ii),Document systems that store process or transmit protected health information
Asset Management,AST,AST-01.2,Asset Inventory Accuracy,Title II,164.310,HIPAA-164.310(c),Maintain inventory of information systems
Asset Management,AST,AST-02,Asset Tracking and Management,Title II,164.308,HIPAA-164.308(a)(1)(ii)(D),Track systems that store process or transmit protected health information
Asset Management,AST,AST-03,Criticality Assessment,Title II,164.308,HIPAA-164.308(a)(7)(ii)(E),Assess relative criticality of applications and data
Asset Management,AST,AST-04,Media Accountability,Title II,164.310,HIPAA-164.310(d)(2)(iii),Maintain record of movements of hardware and electronic media
Business Continuity Disaster Recovery,BCD,BCD-01,Business Continuity and Disaster Recovery Program,Title II,164.308,HIPAA-164.308(a)(7)(i),Establish disaster recovery procedures
Business Continuity Disaster Recovery,BCD,BCD-01.1,Business Continuity Plan,Title II,164.308,HIPAA-164.308(a)(7)(i),Develop written disaster recovery plan
Business Continuity Disaster Recovery,BCD,BCD-01.3,Business Continuity Testing,Title II,164.308,HIPAA-164.308(a)(7)(ii)(D),Test disaster recovery plan regularly
Business Continuity Disaster Recovery,BCD,BCD-02,Backup Procedures,Title II,164.308,HIPAA-164.308(a)(7)(ii)(A),Establish and implement procedures to create and maintain retrievable exact copies of ePHI
Business Continuity Disaster Recovery,BCD,BCD-03,Disaster Recovery Plan,Title II,164.308,HIPAA-164.308(a)(7)(ii)(B),Establish and implement procedures to restore loss of data
Business Continuity Disaster Recovery,BCD,BCD-04,Emergency Mode Operation Plan,Title II,164.308,HIPAA-164.308(a)(7)(ii)(C),Establish procedures to enable continuation of critical business processes in emergency mode
Change Management,CHG,CHG-01,Change Management Program,Title II,164.308,HIPAA-164.308(a)(3)(ii)(C),Implement access controls during system changes
Cloud Security,CLD,CLD-01,Cloud Security Governance,Title II,164.308,HIPAA-164.308(b)(1),Oversee business associate security obligations
Cloud Security,CLD,CLD-01.1,Secured Development Within Cloud Environments,Title II,164.308,HIPAA-164.308(b)(1)(i),Ensure business associate implements required safeguards
Compliance,CPL,CPL-01,Compliance Monitoring Program,Title II,164.308,HIPAA-164.308(a)(8),Conduct ongoing security evaluation
Compliance,CPL,CPL-01.1,Compliance Assessment,Title II,164.308,HIPAA-164.308(a)(8)(i),Monitor and test security controls periodically
Compliance,CPL,CPL-02,Compliance Reporting,Title II,164.308,HIPAA-164.308(a)(8)(ii),Document results of security evaluation
