SCF_Control,SCF_ID,DPDPA
Cybersecurity Data Privacy Governance,GOV,DPDPA 4
Artificial and Autonomous Technology,AAT,DPDPA 5
Asset Management,AST,DPDPA 4
Business Continuity Disaster Recovery,BCD,DPDPA 7
Capacity Performance Planning,CAP,DPDPA 4
Change Management,CHG,DPDPA 4
Cloud Security,CLD,DPDPA 6
Compliance,CPL,DPDPA 4
Configuration Management,CFG,DPDPA 4
Continuous Monitoring,MON,DPDPA 7
Cryptographic Protections,CRY,DPDPA 6
Data Classification Handling,DCH,DPDPA 6
Embedded Technology,EMB,DPDPA 7
Endpoint Security,END,DPDPA 4
Human Resources Security,HRS,DPDPA 4
Identification Authentication,IAC,DPDPA 6
Incident Response,IRO,DPDPA 7
Information Assurance,IAO,DPDPA 4
Maintenance,MNT,DPDPA 4
Mobile Device Management,MDM,DPDPA 6
Network Security,NET,DPDPA 6
Physical Environmental Security,PES,DPDPA 6
Data Privacy,PRI,DPDPA 4
Project Resource Management,PRM,DPDPA 4
Risk Management,RSK,DPDPA 4
Secure Engineering Architecture,SEA,DPDPA 6
Security Operations,OPS,DPDPA 7
Security Awareness Training,SAT,DPDPA 4
Technology Development Acquisition,TDA,DPDPA 6
Third-Party Management,TPM,DPDPA 6
Threat Management,THR,DPDPA 7
Vulnerability Patch Management,VPM,DPDPA 6
Web Security,WEB,DPDPA 6
Asset Management - IT Asset Management ITAM,AST-01,DPDPA 4
Asset Management - Asset Inventory,AST-02,DPDPA 4
Asset Management - Asset Categorization,AST-03,DPDPA 4
Asset Management - Scoping,AST-04,DPDPA 4
Asset Management - Disposal,AST-05,DPDPA 6
Asset Management - Maintenance,AST-06,DPDPA 4
Asset Management - Security Controls,AST-07,DPDPA 6
Asset Management - Endpoint Protection,AST-08,DPDPA 6
Asset Management - Media Disposal,AST-09,DPDPA 6
Asset Management - Vendor Management,AST-10,DPDPA 6
Business Continuity - COOP,BCD-01,DPDPA 7
Business Continuity - RTO/RPO,BCD-02,DPDPA 7
Business Continuity - Testing,BCD-03,DPDPA 7
Business Continuity - Training,BCD-04,DPDPA 4
Business Continuity - RCA,BCD-05,DPDPA 7
Business Continuity - Review,BCD-06,DPDPA 7
Business Continuity - Alternate Facilities,BCD-07,DPDPA 7
Business Continuity - Communications,BCD-08,DPDPA 7
Business Continuity - Testing,BCD-09,DPDPA 7
Business Continuity - Responsibility,BCD-10,DPDPA 4
Business Continuity - Backups,BCD-11,DPDPA 7
Business Continuity - Recovery,BCD-12,DPDPA 7
Business Continuity - Procedures,BCD-13,DPDPA 7
Capacity Performance Planning - Planning,CAP-01,DPDPA 4
Capacity Performance Planning - Prioritization,CAP-02,DPDPA 4
Capacity Performance Planning - Forecasting,CAP-03,DPDPA 4
Capacity Performance Planning - Monitoring,CAP-04,DPDPA 7
