scf_control_code,scf_control_name,scf_domain,section_id,chapter_number,section_name,gdpr_article_id,gdpr_article_number,relationship_type,relationship_strength,mapping_quality,notes
GOV-01,Cybersecurity Data Privacy Program Governance,Governance,SEC-04-01,4,Controller/Processor,ART-024,24,Subset Of,10,Excellent,Core governance responsibility
GOV-02,Applicable Statutory Regulatory Contractual Requirements Definition,Governance,SEC-01-GENERAL,1,General Provisions,ART-002,2,Intersects With,5,Good,Material scope applicability
GOV-03,Risk-Based Program Definition,Governance,SEC-04-03,4,Impact Assessment,ART-035,35,Subset Of,10,Excellent,DPIA requirement
GOV-04,Established and Governed Operational Controls,Governance,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Security of processing
GOV-05,Applicable Laws Determination,Governance,SEC-01-GENERAL,1,General Provisions,ART-002,2,Intersects With,5,Good,Scope determination
PRI-01,Data Privacy Program,Data Privacy,SEC-04-01,4,Controller/Processor,ART-024,24,Subset Of,10,Excellent,Privacy program governance
PRI-02,Personal Data Protection,Data Privacy,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Security requirements
PRI-03,Data Retention and Disposal,Data Privacy,SEC-03-03,3,Right to Rectification/Erasure,ART-017,17,Subset Of,10,Excellent,Right to erasure implementation
PRI-04,Privacy by Design,Data Privacy,SEC-04-01,4,Controller/Processor,ART-025,25,Equal,10,Excellent,Privacy by design and default
PRI-05,Personal Data Processing,Data Privacy,SEC-02-PRINCIPLES,2,Principles,ART-006,6,Intersects With,5,Good,Lawfulness of processing
PRI-06,Minimum Necessary Rule,Data Privacy,SEC-02-PRINCIPLES,2,Principles,ART-005,5,Equal,10,Excellent,Data minimization principle
PRI-07,Sensitive Information Classification,Data Privacy,SEC-04-03,4,Impact Assessment,ART-035,35,Subset Of,10,Excellent,DPIA requirement
PRI-08,Data Minimization,Data Privacy,SEC-02-PRINCIPLES,2,Principles,ART-005,5,Intersects With,5,Good,Minimization principle
PRI-09,Third Party Data Sharing Restrictions,Data Privacy,SEC-04-01,4,Controller/Processor,ART-028,28,Subset Of,10,Excellent,Processor requirements
PRI-10,Genetic Information Protection,Data Privacy,SEC-02-PRINCIPLES,2,Principles,ART-009,9,Equal,10,Excellent,Special category protection
PRI-11,Right to Know Implementation,Data Privacy,SEC-03-02,3,Right of Access,ART-015,15,Subset Of,10,Excellent,Access rights implementation
PRI-12,Right to Know Sales Implementation,Data Privacy,SEC-03-02,3,Right of Access,ART-015,15,Subset Of,10,Excellent,Access request mechanism
PRI-13,Opt-Out Mechanism Implementation,Data Privacy,SEC-03-04,3,Right to Object,ART-021,21,Subset Of,10,Excellent,Objection rights
PRI-14,Opt-Out Response Procedures,Data Privacy,SEC-03-04,3,Right to Object,ART-021,21,Subset Of,10,Excellent,Objection response
PRI-15,Non-Discrimination Implementation,Data Privacy,SEC-02-PRINCIPLES,2,Principles,ART-005,5,Subset Of,10,Excellent,Fair processing principle
DCH-01,Data Classification Scheme,Data Classification and Handling,SEC-01-GENERAL,1,General Provisions,ART-004,4,Subset Of,10,Excellent,Definitions framework
DCH-02,Data Handling Procedures,Data Classification and Handling,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Security measures
DCH-03,Sensitive Data Inventory,Data Classification and Handling,SEC-04-03,4,Impact Assessment,ART-035,35,Intersects With,5,Good,DPIA support
DCH-04,Data Quality Management,Data Classification and Handling,SEC-03-03,3,Right to Rectification/Erasure,ART-016,16,Intersects With,5,Good,Accuracy maintenance
DCH-05,Data Disposal Procedures,Data Classification and Handling,SEC-03-03,3,Right to Rectification/Erasure,ART-017,17,Subset Of,10,Excellent,Erasure implementation
DCH-06,Sensitive Data Handling,Data Classification and Handling,SEC-02-PRINCIPLES,2,Principles,ART-009,9,Subset Of,10,Excellent,Special category handling
CRY-01,Cryptographic Controls Program,Cryptographic Protections,SEC-04-02,4,Security,ART-032,32,Subset Of,10,Excellent,Encryption requirement
CRY-02,Encryption At Rest,Cryptographic Protections,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Data encryption
CRY-03,Encryption In Transit,Cryptographic Protections,SEC-04-02,4,Security,ART-032,32,Intersects With,5,Good,Transmission security
