SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,NIST_AI_RMF_Function,NIST_AI_RMF_Category,NIST_AI_RMF_SubCategory,AI_RMF_Purpose
Artificial and Autonomous Technology,AAT,AAT-01,Artificial Intelligence AI Autonomous Technologies AAT Governance Program,GV,GV.GV,GV.GV-01,Establish governance over AI systems
Artificial and Autonomous Technology,AAT,AAT-01.1,Compliance Obligations for AI and Autonomous Technologies,GV,GV.ST,GV.ST-01,Define compliance requirements for AI
Artificial and Autonomous Technology,AAT,AAT-01.2,Secure Development Practices for AI and Autonomous Technologies,GV,GV.ST,GV.ST-03,Implement secure AI development practices
Artificial and Autonomous Technology,AAT,AAT-02,AI Risk Management Program,GV,GV.RM,GV.RM-01,Establish risk management program for AI
Artificial and Autonomous Technology,AAT,AAT-02.1,AI Risk Assessment,MP,MP.RK,MP.RK-01,Define AI system metrics and measurements
Artificial and Autonomous Technology,AAT,AAT-03,AI Incident Response Capability,MG,MG.IR,MG.IR-01,Establish AI incident response capability
Artificial and Autonomous Technology,AAT,AAT-03.1,AI Incident Response Testing,MG,MG.IR,MG.IR-02,Test AI incident response procedures
Artificial and Autonomous Technology,AAT,AAT-04,AI Business Case Development,MP,MP.BC,MP.BC-01,Develop business case for AI systems
Artificial and Autonomous Technology,AAT,AAT-05,AI Risk Management Decision Making,GV,GV.RM,GV.RM-02,Establish decision-making structure for AI risks
Artificial and Autonomous Technology,AAT,AAT-06,AI Impact Assessment,MP,MP.IM,MP.IM-01,Assess AI system impacts on stakeholders
Artificial and Autonomous Technology,AAT,AAT-07,AI Testing Evaluation Validation Verification,MS,MS.AA,MS.AA-02,Test and evaluate AI system performance
Artificial and Autonomous Technology,AAT,AAT-07.1,AI Model Validation,MS,MS.AA,MS.AA-04,Validate AI model outputs and predictions
Artificial and Autonomous Technology,AAT,AAT-07.2,AI System Verification,MS,MS.AA,MS.AA-04,Verify AI system functionality
Artificial and Autonomous Technology,AAT,AAT-08,AI Stakeholder Involvement,GV,GV.MS,GV.MS-01,Engage stakeholders in AI system decisions
Artificial and Autonomous Technology,AAT,AAT-09,AI Intellectual Property Assessment,GV,GV.ST,GV.ST-01,Assess IP infringement risks for AI
Artificial and Autonomous Technology,AAT,AAT-10,AI Source Data Identification,MS,MS.IN,MS.IN-03,Identify and document AI training data sources
Artificial and Autonomous Technology,AAT,AAT-11,AI Transparency and Explainability,GV,GV.GV,GV.GV-04,Ensure AI system transparency and explainability
Artificial and Autonomous Technology,AAT,AAT-12,AI Fairness and Bias Mitigation,MS,MS.IN,MS.IN-02,Assess and mitigate AI fairness and bias issues
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Program Governance,GV,GV.GV,GV.GV-02,Establish governance program for AI-enabled systems
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Program Execution,GV,GV.GV,GV.GV-02,Execute governance program for AI systems
Cybersecurity Data Privacy Governance,GOV,GOV-02,Statutory Regulatory Contractual Requirements,GV,GV.ST,GV.ST-01,Define regulatory requirements for AI
Cybersecurity Data Privacy Governance,GOV,GOV-03,Risk-Based Program Definition,GV,GV.RM,GV.RM-02,Apply risk-based approach to AI governance
Risk Management,RSK,RSK-01,Risk Management Program,GV,GV.RM,GV.RM-01,Establish risk management program
Risk Management,RSK,RSK-01.1,Risk Assessment,MP,MP.RK,MP.RK-01,Assess AI system risks
Risk Management,RSK,RSK-02,Risk Response,MG,MG.RM,MG.RM-01,Respond to identified AI risks
Risk Management,RSK,RSK-03,Risk Monitoring,MS,MS.RT,MS.RT-04,Monitor AI system risks continuously
Secure Engineering Architecture,SEA,SEA-01,Secure Engineering Program,GV,GV.ST,GV.ST-03,Implement secure AI engineering practices
Secure Engineering Architecture,SEA,SEA-01.1,Secure Design Principles,GV,GV.ST,GV.ST-03,Apply secure design principles to AI
Secure Engineering Architecture,SEA,SEA-01.2,Resilience Requirements,MP,MP.AI,MP.AI-05,Achieve resilience in AI systems
Secure Engineering Architecture,SEA,SEA-02,Secure Code Development,GV,GV.ST,GV.ST-03,Implement secure coding for AI systems
Technology Development Acquisition,TDA,TDA-01,Technology Development Program,MP,MP.AI,MP.AI-01,Govern AI technology development
Technology Development Acquisition,TDA,TDA-02,Acquisition Program,GV,GV.MS,GV.MS-02,Establish acquisition controls for AI systems
Technology Development Acquisition,TDA,TDA-03,Secure Development Lifecycle,GV,GV.ST,GV.ST-03,Implement secure SDLC for AI
Data Privacy,PRI,PRI-01,Data Privacy Program,GV,GV.GV,GV.GV-01,Establish privacy program for AI systems
Data Privacy,PRI,PRI-01.1,Privacy by Design,GV,GV.ST,GV.ST-03,Implement privacy by design for AI
Data Privacy,PRI,PRI-01.2,Privacy Impact Assessment,MP,MP.IM,MP.IM-02,Conduct privacy impact assessment for AI
Data Privacy,PRI,PRI-02,Personal Data Protection,GV,GV.GV,GV.GV-01,Protect personal data in AI systems
Data Privacy,PRI,PRI-05,Personal Data Processing,MP,MP.AI,MP.AI-04,Control personal data processing in AI
Data Privacy,PRI,PRI-05.1,Data Collection Limitation,MS,MS.IN,MS.IN-01,Limit AI training data collection
Data Privacy,PRI,PRI-05.2,Data Use Limitation,MP,MP.AI,MP.AI-04,Limit personal data use in AI
Data Privacy,PRI,PRI-05.3,Data Masking,MS,MS.IN,MS.IN-01,Mask sensitive data in AI systems
Data Classification and Handling,DCH,DCH-01,Data Classification Scheme,MS,MS.IN,MS.IN-01,Classify training data for AI systems
Data Classification and Handling,DCH,DCH-02,Data Handling Procedures,MP,MP.AI,MP.AI-04,Handle AI training and operational data securely
Cryptographic Protections,CRY,CRY-01,Cryptographic Controls Program,MP,MP.AI,MP.AI-04,Protect AI data with cryptography
Continuous Monitoring,MON,MON-01,Event Log Review and Analysis,MS,MS.MN,MS.MN-01,Monitor AI system events continuously
Continuous Monitoring,MON,MON-01.1,Centralized Event Log Collection,MS,MS.MN,MS.MN-01,Collect AI event logs centrally
Incident Response,IRO,IRO-01,Incident Response Program,MG,MG.IR,MG.IR-01,Establish IR program for AI systems
Incident Response,IRO,IRO-02,Incident Detection and Analysis,MS,MS.RT,MS.RT-01,Detect AI system incidents
Incident Response,IRO,IRO-03,Incident Containment and Recovery,MG,MG.IR,MG.IR-02,Contain and recover from AI incidents
Threat Management,THR,THR-01,Threat Management Program,MP,MP.RK,MP.RK-01,Identify threats to AI systems
Human Resources Security,HRS,HRS-01,Human Resources Security Program,GV,GV.AT,GV.AT-02,Establish HR security for AI teams
Human Resources Security,HRS,HRS-03,Security Awareness Training,GV,GV.AT,GV.AT-03,Train personnel on AI security and privacy
Information Assurance,IAO,IAO-01,Information Assurance Program,MS,MS.AA,MS.AA-01,Assess AI system security controls
Information Assurance,IAO,IAO-02,Control Testing,MS,MS.AA,MS.AA-06,Test AI system controls and performance
Compliance,CPL,CPL-01,Compliance Monitoring Program,GV,GV.MT,GV.MT-02,Monitor AI compliance continuously
Compliance,CPL,CPL-02,Compliance Reporting,GV,GV.MT,GV.MT-03,Report AI system compliance metrics
Configuration Management,CFG,CFG-01,Configuration Management Program,MP,MP.AI,MP.AI-03,Manage AI system configurations
Asset Management,AST,AST-01,Asset Management Program,MP,MP.AI,MP.AI-03,Manage AI system assets and components
Network Security,NET,NET-01,Network Security Program,MP,MP.AI,MP.AI-05,Secure AI system network access
Physical Environmental Security,PES,PES-01,Physical Security Program,MP,MP.AI,MP.AI-05,Protect physical AI infrastructure
Third-Party Management,TPM,TPM-01,Third-Party Management Program,GV,GV.MS,GV.MS-02,Manage third-party AI risks
Third-Party Management,TPM,TPM-02,Third-Party Monitoring,MS,MS.MN,MS.MN-01,Monitor third-party AI system risks
