SCF_Control,SCF_ID,ISO27002
Cybersecurity Data Privacy Governance,GOV,ISO 27002 5.1 Policies for Information Security
Cybersecurity Data Privacy Governance,GOV,ISO 27002 6.1 Organization of Information Security
Cybersecurity Data Privacy Governance,GOV,ISO 27002 5.2 Information Security Roles and Responsibilities
Artificial and Autonomous Technology,AAT,ISO 27002 5.1 Policies for Information Security
Artificial and Autonomous Technology,AAT,ISO 27002 8.1 User Endpoint Devices
Artificial and Autonomous Technology,AAT,ISO 27002 8.32 Change Management
Asset Management,AST,ISO 27002 5.9 Access Control
Asset Management,AST,ISO 27002 8.1 User Endpoint Devices
Asset Management,AST,ISO 27002 8.2 Privileged Access Rights
Business Continuity Disaster Recovery,BCD,ISO 27002 5.30 ICT Readiness for Business Continuity
Business Continuity Disaster Recovery,BCD,ISO 27002 5.31 Identification and Communication of Information Security Events
Capacity Performance Planning,CAP,ISO 27002 5.23 Information Security for Supplier Relationships
Capacity Performance Planning,CAP,ISO 27002 8.1 User Endpoint Devices
Change Management,CHG,ISO 27002 5.1 Policies for Information Security
Change Management,CHG,ISO 27002 8.32 Change Management
Change Management,CHG,ISO 27002 5.35 Information Security in Project Management
Cloud Security,CLD,ISO 27002 5.23 Information Security for Supplier Relationships
Cloud Security,CLD,ISO 27002 8.3 Information and Access Management
Cloud Security,CLD,ISO 27002 8.15 Encryption
Cloud Security,CLD,ISO 27002 5.30 ICT Readiness for Business Continuity
Compliance,CPL,ISO 27002 5.1 Policies for Information Security
Compliance,CPL,ISO 27002 6.1 Organization of Information Security
Compliance,CPL,ISO 27002 5.36 Information Security Compliance
Configuration Management,CFG,ISO 27002 5.1 Policies for Information Security
Configuration Management,CFG,ISO 27002 8.1 User Endpoint Devices
Configuration Management,CFG,ISO 27002 8.32 Change Management
Continuous Monitoring,MON,ISO 27002 8.16 Monitoring Activities
Continuous Monitoring,MON,ISO 27002 5.31 Identification and Communication of Information Security Events
Continuous Monitoring,MON,ISO 27002 8.17 Protection of Monitoring Tools
Cryptographic Protections,CRY,ISO 27002 8.14 Cryptography
