SCF_Control,SCF_ID,CPRA
Cybersecurity Data Privacy Governance,GOV,CPRA 1798.100
Artificial and Autonomous Technology,AAT,CPRA 1798.150
Asset Management,AST,CPRA 1798.100
Business Continuity Disaster Recovery,BCD,CPRA 1798.150
Capacity Performance Planning,CAP,CPRA 1798.100
Change Management,CHG,CPRA 1798.100
Cloud Security,CLD,CPRA 1798.140
Compliance,CPL,CPRA 1798.100
Configuration Management,CFG,CPRA 1798.100
Continuous Monitoring,MON,CPRA 1798.150
Cryptographic Protections,CRY,CPRA 1798.140
Data Classification Handling,DCH,CPRA 1798.140
Embedded Technology,EMB,CPRA 1798.150
Endpoint Security,END,CPRA 1798.100
Human Resources Security,HRS,CPRA 1798.100
Identification Authentication,IAC,CPRA 1798.140
Incident Response,IRO,CPRA 1798.150
Information Assurance,IAO,CPRA 1798.100
Maintenance,MNT,CPRA 1798.100
Mobile Device Management,MDM,CPRA 1798.140
Network Security,NET,CPRA 1798.140
Physical Environmental Security,PES,CPRA 1798.140
Data Privacy,PRI,CPRA 1798.100
Project Resource Management,PRM,CPRA 1798.100
Risk Management,RSK,CPRA 1798.100
Secure Engineering Architecture,SEA,CPRA 1798.140
Security Operations,OPS,CPRA 1798.150
Security Awareness Training,SAT,CPRA 1798.100
Technology Development Acquisition,TDA,CPRA 1798.140
Third-Party Management,TPM,CPRA 1798.140
Threat Management,THR,CPRA 1798.150
Vulnerability Patch Management,VPM,CPRA 1798.140
Web Security,WEB,CPRA 1798.140
Asset Management - IT Asset Management ITAM,AST-01,CPRA 1798.100
Asset Management - Asset Inventory,AST-02,CPRA 1798.100
Asset Management - Asset Categorization,AST-03,CPRA 1798.100
Asset Management - Scoping,AST-04,CPRA 1798.100
Asset Management - Disposal,AST-05,CPRA 1798.140
Asset Management - Maintenance,AST-06,CPRA 1798.100
Asset Management - Security Controls,AST-07,CPRA 1798.140
Asset Management - Endpoint Protection,AST-08,CPRA 1798.140
Asset Management - Media Disposal,AST-09,CPRA 1798.140
Asset Management - Vendor Management,AST-10,CPRA 1798.140
Business Continuity - COOP,BCD-01,CPRA 1798.150
Business Continuity - RTO/RPO,BCD-02,CPRA 1798.150
Business Continuity - Testing,BCD-03,CPRA 1798.150
Business Continuity - Training,BCD-04,CPRA 1798.100
Business Continuity - RCA,BCD-05,CPRA 1798.150
Business Continuity - Review,BCD-06,CPRA 1798.150
Business Continuity - Alternate Facilities,BCD-07,CPRA 1798.150
Business Continuity - Communications,BCD-08,CPRA 1798.150
Business Continuity - Testing,BCD-09,CPRA 1798.150
Business Continuity - Responsibility,BCD-10,CPRA 1798.100
Business Continuity - Backups,BCD-11,CPRA 1798.150
Business Continuity - Recovery,BCD-12,CPRA 1798.150
Business Continuity - Procedures,BCD-13,CPRA 1798.150
Capacity Performance Planning - Planning,CAP-01,CPRA 1798.100
Capacity Performance Planning - Prioritization,CAP-02,CPRA 1798.100
Capacity Performance Planning - Forecasting,CAP-03,CPRA 1798.100
Capacity Performance Planning - Monitoring,CAP-04,CPRA 1798.150
Capacity Performance Planning - Scaling,CAP-05,CPRA 1798.100
Change Management - Process,CHG-01,CPRA 1798.100
Change Management - CCB,CHG-02,CPRA 1798.100
Change Management - Review,CHG-03,CPRA 1798.100
Change Management - Responsibility,CHG-04,CPRA 1798.100
Change Management - Tracking,CHG-05,CPRA 1798.100
Change Management - Emergency,CHG-06,CPRA 1798.100
Cloud Security - Inventory,CLD-01,CPRA 1798.140
Cloud Security - Assessment,CLD-02,CPRA 1798.140
Cloud Security - Agreements,CLD-03,CPRA 1798.140
Cloud Security - Architecture,CLD-04,CPRA 1798.140
Cloud Security - Data,CLD-05,CPRA 1798.140
Cloud Security - Access,CLD-06,CPRA 1798.140
Cloud Security - Monitoring,CLD-07,CPRA 1798.150
Cloud Security - Encryption,CLD-08,CPRA 1798.140
Cloud Security - Location,CLD-09,CPRA 1798.140
Cloud Security - Retention,CLD-10,CPRA 1798.140
Compliance - Obligations,CPL-01,CPRA 1798.100
Compliance - Audit,CPL-02,CPRA 1798.100
Compliance - Findings,CPL-03,CPRA 1798.100
Configuration Management - Baseline,CFG-01,CPRA 1798.100
Configuration Management - Standards,CFG-02,CPRA 1798.100
Configuration Management - Implementation,CFG-03,CPRA 1798.100
Configuration Management - Changes,CFG-04,CPRA 1798.100
Configuration Management - Access,CFG-05,CPRA 1798.140
Configuration Management - Monitoring,CFG-06,CPRA 1798.150
Configuration Management - Verification,CFG-07,CPRA 1798.100
Configuration Management - Authorization,CFG-08,CPRA 1798.140
Continuous Monitoring - Collection,MON-01,CPRA 1798.150
Continuous Monitoring - Analysis,MON-02,CPRA 1798.150
Continuous Monitoring - Alerting,MON-03,CPRA 1798.150
Continuous Monitoring - Baseline,MON-04,CPRA 1798.150
Continuous Monitoring - Anomalies,MON-05,CPRA 1798.150
Continuous Monitoring - Logs,MON-06,CPRA 1798.150
Continuous Monitoring - Retention,MON-07,CPRA 1798.100
Continuous Monitoring - Review,MON-08,CPRA 1798.150
Continuous Monitoring - Reporting,MON-09,CPRA 1798.150
Continuous Monitoring - Retention,MON-10,CPRA 1798.140
Cryptographic Protections - Standards,CRY-01,CPRA 1798.140
Cryptographic Protections - Implementation,CRY-02,CPRA 1798.140
Cryptographic Protections - Management,CRY-03,CPRA 1798.140
Cryptographic Protections - Algorithms,CRY-04,CPRA 1798.140
Data Classification Handling - Scheme,DCH-01,CPRA 1798.140
Data Classification Handling - Practices,DCH-02,CPRA 1798.140
Data Classification Handling - Labeling,DCH-03,CPRA 1798.140
Data Classification Handling - Storage,DCH-04,CPRA 1798.140
Data Classification Handling - Transmission,DCH-05,CPRA 1798.140
Data Classification Handling - Access,DCH-06,CPRA 1798.140
Data Classification Handling - Disposal,DCH-07,CPRA 1798.140
Data Classification Handling - Destruction,DCH-08,CPRA 1798.140
Data Classification Handling - Media,DCH-09,CPRA 1798.140
Embedded Technology - Assessment,EMB-01,CPRA 1798.150
Embedded Technology - Hardening,EMB-02,CPRA 1798.150
Embedded Technology - Monitoring,EMB-03,CPRA 1798.150
Endpoint Security - Inventory,END-01,CPRA 1798.100
Endpoint Security - Baseline,END-02,CPRA 1798.100
Endpoint Security - Protection,END-03,CPRA 1798.140
Endpoint Security - Malware,END-04,CPRA 1798.140
Endpoint Security - Updates,END-05,CPRA 1798.100
Endpoint Security - Monitoring,END-06,CPRA 1798.150
Human Resources Security - Roles,HRS-01,CPRA 1798.100
Human Resources Security - Assignment,HRS-02,CPRA 1798.100
Human Resources Security - Responsibilities,HRS-03,CPRA 1798.100
Human Resources Security - Screening,HRS-04,CPRA 1798.100
Human Resources Security - Training,HRS-05,CPRA 1798.100
Human Resources Security - Agreements,HRS-06,CPRA 1798.100
Human Resources Security - Conduct,HRS-07,CPRA 1798.100
Identification Authentication - Policy,IAC-01,CPRA 1798.140
Identification Authentication - Standards,IAC-02,CPRA 1798.140
Identification Authentication - IAM,IAC-03,CPRA 1798.140
Identification Authentication - Access,IAC-04,CPRA 1798.140
Identification Authentication - Privileges,IAC-05,CPRA 1798.140
Identification Authentication - Accounts,IAC-06,CPRA 1798.140
