SCF_Control,SCF_ID,NIST_RMF
Cybersecurity Data Privacy Governance,GOV,NIST RMF Prepare
Cybersecurity Data Privacy Governance,GOV,NIST RMF Categorize
Cybersecurity Data Privacy Governance,GOV,NIST RMF Select
Artificial and Autonomous Technology,AAT,NIST RMF Prepare
Artificial and Autonomous Technology,AAT,NIST RMF Categorize
Artificial and Autonomous Technology,AAT,NIST RMF Select
Asset Management,AST,NIST RMF Prepare
Asset Management,AST,NIST RMF Categorize
Asset Management,AST,NIST RMF Select
Business Continuity Disaster Recovery,BCD,NIST RMF Prepare
Business Continuity Disaster Recovery,BCD,NIST RMF Select
Business Continuity Disaster Recovery,BCD,NIST RMF Implement
Capacity Performance Planning,CAP,NIST RMF Prepare
Capacity Performance Planning,CAP,NIST RMF Categorize
Change Management,CHG,NIST RMF Prepare
Change Management,CHG,NIST RMF Select
Change Management,CHG,NIST RMF Implement
Cloud Security,CLD,NIST RMF Prepare
Cloud Security,CLD,NIST RMF Categorize
Cloud Security,CLD,NIST RMF Select
Cloud Security,CLD,NIST RMF Implement
Compliance,CPL,NIST RMF Prepare
Compliance,CPL,NIST RMF Categorize
Compliance,CPL,NIST RMF Select
Compliance,CPL,NIST RMF Implement
Configuration Management,CFG,NIST RMF Prepare
Configuration Management,CFG,NIST RMF Select
Configuration Management,CFG,NIST RMF Implement
Continuous Monitoring,MON,NIST RMF Select
Continuous Monitoring,MON,NIST RMF Implement
Continuous Monitoring,MON,NIST RMF Assess
Cryptographic Protections,CRY,NIST RMF Prepare
Cryptographic Protections,CRY,NIST RMF Select
Cryptographic Protections,CRY,NIST RMF Implement
Data Classification Handling,DCH,NIST RMF Prepare
Data Classification Handling,DCH,NIST RMF Categorize
Data Classification Handling,DCH,NIST RMF Select
Data Classification Handling,DCH,NIST RMF Implement
Embedded Technology,EMB,NIST RMF Prepare
Embedded Technology,EMB,NIST RMF Categorize
Embedded Technology,EMB,NIST RMF Select
Embedded Technology,EMB,NIST RMF Implement
Endpoint Security,END,NIST RMF Prepare
Endpoint Security,END,NIST RMF Select
Endpoint Security,END,NIST RMF Implement
Endpoint Security,END,NIST RMF Assess
Human Resources Security,HRS,NIST RMF Prepare
Human Resources Security,HRS,NIST RMF Categorize
Human Resources Security,HRS,NIST RMF Select
Identification Authentication,IAC,NIST RMF Prepare
Identification Authentication,IAC,NIST RMF Select
Identification Authentication,IAC,NIST RMF Implement
Incident Response,IRO,NIST RMF Implement
Incident Response,IRO,NIST RMF Assess
Incident Response,IRO,NIST RMF Authorize
Information Assurance,IAO,NIST RMF Prepare
Information Assurance,IAO,NIST RMF Categorize
Information Assurance,IAO,NIST RMF Assess
Maintenance,MNT,NIST RMF Select
Maintenance,MNT,NIST RMF Implement
Maintenance,MNT,NIST RMF Assess
Mobile Device Management,MDM,NIST RMF Prepare
Mobile Device Management,MDM,NIST RMF Select
Mobile Device Management,MDM,NIST RMF Implement
Network Security,NET,NIST RMF Prepare
Network Security,NET,NIST RMF Select
Network Security,NET,NIST RMF Implement
Network Security,NET,NIST RMF Assess
Physical Environmental Security,PES,NIST RMF Prepare
Physical Environmental Security,PES,NIST RMF Select
Physical Environmental Security,PES,NIST RMF Implement
Data Privacy,PRI,NIST RMF Prepare
Data Privacy,PRI,NIST RMF Categorize
Data Privacy,PRI,NIST RMF Select
Data Privacy,PRI,NIST RMF Implement
Project Resource Management,PRM,NIST RMF Prepare
Project Resource Management,PRM,NIST RMF Categorize
Risk Management,RSK,NIST RMF Prepare
Risk Management,RSK,NIST RMF Categorize
Risk Management,RSK,NIST RMF Assess
Secure Engineering Architecture,SEA,NIST RMF Prepare
Secure Engineering Architecture,SEA,NIST RMF Select
Secure Engineering Architecture,SEA,NIST RMF Implement
Security Operations,OPS,NIST RMF Implement
Security Operations,OPS,NIST RMF Assess
Security Operations,OPS,NIST RMF Authorize
Security Awareness Training,SAT,NIST RMF Prepare
Security Awareness Training,SAT,NIST RMF Implement
Technology Development Acquisition,TDA,NIST RMF Prepare
Technology Development Acquisition,TDA,NIST RMF Select
Technology Development Acquisition,TDA,NIST RMF Implement
Third-Party Management,TPM,NIST RMF Prepare
Third-Party Management,TPM,NIST RMF Categorize
Third-Party Management,TPM,NIST RMF Select
Third-Party Management,TPM,NIST RMF Implement
Threat Management,THR,NIST RMF Prepare
Threat Management,THR,NIST RMF Categorize
Threat Management,THR,NIST RMF Assess
Vulnerability Patch Management,VPM,NIST RMF Prepare
Vulnerability Patch Management,VPM,NIST RMF Select
Vulnerability Patch Management,VPM,NIST RMF Implement
Vulnerability Patch Management,VPM,NIST RMF Assess
Web Security,WEB,NIST RMF Prepare
Web Security,WEB,NIST RMF Select
Web Security,WEB,NIST RMF Implement
Web Security,WEB,NIST RMF Assess
