SCF_Control_Code,SCF_Control_Name,SCF_Domain,CPRA_Section,CPRA_Heading,CPRA_Requirement_Description,Relationship_Type,Relationship_Strength,Mapping_Quality
GOV-01,Cybersecurity Data Privacy Program Governance,Governance,1798.100,General Duties of Businesses,Establish and maintain comprehensive consumer privacy program for California residents,Subset Of,10,Excellent
GOV-02,Applicable Statutory Regulatory Contractual Requirements Definition,Governance,1798.100,General Duties of Businesses,Define and document CCPA/CPRA compliance obligations and consumer rights,Intersects With,5,Good
GOV-03,Risk-Based Program Definition,Governance,1798.100,General Duties of Businesses,Establish risk-based data protection program with appropriate safeguards,Subset Of,10,Excellent
GOV-04,Established and Governed Operational Controls,Governance,1798.100,General Duties of Businesses,Implement appropriate safeguards to protect consumer personal information,Intersects With,5,Good
GOV-05,Applicable Laws Determination,Governance,1798.100,General Duties of Businesses,Determine and comply with applicable privacy laws and regulations,Intersects With,5,Good
PRI-01,Data Privacy Program,Data Privacy,1798.100,General Duties of Businesses,Establish comprehensive data privacy program for California residents,Subset Of,10,Excellent
PRI-02,Personal Data Protection,Data Privacy,1798.100,General Duties of Businesses,Protect personal information from unauthorized access and disclosure,Subset Of,10,Excellent
PRI-03,Data Retention and Disposal,Data Privacy,1798.105,Consumers Right to Delete Personal Information,Implement procedures for secure deletion of personal information upon request,Subset Of,10,Excellent
PRI-04,Privacy by Design,Data Privacy,1798.100,General Duties of Businesses,Implement privacy by design and default practices,Equal,10,Excellent
PRI-05,Personal Data Processing,Data Privacy,1798.100,General Duties of Businesses,Ensure personal data processing limited to specified business purposes,Intersects With,5,Good
PRI-06,Minimum Necessary Rule,Data Privacy,1798.120,Right to Opt-Out of Sale or Sharing,Limit use of personal information to necessary purposes,Equal,10,Excellent
PRI-07,Sensitive Information Classification,Data Privacy,1798.121,Right to Limit Use and Disclosure of Sensitive Personal Information,Classify and protect sensitive personal information with enhanced safeguards,Subset Of,10,Excellent
PRI-08,Data Minimization,Data Privacy,1798.100,General Duties of Businesses,Minimize collection and retention of personal information,Intersects With,5,Good
PRI-09,Third Party Data Sharing Restrictions,Data Privacy,1798.115,Right to Know Sales or Sharing and to Whom,Restrict sharing of personal information with third parties,Subset Of,10,Excellent
PRI-10,Genetic Information Protection,Data Privacy,1798.121,Right to Limit Use and Disclosure of Sensitive Personal Information,Provide special protections for genetic and biometric information,Equal,10,Excellent
DCH-01,Data Classification Scheme,Data Classification and Handling,1798.140,Definitions,Classify personal information by sensitivity and protection requirements,Subset Of,10,Excellent
DCH-02,Data Handling Procedures,Data Classification and Handling,1798.100,General Duties of Businesses,Implement secure data handling procedures for personal information,Intersects With,5,Good
DCH-03,Sensitive Data Inventory,Data Classification and Handling,1798.110,Right to Know What Personal Information is Being Collected,Maintain accurate inventory of personal information collections,Intersects With,5,Good
