scf_control_code,scf_control_name,scf_domain,gdpr_article_id,gdpr_article_number,gdpr_chapter,gdpr_section,gdpr_title,relationship_type,relationship_strength,mapping_quality
GOV-01,Cybersecurity Data Privacy Program Governance,Governance,ART-024,24,4,SEC-04-01,Responsibility of the controller,Subset Of,10,Excellent
GOV-02,Applicable Statutory Regulatory Contractual Requirements Definition,Governance,ART-002,2,1,SEC-01-GENERAL,Material scope,Intersects With,5,Good
GOV-03,Risk-Based Program Definition,Governance,ART-035,35,4,SEC-04-03,Data protection impact assessment,Subset Of,10,Excellent
GOV-04,Established and Governed Operational Controls,Governance,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
GOV-05,Applicable Laws Determination,Governance,ART-002,2,1,SEC-01-GENERAL,Material scope,Intersects With,5,Good
PRI-01,Data Privacy Program,Data Privacy,ART-024,24,4,SEC-04-01,Responsibility of the controller,Subset Of,10,Excellent
PRI-02,Personal Data Protection,Data Privacy,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
PRI-03,Data Retention and Disposal,Data Privacy,ART-017,17,3,SEC-03-03,Right to erasure,Subset Of,10,Excellent
PRI-04,Privacy by Design,Data Privacy,ART-025,25,4,SEC-04-01,Data protection by design and by default,Equal,10,Excellent
PRI-05,Personal Data Processing,Data Privacy,ART-006,6,2,SEC-02-PRINCIPLES,Lawfulness of processing,Intersects With,5,Good
PRI-06,Minimum Necessary Rule,Data Privacy,ART-005,5,2,SEC-02-PRINCIPLES,Principles relating to processing of personal data,Equal,10,Excellent
PRI-07,Sensitive Information Classification,Data Privacy,ART-035,35,4,SEC-04-03,Data protection impact assessment,Subset Of,10,Excellent
PRI-08,Data Minimization,Data Privacy,ART-005,5,2,SEC-02-PRINCIPLES,Principles relating to processing of personal data,Intersects With,5,Good
PRI-09,Third Party Data Sharing Restrictions,Data Privacy,ART-028,28,4,SEC-04-01,Processor,Subset Of,10,Excellent
PRI-10,Genetic Information Protection,Data Privacy,ART-009,9,2,SEC-02-PRINCIPLES,Processing of special categories of personal data,Equal,10,Excellent
PRI-11,Right to Know Implementation,Data Privacy,ART-015,15,3,SEC-03-02,Right of access by the data subject,Subset Of,10,Excellent
PRI-12,Right to Know Sales Implementation,Data Privacy,ART-015,15,3,SEC-03-02,Right of access by the data subject,Subset Of,10,Excellent
PRI-13,Opt-Out Mechanism Implementation,Data Privacy,ART-021,21,3,SEC-03-04,Right to object,Subset Of,10,Excellent
PRI-14,Opt-Out Response Procedures,Data Privacy,ART-021,21,3,SEC-03-04,Right to object,Subset Of,10,Excellent
PRI-15,Non-Discrimination Implementation,Data Privacy,ART-005,5,2,SEC-02-PRINCIPLES,Principles relating to processing of personal data,Subset Of,10,Excellent
DCH-01,Data Classification Scheme,Data Classification and Handling,ART-004,4,1,SEC-01-GENERAL,Definitions,Subset Of,10,Excellent
DCH-02,Data Handling Procedures,Data Classification and Handling,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
DCH-03,Sensitive Data Inventory,Data Classification and Handling,ART-035,35,4,SEC-04-03,Data protection impact assessment,Intersects With,5,Good
DCH-04,Data Quality Management,Data Classification and Handling,ART-016,16,3,SEC-03-03,Right to rectification,Intersects With,5,Good
DCH-05,Data Disposal Procedures,Data Classification and Handling,ART-017,17,3,SEC-03-03,Right to erasure,Subset Of,10,Excellent
DCH-06,Sensitive Data Handling,Data Classification and Handling,ART-009,9,2,SEC-02-PRINCIPLES,Processing of special categories of personal data,Subset Of,10,Excellent
CRY-01,Cryptographic Controls Program,Cryptographic Protections,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
CRY-02,Encryption At Rest,Cryptographic Protections,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
CRY-03,Encryption In Transit,Cryptographic Protections,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
CRY-04,Key Management Program,Cryptographic Protections,ART-032,32,4,SEC-04-02,Security of processing,Intersects With,5,Good
CRY-05,Sensitive Data Encryption,Cryptographic Protections,ART-032,32,4,SEC-04-02,Security of processing,Subset Of,10,Excellent
AST-01,Asset Management Program,Asset Management,ART-035,35,4,SEC-04-03,Data protection impact assessment,Subset Of,10,Excellent
AST-02,Asset Classification,Asset Management,ART-004,4,1,SEC-01-GENERAL,Definitions,Intersects With,5,Good
AST-03,Sensitive Data Inventory,Asset Management,ART-015,15,3,SEC-03-02,Right of access by the data subject,Intersects With,5,Good
