scf_control_id,hipaa_standard_id
GOV-01,HIPAA-164.316(a)
GOV-02,HIPAA-164.308(a)(4)(ii)(A)
GOV-02,HIPAA-164.310(a)(1)
GOV-02,HIPAA-164.310(a)(2)(ii)
GOV-02,HIPAA-164.310(a)(2)(iv)
GOV-02,HIPAA-164.310(b)
GOV-02,HIPAA-164.310(d)(1)
GOV-02,HIPAA-164.310(d)(2)(i)
GOV-02,HIPAA-164.312(a)(1)
GOV-02,HIPAA-164.312(c)(1)
GOV-02,HIPAA-164.316(a)
GOV-03,HIPAA-164.316(b)(2)(iii)
GOV-04,HIPAA-164.308(a)(2)
GOV-09,HIPAA-164.308(a)(1)(ii)(B)
GOV-15.2,HIPAA-164.308(a)(1)(ii)(B)
AST-01,HIPAA-164.308(a)(7)(ii)(E)
AST-01,HIPAA-164.310(d)(1)
AST-01,HIPAA-164.310(d)(2)(i)
AST-01.1,HIPAA-164.308(a)(7)(ii)(E)
AST-02,HIPAA-164.310(d)(2)(iii)
AST-02.1,HIPAA-164.310(d)(2)(iii)
AST-02.9,HIPAA-164.310(d)(2)(iii)
AST-03,HIPAA-164.310(d)(2)(iii)
AST-03.1,HIPAA-164.310(d)(2)(iii)
AST-09,HIPAA-164.310(d)(2)(i)
AST-09,HIPAA-164.310(d)(2)(ii)
AST-11,HIPAA-164.310(d)(1)
BCD-01,HIPAA-164.308(a)(7)(ii)(C)
BCD-02,HIPAA-164.308(a)(7)(ii)(E)
BCD-02.2,HIPAA-164.308(a)(7)(ii)(C)
BCD-04,HIPAA-164.308(a)(7)(ii)(D)
BCD-05,HIPAA-164.308(a)(7)(ii)(D)
BCD-09.2,HIPAA-164.310(a)(2)(i)
BCD-11,HIPAA-164.308(a)(7)(ii)(A)
BCD-11,HIPAA-164.310(d)(2)(iv)
BCD-12,HIPAA-164.308(a)(7)(ii)(B)
CPL-02,HIPAA-164.316(b)(2)(iii)
CPL-03.2,HIPAA-164.308(a)(8)
CFG-02,HIPAA-164.312(a)(2)(iii)
CFG-02,HIPAA-164.312(e)(1)
CFG-02,HIPAA-164.312(e)(2)(i)
CFG-02,HIPAA-164.312(e)(2)(ii)
CFG-08,HIPAA-164.312(c)(2)
CFG-08.1,HIPAA-164.312(c)(2)
MON-01,HIPAA-164.308(a)(1)(ii)(D)
MON-01,HIPAA-164.312(b)
MON-01.4,HIPAA-164.312(b)
MON-01.7,HIPAA-164.312(c)(2)
MON-01.8,HIPAA-164.308(a)(1)(ii)(D)
MON-01.8,HIPAA-164.312(b)
MON-01.15,HIPAA-164.312(c)(2)
MON-01.16,HIPAA-164.308(a)(1)(ii)(D)
MON-01.16,HIPAA-164.312(b)
MON-03,HIPAA-164.312(b)
MON-03.2,HIPAA-164.312(b)
MON-16,HIPAA-164.312(b)
MON-16,HIPAA-164.312(c)(2)
CRY-01,HIPAA-164.312(a)(2)(iv)
CRY-01,HIPAA-164.312(e)(2)(ii)
CRY-03,HIPAA-164.312(e)(1)
CRY-04,HIPAA-164.312(e)(2)(i)
DCH-01,HIPAA-164.310(d)(1)
DCH-01,HIPAA-164.312(c)(1)
DCH-01.2,HIPAA-164.312(c)(1)
DCH-03,HIPAA-164.310(d)(1)
DCH-07,HIPAA-164.310(d)(1)
DCH-07.1,HIPAA-164.310(d)(1)
DCH-09,HIPAA-164.310(d)(2)(ii)
DCH-13.2,HIPAA-164.310(d)(1)
DCH-18,HIPAA-164.316(b)(2)(i)
END-01,HIPAA-164.310(b)
END-02,HIPAA-164.310(c)
HRS-01,HIPAA-164.308(a)(3)(ii)(A)
