SCF_Control_Code,TISAX_FDE,SCF_Control_Name,TISAX_Requirement_Name,TISAX_FDE_Full,Relationship_Type,Relationship_Strength,Mapping_Quality
GOV-01,ISA 1.2,Cybersecurity & Data Protection Governance Program,Organization of Information Security,1.2.1 - Organization of Information Security,Subset Of,10,Excellent
GOV-01.1,ISA 1.2,Steering Committee & Program Oversight,Organization of Information Security,1.2.1 - Organization of Information Security,Intersects With,5,Good
GOV-02,ISA 1.1,Publishing Cybersecurity & Data Protection Documentation,IS Policies,1.1.1 - IS Policies,Intersects With,5,Good
GOV-02,ISA 1.5,Publishing Cybersecurity & Data Protection Documentation,Assessments,1.5.1 - Assessments,Intersects With,5,Good
GOV-02.1,ISA 1.5,Exception Management,Assessments,1.5.1 - Assessments,Intersects With,5,Good
GOV-03,ISA 1.5,Periodic Review & Update of Cybersecurity Program,Assessments,1.5.1 - Assessments,Intersects With,5,Good
GOV-04,ISA 1.2,Assigned Cybersecurity & Data Protection Responsibilities,Organization of Information Security,1.2.1 - Organization of Information Security,Intersects With,5,Good
GOV-04,ISA 1.2,Assigned Cybersecurity & Data Protection Responsibilities,Organization of Information Security,1.2.2 - Organization of Information Security,Intersects With,5,Good
GOV-04.1,ISA 1.2,Stakeholder Accountability Structure,Organization of Information Security,1.2.1 - Organization of Information Security,Intersects With,5,Good
GOV-04.1,ISA 1.2,Stakeholder Accountability Structure,Organization of Information Security,1.2.2 - Organization of Information Security,Intersects With,5,Good
GOV-04.1,ISA 1.2,Stakeholder Accountability Structure,Organization of Information Security,1.2.4 - Organization of Information Security,Intersects With,5,Good
GOV-04.2,ISA 1.2,Authoritative Chain of Command,Organization of Information Security,1.2.1 - Organization of Information Security,Intersects With,5,Good
GOV-04.2,ISA 1.2,Authoritative Chain of Command,Organization of Information Security,1.2.2 - Organization of Information Security,Intersects With,5,Good
GOV-05,ISA 1.2,Measures of Performance,Organization of Information Security,1.2.1 - Organization of Information Security,Intersects With,5,Good
GOV-08,ISA 1.1,Defining Business Context & Mission,IS Policies,1.1.1 - IS Policies,Intersects With,5,Good
GOV-09,ISA 1.1,Define Control Objectives,IS Policies,1.1.1 - IS Policies,Intersects With,5,Good
GOV-15,ISA 1.2,Operationalizing Cybersecurity & Data Protection Practices,Organization of Information Security,1.2.1 - Organization of Information Security,Intersects With,5,Good
GOV-15.1,ISA 1.2,Select Controls,Organization of Information Security,1.2.1 - Organization of Information Security,Intersects With,5,Good
GOV-15.1,ISA 1.2,Select Controls,Organization of Information Security,1.2.4 - Organization of Information Security,Intersects With,5,Good
HRS-02,ISA 1.2,Position Categorization,Organization of Information Security,1.2.2 - Organization of Information Security,Intersects With,5,Good
HRS-03,ISA 1.2,Roles & Responsibilities,Organization of Information Security,1.2.2 - Organization of Information Security,Subset Of,10,Excellent
HRS-03,ISA 1.2,Roles & Responsibilities,Organization of Information Security,1.2.4 - Organization of Information Security,Intersects With,5,Good
