SCF_Control,SCF_ID,HIPAA
Cybersecurity Data Privacy Governance,GOV,HIPAA Security Rule
Cybersecurity Data Privacy Governance,GOV,HIPAA Privacy Rule
Cybersecurity Data Privacy Governance,GOV,HIPAA Breach Notification Rule
Artificial and Autonomous Technology,AAT,HIPAA Security Rule
Artificial and Autonomous Technology,AAT,HIPAA Privacy Rule
Asset Management,AST,HIPAA Security Rule
Asset Management,AST,HIPAA 164.310 Physical Safeguards
Business Continuity Disaster Recovery,BCD,HIPAA Security Rule
Business Continuity Disaster Recovery,BCD,HIPAA 164.308 Administrative Safeguards
Capacity Performance Planning,CAP,HIPAA Security Rule
Change Management,CHG,HIPAA Security Rule
Change Management,CHG,HIPAA 164.308 Administrative Safeguards
Cloud Security,CLD,HIPAA Security Rule
Cloud Security,CLD,HIPAA 164.308 Administrative Safeguards
Cloud Security,CLD,HIPAA 164.312 Technical Safeguards
Compliance,CPL,HIPAA Security Rule
Compliance,CPL,HIPAA Privacy Rule
Compliance,CPL,HIPAA 164.308 Administrative Safeguards
Compliance,CPL,HIPAA Breach Notification Rule
Configuration Management,CFG,HIPAA Security Rule
Configuration Management,CFG,HIPAA 164.312 Technical Safeguards
Continuous Monitoring,MON,HIPAA Security Rule
Continuous Monitoring,MON,HIPAA 164.308 Administrative Safeguards
Continuous Monitoring,MON,HIPAA 164.312 Technical Safeguards
Cryptographic Protections,CRY,HIPAA Security Rule
Cryptographic Protections,CRY,HIPAA 164.312 Technical Safeguards
Data Classification Handling,DCH,HIPAA Security Rule
Data Classification Handling,DCH,HIPAA Privacy Rule
Data Classification Handling,DCH,HIPAA 164.312 Technical Safeguards
Embedded Technology,EMB,HIPAA Security Rule
Embedded Technology,EMB,HIPAA 164.308 Administrative Safeguards
Embedded Technology,EMB,HIPAA 164.312 Technical Safeguards
Endpoint Security,END,HIPAA Security Rule
Endpoint Security,END,HIPAA 164.312 Technical Safeguards
Human Resources Security,HRS,HIPAA Security Rule
Human Resources Security,HRS,HIPAA Privacy Rule
Human Resources Security,HRS,HIPAA 164.308 Administrative Safeguards
Identification Authentication,IAC,HIPAA Security Rule
Identification Authentication,IAC,HIPAA 164.312 Technical Safeguards
Incident Response,IRO,HIPAA Security Rule
Incident Response,IRO,HIPAA 164.308 Administrative Safeguards
Incident Response,IRO,HIPAA Breach Notification Rule
Information Assurance,IAO,HIPAA Security Rule
Information Assurance,IAO,HIPAA 164.308 Administrative Safeguards
Maintenance,MNT,HIPAA Security Rule
Maintenance,MNT,HIPAA 164.308 Administrative Safeguards
Mobile Device Management,MDM,HIPAA Security Rule
Mobile Device Management,MDM,HIPAA 164.308 Administrative Safeguards
Mobile Device Management,MDM,HIPAA 164.312 Technical Safeguards
Network Security,NET,HIPAA Security Rule
Network Security,NET,HIPAA 164.312 Technical Safeguards
Physical Environmental Security,PES,HIPAA Security Rule
Physical Environmental Security,PES,HIPAA 164.310 Physical Safeguards
Data Privacy,PRI,HIPAA Security Rule
Data Privacy,PRI,HIPAA Privacy Rule
Data Privacy,PRI,HIPAA 164.308 Administrative Safeguards
Data Privacy,PRI,HIPAA 164.312 Technical Safeguards
Project Resource Management,PRM,HIPAA Security Rule
Project Resource Management,PRM,HIPAA 164.308 Administrative Safeguards
Risk Management,RSK,HIPAA Security Rule
Risk Management,RSK,HIPAA 164.308 Administrative Safeguards
Secure Engineering Architecture,SEA,HIPAA Security Rule
Secure Engineering Architecture,SEA,HIPAA 164.312 Technical Safeguards
Security Operations,OPS,HIPAA Security Rule
Security Operations,OPS,HIPAA 164.308 Administrative Safeguards
Security Operations,OPS,HIPAA 164.312 Technical Safeguards
Security Awareness Training,SAT,HIPAA Security Rule
Security Awareness Training,SAT,HIPAA Privacy Rule
Security Awareness Training,SAT,HIPAA 164.308 Administrative Safeguards
Technology Development Acquisition,TDA,HIPAA Security Rule
Technology Development Acquisition,TDA,HIPAA 164.312 Technical Safeguards
Third-Party Management,TPM,HIPAA Security Rule
Third-Party Management,TPM,HIPAA Privacy Rule
Third-Party Management,TPM,HIPAA 164.308 Administrative Safeguards
Threat Management,THR,HIPAA Security Rule
Threat Management,THR,HIPAA 164.308 Administrative Safeguards
Threat Management,THR,HIPAA 164.312 Technical Safeguards
Vulnerability Patch Management,VPM,HIPAA Security Rule
Vulnerability Patch Management,VPM,HIPAA 164.312 Technical Safeguards
Web Security,WEB,HIPAA Security Rule
Web Security,WEB,HIPAA 164.312 Technical Safeguards
