SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,ISO27001_Clause,ISO27001_Control,ISO27001_Control_Title
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Privacy Program Governance,5,5.1,Policies for information security
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Governance Program Execution,5,5.2,Information security roles and responsibilities
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Leadership Engagement,5,5.3,Segregation of duties
Cybersecurity Data Privacy Governance,GOV,GOV-02,Applicable Statutory Regulatory Contractual Requirements Definition,5,5.1,Policies for information security
Cybersecurity Data Privacy Governance,GOV,GOV-02.1,Applicable Requirements Assessment,5,5.3,Segregation of duties
Cybersecurity Data Privacy Governance,GOV,GOV-02.2,Requirements Integration,5,5.1,Policies for information security
Cybersecurity Data Privacy Governance,GOV,GOV-03,Risk-Based Program Definition,4,4.1,Determining the scope of the information security management system
Cybersecurity Data Privacy Governance,GOV,GOV-03.1,Risk Assessment Program,4,4.3,Determining the scope of the information security management system
Cybersecurity Data Privacy Governance,GOV,GOV-03.2,Risk Response Program,4,4.4,Information security management system
Artificial and Autonomous Technology,AAT,AAT-01,Artificial Intelligence AI and Autonomous Technologies Governance,5,5.1,Policies for information security
Artificial and Autonomous Technology,AAT,AAT-01.1,AI and Autonomous Technologies Legal Requirements,5,5.2,Information security roles and responsibilities
Artificial and Autonomous Technology,AAT,AAT-01.2,Trustworthy AI and Autonomous Technologies,6,6.2,Information security risk assessment
Artificial and Autonomous Technology,AAT,AAT-01.3,AI and Autonomous Technologies Value Sustainment,8,8.1,Operational planning and control
Artificial and Autonomous Technology,AAT,AAT-02,Situational Awareness of AI and Autonomous Technologies,6,6.1,Information security risk assessment
Artificial and Autonomous Technology,AAT,AAT-02.1,AI and Autonomous Technologies Risk Mapping,6,6.2,Information security risk assessment
Artificial and Autonomous Technology,AAT,AAT-02.2,AI and Autonomous Technologies Internal Controls,7,7.1,Information security risk treatment
Artificial and Autonomous Technology,AAT,AAT-02.3,Adequate Protections For AI and Autonomous Technologies,7,7.2,Information security risk treatment
Artificial and Autonomous Technology,AAT,AAT-03,AI and Autonomous Technologies Context Definition,4,4.3,Information security context
Artificial and Autonomous Technology,AAT,AAT-04,AI and Autonomous Technologies Data Governance,5,5.3,Segregation of duties
Artificial and Autonomous Technology,AAT,AAT-05,AI and Autonomous Technologies Transparency,8,8.1,Operational planning and control
Artificial and Autonomous Technology,AAT,AAT-06,AI and Autonomous Technologies Impact Assessment,6,6.1,Information security risk assessment
Artificial and Autonomous Technology,AAT,AAT-07,AI and Autonomous Technologies Testing,6,6.2,Information security risk assessment
Asset Management,AST,AST-01,Asset Management Program,5,5.1,Policies for information security
Asset Management,AST,AST-01.1,Asset Dependency Analysis,5,5.9,Asset management
Asset Management,AST,AST-01.2,Asset Inventory Accuracy,5,5.9,Asset management
Asset Management,AST,AST-01.3,Asset Lifecycle Management,5,5.9,Asset management
Asset Management,AST,AST-02,Asset Tracking and Management,8,8.1,Operational planning and control
Asset Management,AST,AST-02.1,Asset Location Monitoring,8,8.2,Monitoring and review of information security
Asset Management,AST,AST-02.2,Asset Status Tracking,5,5.9,Asset management
Asset Management,AST,AST-03,Device Management,5,5.9,Asset management
Business Continuity and Disaster Recovery,BCD,BCD-01,Business Continuity and Disaster Recovery Program,5,5.1,Policies for information security
Business Continuity and Disaster Recovery,BCD,BCD-01.1,Business Continuity Plan,7,7.5,Information security continuity
Business Continuity and Disaster Recovery,BCD,BCD-01.2,Disaster Recovery Plan,7,7.5,Information security continuity
Business Continuity and Disaster Recovery,BCD,BCD-01.3,Business Continuity Testing,7,7.5,Information security continuity
Business Continuity and Disaster Recovery,BCD,BCD-02,Recovery Time Objective Definition,7,7.5,Information security continuity
Business Continuity and Disaster Recovery,BCD,BCD-02.1,Recovery Point Objective Definition,7,7.5,Information security continuity
Business Continuity and Disaster Recovery,BCD,BCD-03,Business Continuity Review,7,7.5,Information security continuity
Capacity and Performance Planning,CAP,CAP-01,Capacity Assessment Program,5,5.9,Asset management
Capacity and Performance Planning,CAP,CAP-01.1,Capacity Planning,7,7.1,Information security risk treatment
Capacity and Performance Planning,CAP,CAP-02,Performance Monitoring,8,8.1,Operational planning and control
Capacity and Performance Planning,CAP,CAP-02.1,Capacity Trending,8,8.2,Monitoring and review of information security
Change Management,CHG,CHG-01,Change Management Program,7,7.1,Information security risk treatment
Change Management,CHG,CHG-01.1,Change Authorization,7,7.2,Information security risk treatment
Change Management,CHG,CHG-01.2,Change Implementation,7,7.3,Information security risk treatment
Change Management,CHG,CHG-02,Change Tracking,8,8.1,Operational planning and control
Change Management,CHG,CHG-02.1,Change Documentation,8,8.2,Monitoring and review of information security
Cloud Security,CLD,CLD-01,Cloud Security Program,5,5.1,Policies for information security
Cloud Security,CLD,CLD-01.1,Cloud Risk Assessment,6,6.1,Information security risk assessment
Cloud Security,CLD,CLD-01.2,Cloud Security Controls,7,7.1,Information security risk treatment
Cloud Security,CLD,CLD-02,Cloud Configuration Management,7,7.2,Information security risk treatment
Cloud Security,CLD,CLD-02.1,Cloud Asset Management,5,5.9,Asset management
Cloud Security,CLD,CLD-02.2,Cloud Access Control,5,5.3,Segregation of duties
Compliance,CPL,CPL-01,Compliance Monitoring Program,5,5.1,Policies for information security
Compliance,CPL,CPL-01.1,Compliance Assessment,8,8.2,Monitoring and review of information security
Compliance,CPL,CPL-01.2,Compliance Remediation,8,8.3,Management of information security incidents
Compliance,CPL,CPL-02,Compliance Reporting,8,8.2,Monitoring and review of information security
Compliance,CPL,CPL-02.1,Audit Response,8,8.2,Monitoring and review of information security
Configuration Management,CFG,CFG-01,Configuration Management Program,5,5.1,Policies for information security
Configuration Management,CFG,CFG-01.1,Configuration Standards,5,5.7,Configuration management
Configuration Management,CFG,CFG-01.2,Configuration Baseline,5,5.7,Configuration management
Configuration Management,CFG,CFG-02,Configuration Change Control,5,5.7,Configuration management
Continuous Monitoring,MON,MON-01,Event Log Review and Analysis,8,8.1,Operational planning and control
Continuous Monitoring,MON,MON-01.1,Event Log Centralized Collection,8,8.2,Monitoring and review of information security
Continuous Monitoring,MON,MON-01.2,Event Log Preservation,8,8.2,Monitoring and review of information security
Continuous Monitoring,MON,MON-01.3,Event Log Correlation and Analysis,8,8.2,Monitoring and review of information security
Continuous Monitoring,MON,MON-01.4,Event Log Anomaly Detection,8,8.2,Monitoring and review of information security
Continuous Monitoring,MON,MON-02,Continuous Monitoring Automation,8,8.1,Operational planning and control
Continuous Monitoring,MON,MON-02.1,Automated Event Collection,8,8.2,Monitoring and review of information security
Continuous Monitoring,MON,MON-02.2,Automated Event Analysis,8,8.2,Monitoring and review of information security
Cryptographic Protections,CRY,CRY-01,Cryptographic Controls Program,8,8.3,Cryptography
Cryptographic Protections,CRY,CRY-01.1,Cryptographic Algorithm Standards,8,8.3,Cryptography
Cryptographic Protections,CRY,CRY-02,Cryptographic At Rest,8,8.3,Cryptography
Cryptographic Protections,CRY,CRY-03,Cryptographic In Transit,8,8.3,Cryptography
Cryptographic Protections,CRY,CRY-04,Key Management,8,8.3,Cryptography
Cryptographic Protections,CRY,CRY-04.1,Key Generation,8,8.3,Cryptography
Cryptographic Protections,CRY,CRY-05,Key Management Practices,8,8.3,Cryptography
Data Classification and Handling,DCH,DCH-01,Data Classification Scheme,5,5.10,Information classification
Data Classification and Handling,DCH,DCH-01.1,Data Classification Standards,5,5.10,Information classification
Data Classification and Handling,DCH,DCH-01.2,Data Classification Implementation,5,5.10,Information classification
Data Classification and Handling,DCH,DCH-01.3,Sensitive Data Inventory,5,5.10,Information classification
Data Classification and Handling,DCH,DCH-01.4,Data Handling Practices,5,5.10,Information classification
Data Classification and Handling,DCH,DCH-02,Data Handling Procedures,5,5.10,Information classification
Data Classification and Handling,DCH,DCH-02.1,Data Storage Standards,8,8.3,Cryptography
Data Classification and Handling,DCH,DCH-02.2,Data Transmission Standards,8,8.3,Cryptography
Embedded Technology,EMB,EMB-01,Embedded Systems Security Program,5,5.1,Policies for information security
Embedded Technology,EMB,EMB-01.1,Embedded Systems Risk Assessment,6,6.1,Information security risk assessment
Embedded Technology,EMB,EMB-01.2,Embedded Systems Security Controls,7,7.1,Information security risk treatment
Embedded Technology,EMB,EMB-02,Firmware Hardening,7,7.2,Information security risk treatment
Embedded Technology,EMB,EMB-02.1,Firmware Updates and Patches,7,7.4,Patch and vulnerability management
Endpoint Security,END,END-01,Endpoint Security Program,5,5.1,Policies for information security
Endpoint Security,END,END-01.1,Endpoint Asset Inventory,5,5.9,Asset management
Endpoint Security,END,END-01.2,Endpoint Security Standards,5,5.7,Configuration management
Endpoint Security,END,END-02,Endpoint Hardening,5,5.7,Configuration management
Endpoint Security,END,END-02.1,Malware Protection,7,7.6,Malware protection
Endpoint Security,END,END-02.2,Host-based Firewall,7,7.13,Segregation of networks
Endpoint Security,END,END-03,Endpoint Monitoring,8,8.1,Operational planning and control
Human Resources Security,HRS,HRS-01,Human Resources Security Program,5,5.1,Policies for information security
Human Resources Security,HRS,HRS-01.1,Hiring Practices,5,5.4,Human resources security
Human Resources Security,HRS,HRS-01.2,Background Checks,5,5.4,Human resources security
Human Resources Security,HRS,HRS-02,Personnel Management,5,5.4,Human resources security
Human Resources Security,HRS,HRS-02.1,Role-Based Responsibilities,5,5.3,Segregation of duties
Human Resources Security,HRS,HRS-02.2,Termination Procedures,5,5.4,Human resources security
Human Resources Security,HRS,HRS-03,Security Awareness Training,5,5.5,Supplier relationships
Identification and Authentication,IAC,IAC-01,Identity and Access Management Program,5,5.1,Policies for information security
