SCF Domain,SCF Domain Code,SCF Control Code,SCF Control Name,NIST CSF v2.0 Function,NIST CSF v2.0 Category,NIST CSF v2.0 Subcategory
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Protection Governance Program,GV,GV.RM,GV.RM-01
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Protection Governance Program,GV,GV.RM,GV.RM-03
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Protection Governance Program,GV,GV.RR,GV.RR-01
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Protection Governance Program,GV,GV.SC,GV.SC-01
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Protection Governance Program,GV,GV.SC,GV.SC-03
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Protection Governance Program,GV,GV.SC,GV.SC-09
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Protection Governance Program,ID,ID.RA,
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Protection Governance Program,PR,PR.IR,
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Steering Committee Program Oversight,GV,GV.OV,GV.OV-01
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Steering Committee Program Oversight,GV,GV.OV,GV.OV-02
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Steering Committee Program Oversight,GV,GV.OV,GV.OV-03
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Steering Committee Program Oversight,GV,GV.RM,GV.RM-01
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Steering Committee Program Oversight,GV,GV.RM,GV.RM-03
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Steering Committee Program Oversight,GV,GV.RR,GV.RR-01
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Steering Committee Program Oversight,GV,GV.SC,GV.SC-01
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Steering Committee Program Oversight,GV,GV.SC,GV.SC-03
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Steering Committee Program Oversight,GV,GV.SC,GV.SC-09
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Steering Committee Program Oversight,ID,ID.RA,
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Steering Committee Program Oversight,PR,PR.IR,
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,GV,GV.OV,GV.OV-01
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,GV,GV.OV,GV.OV-02
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,GV,GV.OV,GV.OV-03
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,GV,GV.RM,GV.RM-01
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,GV,GV.RM,GV.RM-03
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,GV,GV.RR,GV.RR-01
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,GV,GV.RR,GV.RR-02
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,GV,GV.SC,GV.SC-01
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,GV,GV.SC,GV.SC-03
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,GV,GV.SC,GV.SC-09
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,ID,ID.RA,
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Steering Committee Program Oversight,PR,PR.IR,
Cybersecurity Data Privacy Governance,GOV,GOV-02,Governance Controls,GV,GV.PO,GV.PO-01
Cybersecurity Data Privacy Governance,GOV,GOV-02,Governance Controls,GV,GV.SC,GV.SC-01
Cybersecurity Data Privacy Governance,GOV,GOV-02,Governance Controls,GV,GV.SC,GV.SC-03
Cybersecurity Data Privacy Governance,GOV,GOV-02,Governance Controls,ID,ID.RA,
Cybersecurity Data Privacy Governance,GOV,GOV-03,Periodic Review Update,GV,GV.OV,GV.OV-01
Cybersecurity Data Privacy Governance,GOV,GOV-03,Periodic Review Update,GV,GV.OV,GV.OV-02
Cybersecurity Data Privacy Governance,GOV,GOV-03,Periodic Review Update,GV,GV.PO,GV.PO-02
Cybersecurity Data Privacy Governance,GOV,GOV-04,Assigned Roles and Responsibilities,GV,GV.RM,GV.RM-05
Cybersecurity Data Privacy Governance,GOV,GOV-04,Assigned Roles and Responsibilities,GV,GV.RR,GV.RR-01
Cybersecurity Data Privacy Governance,GOV,GOV-04,Assigned Roles and Responsibilities,GV,GV.RR,GV.RR-02
Cybersecurity Data Privacy Governance,GOV,GOV-04.1,Stakeholder Accountability Structure,GV,GV.RM,GV.RM-05
Cybersecurity Data Privacy Governance,GOV,GOV-04.1,Stakeholder Accountability Structure,GV,GV.RR,GV.RR-01
Cybersecurity Data Privacy Governance,GOV,GOV-04.2,Authoritative Chain of Command,GV,GV.RM,GV.RM-05
Cybersecurity Data Privacy Governance,GOV,GOV-04.2,Authoritative Chain of Command,GV,GV.RR,GV.RR-01
Cybersecurity Data Privacy Governance,GOV,GOV-05,Measures of Performance Metrics,GV,GV.OV,GV.OV-02
Cybersecurity Data Privacy Governance,GOV,GOV-05,Measures of Performance Metrics,GV,GV.OV,GV.OV-03
Cybersecurity Data Privacy Governance,GOV,GOV-05,Measures of Performance Metrics,GV,GV.RM,GV.RM-01
Cybersecurity Data Privacy Governance,GOV,GOV-05.2,KPI KRI Reporting,GV,GV.OV,GV.OV-03
Cybersecurity Data Privacy Governance,GOV,GOV-06,Governance Decisions,GV,GV,
Cybersecurity Data Privacy Governance,GOV,GOV-07,Contacts Groups Associations,ID,ID.RA,ID.RA-02
Cybersecurity Data Privacy Governance,GOV,GOV-08,Defining Business Context Mission,GV,GV.OC,GV.OC-01
Cybersecurity Data Privacy Governance,GOV,GOV-08,Defining Business Context Mission,GV,GV.OC,GV.OC-04
Cybersecurity Data Privacy Governance,GOV,GOV-08,Defining Business Context Mission,GV,GV.OV,GV.OV-01
Cybersecurity Data Privacy Governance,GOV,GOV-08,Defining Business Context Mission,GV,GV.SC,GV.SC-03
Cybersecurity Data Privacy Governance,GOV,GOV-09,Define Control Objectives,GV,GV.SC,GV.SC-03
Cybersecurity Data Privacy Governance,GOV,GOV-10,Data Governance,GV,GV.OC,GV.OC-04
Cybersecurity Data Privacy Governance,GOV,GOV-10,Data Governance,GV,GV.OV,GV.OV-01
Cybersecurity Data Privacy Governance,GOV,GOV-10,Data Governance,GV,GV.RM,
Identification Authentication,IAC,IAC-01,Access Control Program,PR,PR.AC,
Identification Authentication,IAC,IAC-01.2,Minimum Access Requirements,PR,PR.AC,PR.AC-01
Identification Authentication,IAC,IAC-02,Authentication Credentials,PR,PR.AC,PR.AC-02
Identification Authentication,IAC,IAC-02.1,Authentication Attributes,PR,PR.AC,PR.AC-02
Identification Authentication,IAC,IAC-02.2,Authentication Factors,PR,PR.AC,PR.AC-02
Identification Authentication,IAC,IAC-03,Service Accounts,PR,PR.AC,PR.AC-03
Identification Authentication,IAC,IAC-04,Privileged Access Management,PR,PR.AC,PR.AC-04
Identification Authentication,IAC,IAC-05,Access Control Provisions,PR,PR.AC,PR.AC-05
Identification Authentication,IAC,IAC-06,Revocation,PR,PR.AC,PR.AC-06
Identification Authentication,IAC,IAC-07,Segregation of Duties,PR,PR.AC,PR.AC-07
Identification Authentication,IAC,IAC-07.1,Preventive Segregation of Duties,PR,PR.AC,PR.AC-07
Identification Authentication,IAC,IAC-08,Access Review Certification,PR,PR.AC,
Identification Authentication,IAC,IAC-09,Identifier Management User Names,PR,PR.AA,PR.AA-01
Identification Authentication,IAC,IAC-09,Identifier Management User Names,PR,PR.AA,PR.AA-03
Identification Authentication,IAC,IAC-09,Identifier Management User Names,PR,PR.AA,PR.AA-05
Identification Authentication,IAC,IAC-09,Identifier Management User Names,PR,PR.AC,
Identification Authentication,IAC,IAC-09.1,User Identity ID Management,PR,PR.AC,
Identification Authentication,IAC,IAC-09.1,User Identity ID Management,PR,PR.AA,
Identification Authentication,IAC,IAC-09.2,Identity User Status,PR,PR.AC,
Identification Authentication,IAC,IAC-10,Authenticator Management,PR,PR.AC,
Identification Authentication,IAC,IAC-10,Authenticator Management,PR,PR.AA,
Identification Authentication,IAC,IAC-10.1,Automated System Account Management Directory Services,PR,PR.AC,
Identification Authentication,IAC,IAC-15,Account Management,PR,PR.AC,
Identification Authentication,IAC,IAC-15.1,Automated System Account Management Directory Services,PR,PR.AC,
Identification Authentication,IAC,IAC-15.2,Account Provisioning Deprovisioning,PR,PR.AC,
Identification Authentication,IAC,IAC-15.3,Dormant Account Identification Removal,PR,PR.AC,
Risk Management,RSK,RSK-01,Risk Identification Assessment,GV,GV.RM,GV.RM-01
Risk Management,RSK,RSK-01,Risk Identification Assessment,GV,GV.RM,GV.RM-03
Risk Management,RSK,RSK-01,Risk Identification Assessment,GV,GV.RM,GV.RM-04
Risk Management,RSK,RSK-01,Risk Identification Assessment,GV,GV.RM,GV.RM-06
Risk Management,RSK,RSK-01,Risk Identification Assessment,GV,GV.RR,GV.RR-01
Risk Management,RSK,RSK-01,Risk Identification Assessment,GV,GV.SC,GV.SC-01
Risk Management,RSK,RSK-01,Risk Identification Assessment,GV,GV.SC,GV.SC-03
Risk Management,RSK,RSK-01,Risk Identification Assessment,GV,GV.SC,GV.SC-05
Risk Management,RSK,RSK-01,Risk Identification Assessment,GV,GV.SC,GV.SC-09
Risk Management,RSK,RSK-01,Risk Identification Assessment,ID,ID.IM,
Risk Management,RSK,RSK-01,Risk Identification Assessment,ID,ID.RA,
Risk Management,RSK,RSK-01,Risk Identification Assessment,PR,PR.IR,
Risk Management,RSK,RSK-01.1,Risk Framing,GV,GV.RM,
Risk Management,RSK,RSK-01.3,Risk Tolerance,GV,GV.OV,GV.OV-02
Risk Management,RSK,RSK-01.3,Risk Tolerance,GV,GV.OV,GV.OV-03
Risk Management,RSK,RSK-01.3,Risk Tolerance,GV,GV.RM,
Risk Management,RSK,RSK-01.4,Risk Threshold,GV,GV.RM,GV.RM-04
Risk Management,RSK,RSK-01.4,Risk Threshold,GV,GV.RM,GV.RM-06
Risk Management,RSK,RSK-01.4,Risk Threshold,GV,GV.RM,GV.RM-07
Risk Management,RSK,RSK-02,Risk Remediation,GV,GV.RM,GV.RM-01
Risk Management,RSK,RSK-02.1,Risk Prioritization,GV,GV.RM,GV.RM-03
Risk Management,RSK,RSK-02.2,Risk Mitigation Actions,GV,GV.RM,GV.RM-04
Risk Management,RSK,RSK-08,Business Impact Analysis,GV,GV.RM,
Third-Party Management,TPM,TPM-01,Third-Party Management Program,GV,GV.SC,GV.SC-01
Third-Party Management,TPM,TPM-01.1,Third-Party Inventory,GV,GV.SC,GV.SC-01
Third-Party Management,TPM,TPM-03,Third-Party Risk Assessment,GV,GV.SC,GV.SC-03
Third-Party Management,TPM,TPM-04,Third-Party Agreements,GV,GV.SC,GV.SC-04
Third-Party Management,TPM,TPM-04.2,Supply Chain Controls,GV,GV.SC,GV.SC-04
Third-Party Management,TPM,TPM-05.4,Third-Party Responsibility,GV,GV.SC,GV.SC-09
Threat Management,THR,THR-01,Threat Management Program,GV,GV.RM,
Threat Management,THR,THR-05,Threat Awareness,GV,GV.RM,
Continuous Monitoring,MON,MON-01,Event Log Review Analysis,DE,DE.CM,
Continuous Monitoring,MON,MON-01.1,Event Log Centralized Collection,DE,DE.CM,DE.CM-01
Continuous Monitoring,MON,MON-01.2,Event Log Preservation,DE,DE.CM,
