SCF_Domain,SCF_Domain_Code,SCF_Control_Code,SCF_Control_Name,CIS_Control_Id,CIS_Control_Name
Cybersecurity Data Privacy Governance,GOV,GOV-01,Cybersecurity Data Privacy Program Governance,1,Inventory and Control of Enterprise Assets
Cybersecurity Data Privacy Governance,GOV,GOV-01.1,Governance Program Execution,2,Inventory and Control of Software Assets
Cybersecurity Data Privacy Governance,GOV,GOV-01.2,Executive Leadership Engagement,3,Data Protection
Cybersecurity Data Privacy Governance,GOV,GOV-02,Applicable Statutory Regulatory Contractual Requirements Definition,4,Secure Configuration Management
Cybersecurity Data Privacy Governance,GOV,GOV-02.1,Applicable Requirements Assessment,5,Access Control Management
Cybersecurity Data Privacy Governance,GOV,GOV-02.2,Requirements Integration,6,Identity and Access Management
Cybersecurity Data Privacy Governance,GOV,GOV-03,Risk-Based Program Definition,7,Security Awareness and Skills Training
Cybersecurity Data Privacy Governance,GOV,GOV-03.1,Risk Assessment Program,8,Service Provider Management
Cybersecurity Data Privacy Governance,GOV,GOV-03.2,Risk Response Program,9,Security Incident Management
Artificial and Autonomous Technology,AAT,AAT-01,Artificial Intelligence AI and Autonomous Technologies Governance,3,Data Protection
Artificial and Autonomous Technology,AAT,AAT-01.1,AI and Autonomous Technologies Legal Requirements,5,Access Control Management
Artificial and Autonomous Technology,AAT,AAT-01.2,Trustworthy AI and Autonomous Technologies,4,Secure Configuration Management
Artificial and Autonomous Technology,AAT,AAT-01.3,AI and Autonomous Technologies Value Sustainment,6,Identity and Access Management
Artificial and Autonomous Technology,AAT,AAT-02,Situational Awareness of AI and Autonomous Technologies,13,Security Assessment and Testing
Artificial and Autonomous Technology,AAT,AAT-02.1,AI and Autonomous Technologies Risk Mapping,14,Security Awareness and Skills Training
Artificial and Autonomous Technology,AAT,AAT-02.2,AI and Autonomous Technologies Internal Controls,8,Service Provider Management
Artificial and Autonomous Technology,AAT,AAT-02.3,Adequate Protections For AI and Autonomous Technologies,4,Secure Configuration Management
Artificial and Autonomous Technology,AAT,AAT-03,AI and Autonomous Technologies Context Definition,3,Data Protection
Artificial and Autonomous Technology,AAT,AAT-04,AI and Autonomous Technologies Data Governance,3,Data Protection
Artificial and Autonomous Technology,AAT,AAT-05,AI and Autonomous Technologies Transparency,12,Boundary Defense
Artificial and Autonomous Technology,AAT,AAT-06,AI and Autonomous Technologies Impact Assessment,13,Security Assessment and Testing
Artificial and Autonomous Technology,AAT,AAT-07,AI and Autonomous Technologies Testing,13,Security Assessment and Testing
Asset Management,AST,AST-01,Asset Management Program,1,Inventory and Control of Enterprise Assets
Asset Management,AST,AST-01.1,Asset Dependency Analysis,1,Inventory and Control of Enterprise Assets
Asset Management,AST,AST-01.2,Asset Inventory Accuracy,1,Inventory and Control of Enterprise Assets
Asset Management,AST,AST-01.3,Asset Lifecycle Management,1,Inventory and Control of Enterprise Assets
Asset Management,AST,AST-02,Asset Tracking and Management,13,Security Assessment and Testing
Asset Management,AST,AST-02.1,Asset Location Monitoring,13,Security Assessment and Testing
Asset Management,AST,AST-02.2,Asset Status Tracking,1,Inventory and Control of Enterprise Assets
Asset Management,AST,AST-03,Device Management,1,Inventory and Control of Enterprise Assets
Business Continuity and Disaster Recovery,BCD,BCD-01,Business Continuity and Disaster Recovery Program,11,Data Recovery and Resilience
Business Continuity and Disaster Recovery,BCD,BCD-01.1,Business Continuity Plan,11,Data Recovery and Resilience
Business Continuity and Disaster Recovery,BCD,BCD-01.2,Disaster Recovery Plan,11,Data Recovery and Resilience
Business Continuity and Disaster Recovery,BCD,BCD-01.3,Business Continuity Testing,11,Data Recovery and Resilience
Business Continuity and Disaster Recovery,BCD,BCD-02,Recovery Time Objective Definition,11,Data Recovery and Resilience
Business Continuity and Disaster Recovery,BCD,BCD-02.1,Recovery Point Objective Definition,11,Data Recovery and Resilience
Business Continuity and Disaster Recovery,BCD,BCD-03,Business Continuity Review,11,Data Recovery and Resilience
Capacity and Performance Planning,CAP,CAP-01,Capacity Assessment Program,1,Inventory and Control of Enterprise Assets
Capacity and Performance Planning,CAP,CAP-01.1,Capacity Planning,13,Security Assessment and Testing
Capacity and Performance Planning,CAP,CAP-02,Performance Monitoring,8,Service Provider Management
Capacity and Performance Planning,CAP,CAP-02.1,Capacity Trending,13,Security Assessment and Testing
Change Management,CHG,CHG-01,Change Management Program,4,Secure Configuration Management
Change Management,CHG,CHG-01.1,Change Authorization,4,Secure Configuration Management
Change Management,CHG,CHG-01.2,Change Implementation,4,Secure Configuration Management
Change Management,CHG,CHG-02,Change Tracking,10,Logging and Monitoring
Change Management,CHG,CHG-02.1,Change Documentation,10,Logging and Monitoring
Cloud Security,CLD,CLD-01,Cloud Security Program,8,Service Provider Management
Cloud Security,CLD,CLD-01.1,Cloud Risk Assessment,8,Service Provider Management
Cloud Security,CLD,CLD-01.2,Cloud Security Controls,4,Secure Configuration Management
Cloud Security,CLD,CLD-02,Cloud Configuration Management,4,Secure Configuration Management
Cloud Security,CLD,CLD-02.1,Cloud Asset Management,1,Inventory and Control of Enterprise Assets
Cloud Security,CLD,CLD-02.2,Cloud Access Control,5,Access Control Management
Compliance,CPL,CPL-01,Compliance Monitoring Program,14,Security Awareness and Skills Training
Compliance,CPL,CPL-01.1,Compliance Assessment,13,Security Assessment and Testing
Compliance,CPL,CPL-01.2,Compliance Remediation,4,Secure Configuration Management
Compliance,CPL,CPL-02,Compliance Reporting,9,Security Incident Management
Compliance,CPL,CPL-02.1,Audit Response,13,Security Assessment and Testing
Configuration Management,CFG,CFG-01,Configuration Management Program,4,Secure Configuration Management
Configuration Management,CFG,CFG-01.1,Configuration Standards,4,Secure Configuration Management
Configuration Management,CFG,CFG-01.2,Configuration Baseline,4,Secure Configuration Management
Configuration Management,CFG,CFG-02,Configuration Change Control,4,Secure Configuration Management
Continuous Monitoring,MON,MON-01,Event Log Review and Analysis,10,Logging and Monitoring
Continuous Monitoring,MON,MON-01.1,Event Log Centralized Collection,10,Logging and Monitoring
Continuous Monitoring,MON,MON-01.2,Event Log Preservation,10,Logging and Monitoring
Continuous Monitoring,MON,MON-01.3,Event Log Correlation and Analysis,10,Logging and Monitoring
Continuous Monitoring,MON,MON-01.4,Event Log Anomaly Detection,10,Logging and Monitoring
Continuous Monitoring,MON,MON-02,Continuous Monitoring Automation,13,Security Assessment and Testing
Continuous Monitoring,MON,MON-02.1,Automated Event Collection,10,Logging and Monitoring
Continuous Monitoring,MON,MON-02.2,Automated Event Analysis,10,Logging and Monitoring
Cryptographic Protections,CRY,CRY-01,Cryptographic Controls Program,3,Data Protection
Cryptographic Protections,CRY,CRY-01.1,Cryptographic Algorithm Standards,3,Data Protection
Cryptographic Protections,CRY,CRY-02,Cryptographic At Rest,3,Data Protection
Cryptographic Protections,CRY,CRY-03,Cryptographic In Transit,3,Data Protection
Cryptographic Protections,CRY,CRY-04,Key Management,3,Data Protection
Cryptographic Protections,CRY,CRY-04.1,Key Generation,3,Data Protection
Cryptographic Protections,CRY,CRY-05,Key Management Practices,3,Data Protection
Data Classification and Handling,DCH,DCH-01,Data Classification Scheme,3,Data Protection
Data Classification and Handling,DCH,DCH-01.1,Data Classification Standards,3,Data Protection
Data Classification and Handling,DCH,DCH-01.2,Data Classification Implementation,3,Data Protection
Data Classification and Handling,DCH,DCH-01.3,Sensitive Data Inventory,3,Data Protection
Data Classification and Handling,DCH,DCH-01.4,Data Handling Practices,3,Data Protection
Data Classification and Handling,DCH,DCH-02,Data Handling Procedures,3,Data Protection
Data Classification and Handling,DCH,DCH-02.1,Data Storage Standards,3,Data Protection
Data Classification and Handling,DCH,DCH-02.2,Data Transmission Standards,3,Data Protection
