category_id,function_id,category_name,subcategory_count,category_description
ID.IM-P,ID-P,Inventory and Mapping,8,"Data processing by systems, products, or services is understood and informs the management of privacy risk."
ID.BE-P,ID-P,Business Environment,6,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform privacy roles, responsibilities, and risk management decisions."
ID.RA-P,ID-P,Risk Assessment,6,"The organization understands the privacy risks to individuals and how such privacy risks may create follow-on impacts on organizational operations, including mission, functions, other risk management priorities (e.g., compliance, financial), reputation, workforce, and culture."
GV.RM-P,GV-P,Risk Management Strategy,6,"The organization’s priorities, constraints, risk tolerance and appetite, and assumptions are established and used to support operational risk decisions."
GV.OV-P,GV-P,Oversight,3,"Results of organization-wide privacy risk management activities and performance are used to inform, improve, and adjust the risk management strategy."
GV.RR-P,GV-P,"Roles, Responsibilities, and Authorities",4,"Privacy roles, responsibilities, and authorities to foster accountability, performance assessment, and continuous improvement are established and communicated."
GV.DE-P,GV-P,Data Processing Ecosystem Risk Management,5,"The organization’s priorities, constraints, risk tolerance, and assumptions are established and used to support processes and risk decisions associated with data processing ecosystem risk management."
GV.AT-P,GV-P,Awareness and Training,4,"The organization’s personnel are provided with privacy awareness and training so that they can perform their privacy-related tasks."
GV.MT-P,GV-P,Monitoring and Review,7,"The policies, processes, and procedures for ongoing review of the organization’s privacy posture are understood and inform the management of privacy risk."
CT.PO-P,CT-P,"Data Processing Policies, Processes, and Procedures",4,"Policies, processes, and procedures are maintained and used to manage data processing (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment) consistent with the organization’s risk strategy to protect individuals’ privacy."
CT.DM-P,CT-P,Data Processing Management,11,"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy, increase manageability, and enable the implementation of privacy principles (e.g., individual participation, data quality, data minimization)."
CT.DP-P,CT-P,Disassociated Processing,5,"Data processing solutions increase disassociability consistent with the organization’s risk strategy to protect individuals’ privacy and enable implementation of privacy principles (e.g., data minimization)."
CM.AW-P,CM-P,Data Processing Awareness,8,"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy."
PR.AA-P,PR-P,"Identity Management, Authentication, and Access Control",6,"Access to data, devices, and systems is limited to authorized individuals, services, and hardware and managed consistent with the assessed risk of unauthorized access."
PR.DS-P,PR-P,Data Security,10,"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability."
PR.PS-P,PR-P,Platform Security,4,"The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms and associated data are managed consistent with the organization’s risk strategy to protect individuals' privacy and maintain data confidentiality, integrity, and availability."
PR.IR-P,PR-P,Technology Infrastructure Resilience,4,"Security architectures are managed with the organization’s risk strategy to protect individuals' privacy and maintain data confidentiality, integrity, and availability."
