node_id,node_name,node_type,definition,official_description,applicable_to,organization_owner,version,status,key_features
glba_req_001,Privacy Notice Requirement,Requirement,"Requirement under GLBA Financial Privacy Rule mandating financial institutions to provide clear, conspicuous privacy notices to consumers at account opening and annually thereafter, describing information practices and consumer rights.","Regulation P requirement for initial privacy notice at time of establishing customer relationship and annual notices to existing customers. Notice must include: categories of NPI collected, categories disclosed, disclosure practices, categories of affiliates and non-affiliates receiving information, consumer opt-out rights, institution's information security practices, and complaint procedures. Must be clear, conspicuous, accurate, and in plain language. FAST Act provides annual notice exemption for qualifying institutions.","All financial institutions with consumer/customer relationships","Federal banking agencies; FTC; CFPB","Regulation P Section 1016.4 and 1016.5; FAST Act Section 75001 (December 4, 2015)","Active and Enforced","Initial notice at account opening required; Annual notice required (unless FAST Act exemption applies); Clear and conspicuous format; Plain language requirement; Accurate reflection of actual practices; Electronic delivery with consent; Model privacy form available; Must include six core disclosures: NPI categories collected, categories disclosed, disclosure practices, affiliate/non-affiliate categories, opt-out rights, safeguarding measures"
glba_req_002,Opt-Out Rights Requirement,Requirement,"Requirement under Financial Privacy Rule giving consumers right to opt out (prohibit) financial institutions from sharing their nonpublic personal information with non-affiliated third parties, with specific exceptions.","Consumer right to direct institution not to share NPI with non-affiliated third parties. Institution must provide clear opt-out notice, reasonable opt-out means (online, phone, mail), and honor opt-out within reasonable timeframe. Opt-out does NOT apply to: information sharing with affiliates, disclosures to service providers under contract, disclosures required by law, or disclosures under GLBA exceptions (Sections 502(b)(2) and 502(e)). Consumers may revoke opt-out at any time.","Consumers and customers of financial institutions","Federal banking agencies; FTC; CFPB","Regulation P Sections 1016.7 through 1016.10","Active and Enforced","Right to opt out of non-affiliated third-party sharing; Does NOT apply to affiliate sharing; Does NOT apply to contracted service providers; Does NOT apply to legally required disclosures; Must provide reasonable opt-out means (web, phone, mail); Must honor within reasonable timeframe; Revocable by consumer; Ongoing customers must receive annual reminder; Opt-out applies to all NPI categories institution shares"
glba_req_003,Information Security Program Requirement,Requirement,"Core Safeguards Rule requirement mandating financial institutions develop, implement, and maintain comprehensive written information security program appropriate to institution size, complexity, activities, and data sensitivity.","16 CFR 314.3 requires written, documented information security program designed to: ensure security and confidentiality of customer information, protect against anticipated threats or hazards, protect against unauthorized access or use that could result in substantial harm or inconvenience. Program must be comprehensive, coordinated across organization, appropriate to institution's size and complexity, based on periodic risk assessment, continuously monitored and updated.","All financial institutions under FTC jurisdiction; Higher education institutions with Title IV programs","Federal Trade Commission","16 CFR Part 314.3 and 314.4","Active and Enforced (June 9, 2023)","Written program required; Must address security, confidentiality, integrity; Risk-based approach; Scalable to institution size/complexity; Includes administrative, technical, physical safeguards; Must be reviewed and updated regularly; Coordinated enterprise-wide; Based on periodic risk assessment; Board/senior officer approval; Annual reporting to board; Nine elements mandated: qualified individual, risk assessment, safeguards, monitoring/testing, training, vendor oversight, updates, incident response, reporting"
glba_req_004,Risk Assessment Requirement,Requirement,"Safeguards Rule Element 2 requiring periodic written risk assessments identifying reasonably foreseeable internal and external risks to customer information security, confidentiality, and integrity, and assessing safeguard sufficiency.","16 CFR 314.4(b) mandates written risk assessment conducted periodically (recommended annually or as needed based on changes). Must identify and document: reasonably foreseeable internal and external threats, likelihood and potential damage of threats, sufficiency of existing safeguards, prioritized risks for remediation. Assessment must include evaluation criteria for categorizing risks, criteria for assessing information systems and customer information confidentiality/integrity/availability, and requirements for how risks will be mitigated, accepted, or transferred.","All financial institutions under Safeguards Rule; Required element for all regardless of size","Federal Trade Commission","16 CFR 314.4(b)","Active and Enforced (June 9, 2023)","Periodic written risk assessment required; Must identify internal and external risks; Must evaluate existing safeguard sufficiency; Must include evaluation and categorization criteria; Must assess confidentiality, integrity, and availability; Must document risk treatment decisions (mitigate, accept, transfer); Should follow framework like NIST SP 800-30; Must be updated based on changes to threat landscape, systems, or business operations; Forms foundation of entire information security program; Results drive safeguard selection and implementation"
glba_req_005,Qualified Individual Designation Requirement,Requirement,"Safeguards Rule Element 1 requiring financial institutions to designate a qualified individual responsible for overseeing, implementing, and maintaining the institution's information security program (effectively a Chief Information Security Officer role).","16 CFR 314.4(a) mandates designation of qualified individual with authority and accountability for information security program. Individual must have sufficient knowledge, experience, and authority to: develop and implement program, enforce policies, coordinate security activities across organization, report to board/senior management. Can be employee, officer, or external consultant/contractor. Responsible for annual written report to board/senior officer on program status, compliance, and adequacy.","All financial institutions under Safeguards Rule; No exemption based on size","Federal Trade Commission","16 CFR 314.4(a)","Active and Enforced (June 9, 2023)","Designated qualified individual required; Can be employee or external contractor; Must have appropriate knowledge and experience; Must have organizational authority; Oversees entire information security program; Implements and enforces program elements; Coordinates across business units; Reports to board/senior officer annually in writing; Often titled CISO (Chief Information Security Officer), Security Officer, or Information Security Program Manager; Single point of accountability"
glba_req_006,Encryption Requirement,Requirement,"Safeguards Rule requirement mandating encryption of customer information at rest and in transit, or implementation of effective compensating controls if encryption is infeasible.","16 CFR 314.4(c) requires encryption to protect customer information using industry-standard algorithms and protocols. Data at rest should use AES-256 or equivalent; data in transit should use TLS 1.2 or higher. If encryption infeasible, institution must document why and implement effective alternative controls providing equivalent protection. Encryption must include proper key management, secure key storage, access controls for keys, and regular key rotation. Applies to all customer information systems, databases, backups, removable media, and communications.","All financial institutions under Safeguards Rule","Federal Trade Commission","16 CFR 314.4(c)","Active and Enforced (June 9, 2023)","Encryption required for data at rest and in transit; AES-256 or equivalent for stored data; TLS 1.2+ for data in transit; Effective compensating controls if encryption infeasible; Proper key management required; Applies to databases, backups, removable media, communications; Must protect customer information in all forms; Regular review and update of encryption standards; Documentation required for exceptions; Integration with access controls"
glba_req_007,Multi-Factor Authentication Requirement,Requirement,"Safeguards Rule requirement mandating multi-factor authentication (MFA) for any individual accessing customer information systems, particularly for remote access and privileged/administrative access.","16 CFR 314.4(c) requires MFA using at least two distinct authentication factors from different categories: something you know (password, PIN), something you have (hardware token, mobile device, smart card), something you are (biometric). Required for all remote access to customer information systems and high-risk administrative functions. Must be enforced through technical controls, regularly tested, monitored through audit logs, with backup authentication procedures for system failures. Users must complete MFA training.","All financial institutions under Safeguards Rule; Applies to employees, contractors, vendors accessing customer information","Federal Trade Commission","16 CFR 314.4(c)","Active and Enforced (June 9, 2023)","MFA required for customer information access; Minimum two distinct factors required; Mandatory for remote access; Required for privileged/administrative access; Factors from different categories (knowledge, possession, biometric); Hardware/software token implementation; Backup procedures for failures; Regular testing and monitoring; Audit logging of authentication events; User training on MFA procedures; Integration with access control systems"
glba_req_008,Vulnerability Assessment and Penetration Testing Requirement,Requirement,"Safeguards Rule Element 4 requirement mandating periodic vulnerability assessments (minimum biannually/quarterly) and penetration testing (minimum annually) to identify security weaknesses and validate control effectiveness.","16 CFR 314.4(d) requires: (1) Annual penetration testing by qualified internal or external testers simulating attacks to identify exploitable vulnerabilities; (2) Biannual (every 6 months) or quarterly vulnerability scans using automated tools identifying system weaknesses, misconfigurations, missing patches. Both must address risks identified in risk assessment, cover all systems handling customer information, document findings with severity ratings, require timely remediation plans, and be conducted by qualified personnel. Critical vulnerabilities must be remediated within defined timeframes (typically 30 days or less).","All financial institutions under Safeguards Rule; No exemption for small institutions","Federal Trade Commission","16 CFR 314.4(d)","Active and Enforced (June 9, 2023); 2024 amendment increased frequency to biannual/quarterly","Annual penetration testing required; Biannual or quarterly vulnerability scanning required; Must be performed by qualified personnel; Internal or external testers acceptable; Must address risks from risk assessment; Findings must be documented and prioritized; Remediation plans required; Critical findings require rapid remediation (≤30 days); Covers all systems with customer information; Includes network, application, system, and physical testing; Results inform program updates; Audit trail required"
glba_req_009,Security Awareness Training Requirement,Requirement,"Safeguards Rule Element 5 requiring financial institutions to provide regular, updated security awareness training to all personnel with access to customer information, covering information security program, organizational responsibilities, and current threats.","16 CFR 314.4(e) mandates security training for all employees, contractors, and affiliates with customer information access. Training must cover: institution's information security program and policies, employee responsibilities and acceptable use, current threat landscape including phishing and social engineering, pretexting identification and prevention, incident detection and reporting procedures, password hygiene and MFA use. Must be provided at onboarding, repeated regularly (at least annually), updated for new threats, tailored to roles and risk levels, documented with completion records, with testing/assessment of effectiveness.","All employees, contractors, and affiliates of financial institutions with customer information access","Federal Trade Commission","16 CFR 314.4(e)","Active and Enforced (June 9, 2023)","Security awareness training required for all personnel; Initial training at onboarding; Regular recurring training (minimum annual); Updated for emerging threats; Covers GLBA requirements, institutional policies, threat identification, incident reporting; Phishing and social engineering awareness; Pretexting prevention training; Role-based and risk-based content; Documented completion records; Effectiveness testing; Ongoing awareness campaigns; Simulated phishing exercises; Specialized training for security staff"
glba_req_010,Vendor Risk Management Requirement,Requirement,"Safeguards Rule Element 6 requiring financial institutions to oversee and manage security risks posed by third-party service providers with access to customer information through due diligence, contracts, and ongoing monitoring.","16 CFR 314.4(f) mandates comprehensive third-party risk management for all service providers with customer information access or critical system access. Requires: (1) Pre-engagement due diligence assessing vendor security practices, (2) Written contracts requiring vendors to implement GLBA-equivalent safeguards, restrict NPI use to agreed purposes, provide breach notification, allow audits, manage sub-vendors, (3) Risk-based vendor tiering and prioritization, (4) Ongoing monitoring and periodic assessments (annual or more frequent), (5) Vendor audit review, (6) Remediation enforcement for non-compliance, (7) Secure vendor offboarding and data disposal. Chain of responsibility extends to sub-vendors.","All financial institutions engaging third-party service providers; Applies to vendors with customer information access or critical system access","Federal Trade Commission","16 CFR 314.4(f)","Active and Enforced (June 9, 2023)","Third-party vendor oversight required; Pre-engagement due diligence and risk assessment; Written service provider agreements mandating safeguards; Contracts must require GLBA compliance, NPI use restrictions, breach notification, audit rights; Risk-based tiering of vendors; Ongoing monitoring and periodic assessments (annual minimum); Review of vendor security reports (SOC 2, ISO 27001, HECVAT); Sub-vendor oversight requirements; Remediation or termination for non-compliance; Secure vendor offboarding; Vendor access controls and monitoring; Centralized vendor management process"
