formfield_id,form_id,field_number,label,source_document
FORM-SCH-I-F1,FORM-SCH-I,1,Full Name *,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F2,FORM-SCH-I,2,"Have you ever been known by any other name? If Yes,",KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F3,FORM-SCH-I,3,Address,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F4,FORM-SCH-I,4,Address for Communication * Tick √ as applicable A or B,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F5,FORM-SCH-I,5,Father’s Name *,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F6,FORM-SCH-I,6,Sex * (For Individual Applicant only) Tick √ as applicable : Male / Female,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F7,FORM-SCH-I,7,Date of Birth (dd/mm/yyyy) * --/--/----,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F8,FORM-SCH-I,8,Nationality *,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F9,FORM-SCH-I,9,Credit Card Details,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F10,FORM-SCH-I,10,E-mail Address,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F11,FORM-SCH-I,11,Web URL address,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F12,FORM-SCH-I,12,Passport Details #,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F13,FORM-SCH-I,13,Voter’s Identity Card No. #,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F14,FORM-SCH-I,14,Income Tax PAN no. #,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F15,FORM-SCH-I,15,ISP Details,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F16,FORM-SCH-I,16,"Personal Web page URL address, if any",KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F17,FORM-SCH-I,17,Capital in the business or profession * Rs.,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F18,FORM-SCH-I,18,Registration Number *,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F19,FORM-SCH-I,19,Date of Incorporation/Agreement/Partnership * --/--/----,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F20,FORM-SCH-I,20,"Particulars of Business, if any: *",KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F21,FORM-SCH-I,21,Income Tax PAN No.*,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F22,FORM-SCH-I,22,Turnover in the last financial year Rs.,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F23,FORM-SCH-I,23,Net worth * Rs.,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F24,FORM-SCH-I,24,Paid up Capital * Rs.,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F25,FORM-SCH-I,25,Insurance Details,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F26,FORM-SCH-I,26,"Names, Addresses etc. of Partners/Members/Directors (For Information about more persons,",KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F27,FORM-SCH-I,27,Authorised Representative *,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F28,FORM-SCH-I,28,Particulars of Organisation: *,KB 2/India/Information Technology Act 2000.pdf
FORM-SCH-I-F29,FORM-SCH-I,29,Bank Details,KB 2/India/Information Technology Act 2000.pdf
