deadline_id,provision_id,period,obligation,source_document
DL-01,S22-2,not later than six months after the end of each year,audit of the accounts of the Commission,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DL-02,S23-1,not later than six months after the end of each financial year,submission of annual report and estimates to the National Assembly,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DL-03,S40-2,within 72 hours of becoming aware of a breach,notification of a personal data breach to the Commission by a data controller,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DL-04,S40-3,immediately,communication of a high-risk personal data breach to the data subject,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DL-05,S44-1,within six months after the commencement of the Act or on becoming a data controller or data processor of major importance,registration with the Commission,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DL-06,S44-3,within 60 days after such change,notification of significant change to registration information,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DL-07,S50,within 30 days after the order was made,application to the court for judicial review,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DL-08,S54-1-a,"within three months after the act, neglect, or default complained of",commencement of a suit against the Commission,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DL-09,S54-2,one month after written notice of intention to commence the suit,pre-action notice period,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DL-10,S11-1-g,"at least two months' notice, in writing, addressed to the President",resignation of a member of the Council,"Nigeria Data Protection Act, 2023 (Act No. 37), Federal Republic of Nigeria Official Gazette No. 119, Vol. 110, 1 July 2023 (KB 2/Africa/Nigeria_Data_Protection_Act_2023.pdf)"
DL-11,A7-b,within eighteen (18) months of commencement of business and thereafter on an annual basis,conduct of an NDP Act compliance audit,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
DL-12,A7-c,not later than the 31st of March of each year,filing of NDP Act Compliance Audit Returns (MDP-UHL and MDP-EHL),"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
DL-13,A9-4,within sixty (60) days after such change,notification of significant change to registration information,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
