objectivestable_id,table_number,title_as_captioned,content_available_in_source,source_document
TA1,Table A-1,Software planning process,"No - reproduced only as an image in the source PDF; objective rows, applicability and independence by software level are not present in the text extract",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
TA2,Table A-2,Software development process,"No - reproduced only as an image in the source PDF; objective rows, applicability and independence by software level are not present in the text extract",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
TA3,Table A-3,Verification of outputs of software requirements process,"No - reproduced only as an image in the source PDF; objective rows, applicability and independence by software level are not present in the text extract",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
TA4,Table A-4,Verification of outputs of software design process,"No - reproduced only as an image in the source PDF; objective rows, applicability and independence by software level are not present in the text extract",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
TA5,Table A-5,Verification of outputs of software coding and integration processes,"No - reproduced only as an image in the source PDF; objective rows, applicability and independence by software level are not present in the text extract",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
TA6,Table A-6,Testing of outputs of integration process,"No - reproduced only as an image in the source PDF; objective rows, applicability and independence by software level are not present in the text extract",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
TA7,Table A-7,Verification of process results,"No - reproduced only as an image in the source PDF; objective rows, applicability and independence by software level are not present in the text extract",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
TA8,Table A-8,Software configuration management process,"No - reproduced only as an image in the source PDF; objective rows, applicability and independence by software level are not present in the text extract",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
TA9,Table A-9,Software Quality Assurance Process,"No - reproduced only as an image in the source PDF; objective rows, applicability and independence by software level are not present in the text extract",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
TA10,Table A-10,Certification liaison process,"No - reproduced only as an image in the source PDF; objective rows, applicability and independence by software level are not present in the text extract",KB 2/USA/DO-178C Software Considerations in Airborne Systems.pdf
