slide_id,slide_number,title,layout_note,source_document
slide_01,1,Federal Risk and Authorization Management Program,Title slide,KB 2/USA/FedRAMP.pdf
slide_02,2,FedRAMP Mission and Vision,Two-column text,KB 2/USA/FedRAMP.pdf
slide_03,3,FedRAMP Yields Efficiencies For Agencies,Text with four labelled benefits,KB 2/USA/FedRAMP.pdf
slide_04,4,Legal and Policy Framework,Four stacked authority blocks,KB 2/USA/FedRAMP.pdf
slide_05,5,New FedRAMP Governance Model,Diagram of governance bodies,KB 2/USA/FedRAMP.pdf
slide_06,6,FedRAMP Paths to Authorization,Two authorization paths with bullets,KB 2/USA/FedRAMP.pdf
slide_07,7,FedRAMP Stakeholders,Three stakeholder counts,KB 2/USA/FedRAMP.pdf
slide_08,8,FedRAMP PMO Worklanes,Six worklanes with bullets,KB 2/USA/FedRAMP.pdf
slide_09,9,Program Growth,Graphic only; no extractable text,KB 2/USA/FedRAMP.pdf
slide_10,10,Q&A,No body text,KB 2/USA/FedRAMP.pdf
slide_11,11,Major FY23 Changes,Four change themes with bullets,KB 2/USA/FedRAMP.pdf
slide_12,12,FedRAMP Long Term Goals,Three numbered goals,KB 2/USA/FedRAMP.pdf
slide_13,13,Thank You,Closing slide,KB 2/USA/FedRAMP.pdf
