control_id,control_name,purpose,category_id,category_code,legacy_mapping,is_new,implementation_guidance,control_description
5.1,Policies for Information Security,To provide management direction and support for information security,organizational,5,"5.1.1, 5.1.2",No,Implementation guidance for Policies for Information Security control,ISO 27002:2022 Control 5.1 - Policies for Information Security: To provide management direction and support for information security
5.2,Information Security Roles and Responsibilities,To ensure information security responsibilities are defined and allocated,organizational,5,6.1.1,No,Implementation guidance for Information Security Roles and Responsibilities control,ISO 27002:2022 Control 5.2 - Information Security Roles and Responsibilities: To ensure information security responsibilities are defined and allocated
5.3,Segregation of Duties,To reduce opportunities for unauthorized or unintentional modification or misuse of information,organizational,5,6.1.2,No,Implementation guidance for Segregation of Duties control,ISO 27002:2022 Control 5.3 - Segregation of Duties: To reduce opportunities for unauthorized or unintentional modification or misuse of information
5.4,Management Responsibilities,To ensure management approval for information security responsibilities,organizational,5,7.2.1,No,Implementation guidance for Management Responsibilities control,ISO 27002:2022 Control 5.4 - Management Responsibilities: To ensure management approval for information security responsibilities
5.5,Contact With Authorities,To maintain appropriate contacts with relevant authorities,organizational,5,6.1.3,No,Implementation guidance for Contact With Authorities control,ISO 27002:2022 Control 5.5 - Contact With Authorities: To maintain appropriate contacts with relevant authorities
5.6,Contact With Special Interest Groups,To maintain appropriate contacts with special interest groups or other specialist security forums,organizational,5,6.1.4,No,Implementation guidance for Contact With Special Interest Groups control,ISO 27002:2022 Control 5.6 - Contact With Special Interest Groups: To maintain appropriate contacts with special interest groups or other specialist security forums
5.7,Threat Intelligence,To ensure that information relating to information security threats is collected and analysed,organizational,5,NEW,Yes,Implementation guidance for Threat Intelligence control,ISO 27002:2022 Control 5.7 - Threat Intelligence: To ensure that information relating to information security threats is collected and analysed
5.8,Information Security in Project Management,To ensure that information security is integrated into project management,organizational,5,"6.1.5, 14.1.1",No,Implementation guidance for Information Security in Project Management control,ISO 27002:2022 Control 5.8 - Information Security in Project Management: To ensure that information security is integrated into project management
5.9,Inventory of Information and Other Associated Assets,To identify information and other associated assets and define protection responsibilities,organizational,5,"8.1.1, 8.1.2",No,Implementation guidance for Inventory of Information and Other Associated Assets control,ISO 27002:2022 Control 5.9 - Inventory of Information and Other Associated Assets: To identify information and other associated assets and define protection responsibilities
5.10,Acceptable Use of Information and Other Associated Assets,"To identify, document and implement rules for acceptable use",organizational,5,"8.1.3, 8.2.3",No,Implementation guidance for Acceptable Use of Information and Other Associated Assets control,"ISO 27002:2022 Control 5.10 - Acceptable Use of Information and Other Associated Assets: To identify, document and implement rules for acceptable use"
