guideline_id,control_id,guideline_type,guideline_text
GUIDE_5_1,5.1,Implementation,"Organizations should implement policies for information security by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness. Consider organizational context, risk assessment results, and applicable legal requirements."
GUIDE_5_2,5.2,Implementation,"Organizations should implement information security roles and responsibilities by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_3,5.3,Implementation,"Organizations should implement segregation of duties by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_4,5.4,Implementation,"Organizations should implement management responsibilities by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_5,5.5,Implementation,"Organizations should implement contact with authorities by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_6,5.6,Implementation,"Organizations should implement contact with special interest groups by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_7,5.7,Implementation,"Organizations should implement threat intelligence by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_8,5.8,Implementation,"Organizations should implement information security in project management by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_9,5.9,Implementation,"Organizations should implement inventory of information and other associated assets by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_10,5.10,Implementation,"Organizations should implement acceptable use of information and other associated assets by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_11,5.11,Implementation,"Organizations should implement return of assets by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_12,5.12,Implementation,"Organizations should implement classification of information by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_13,5.13,Implementation,"Organizations should implement labeling of information by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_14,5.14,Implementation,"Organizations should implement information transfer by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_15,5.15,Implementation,"Organizations should implement access control by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_16,5.16,Implementation,"Organizations should implement identity management by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_17,5.17,Implementation,"Organizations should implement authentication information by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_18,5.18,Implementation,"Organizations should implement access rights by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_19,5.19,Implementation,"Organizations should implement information security in supplier relationships by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_20,5.20,Implementation,"Organizations should implement addressing information security within supplier agreements by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
GUIDE_5_21,5.21,Implementation,"Organizations should implement managing information security in the ICT supply chain by establishing clear procedures and responsibilities. Regular review and updates should be conducted to ensure continued effectiveness."
