Function_Code,Function_Description,Function,Category_Code,Category_Description,Category,Subcategory_Description,Subcategory,Implementation_Example
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.OC,"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",Organizational Context,The organizational mission is understood and informs cybersecurity risk management,GV.OC-01,"Share the organization's mission (e.g., through vision and mission statements, marketing, and service strategies) to provide a basis for identifying risks that may impede that mission"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.OC,"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",Organizational Context,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered",GV.OC-02,"Identify relevant internal stakeholders and their cybersecurity-related expectations (e.g., performance and risk expectations of officers, directors, and advisors; cultural expectations of employees)"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.OC,"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",Organizational Context,"Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed",GV.OC-03,"Determine a process to track and manage legal and regulatory requirements regarding protection of individuals' information (e.g., Health Insurance Portability and Accountability Act, California Consumer Privacy Act, General Data Protection Regulation)"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.OC,"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",Organizational Context,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated",GV.OC-04,Establish criteria for determining the criticality of capabilities and services as viewed by internal and external stakeholders
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.OC,"The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood",Organizational Context,"Outcomes, capabilities, and services that the organization depends on are understood and communicated",GV.OC-05,"Create an inventory of the organization's dependencies on external resources (e.g., facilities, cloud-based hosting providers) and their relationships to organizational assets and business functions"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.RM,"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",Risk Management Strategy,Risk management objectives are established and agreed to by organizational stakeholders,GV.RM-01,Update near-term and long-term cybersecurity risk management objectives as part of annual strategic planning and when major changes occur
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.RM,"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",Risk Management Strategy,"Risk appetite and risk tolerance statements are established, communicated, and maintained",GV.RM-02,Determine and communicate risk appetite statements that convey expectations about the appropriate level of risk for the organization
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.RM,"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",Risk Management Strategy,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes,GV.RM-03,"Aggregate and manage cybersecurity risks alongside other enterprise risks (e.g., compliance, financial, operational, regulatory, reputational, safety)"
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.RM,"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",Risk Management Strategy,Strategic direction that describes appropriate risk response options is established and communicated,GV.RM-04,Specify criteria for accepting and avoiding cybersecurity risk for various classifications of data
GV,"The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored",GOVERN,GV.RM,"The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions",Risk Management Strategy,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties",GV.RM-05,"Determine how to update senior executives, directors, and management on the organization's cybersecurity posture at agreed-upon intervals"
