programrule_id,label,text,date_or_deadline,source_document
RULE-FINAL-RULE-CMMC,Final rule “Cybersecurity Maturity Model Certification (CMMC) Program”,"This final rule on the CMMC program is effective as of December 16, 2024.","December 16, 2024",COGR-CMMC-2.0-OVERVIEW-2025
RULE-DFARS-AMENDMENT,Final rule “Assessing Contractor Implementation of Cybersecurity Requirements”,"DoD issued the final rule “Assessing Contractor Implementation of Cybersecurity Requirements” amending the Defense Federal Acquisition Regulation Supplement incorporating CMMC 2.0 contractual requirements on September 10, 2025. This final rule amending the DFARS is effective as of November 10, 2025.","November 10, 2025",COGR-CMMC-2.0-OVERVIEW-2025
RULE-FUNDAMENTAL-RESEARCH,Fundamental research,"Research that meets the fundamental research criteria will generally not be subject to the CMMC framework. Universities need to note, however, in response to comments, DoD states in the final rule “Cybersecurity Maturity Model Certification (CMMC) Program” that “(w)hen the DoD does determine that research meets the definition of CUI, safeguarding requirements of DFARS clause 252.204-7012 will apply regardless of whether the contractor's work is fundamental research.”",,COGR-CMMC-2.0-OVERVIEW-2025
RULE-MODEL-BASIS-V213,Model basis (32 CFR 170.14),"This document focuses on the Cybersecurity Maturity Model Certification (CMMC) Model as set forth in section 170.14 of title 32, Code of Federal Regulations (CFR). The model incorporates the security requirements from: 1) FAR 52.204-21, Basic Safeguarding of Covered Contractor Information Systems, 2) NIST SP 800-171 Rev 2, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations, and 3) a subset of the requirements from NIST SP 800-172, Enhanced Security Requirements for Protecting Controlled Unclassified Information: A Supplement to NIST Special Publication 800-171.",,CMMC-MODEL-OVERVIEW-V2.13
RULE-REQ-ID-FORMAT-V213,Requirement identification number format,"Each requirement has a requirement identification number in the format - DD.L#-REQ - where: DD is the two-letter domain abbreviation; L# is the level number; and REQ is the FAR Clause 52.204-21 paragraph number, NIST SP 800-171 Rev 2, or NIST SP 800-172 security requirement number.",,CMMC-MODEL-OVERVIEW-V2.13
RULE-LEVEL-INDEPENDENCE-V213,Level independence,Each level is independent and consists of a set of CMMC security requirements as set forth in 32 CFR 170.14 (c):,,CMMC-MODEL-OVERVIEW-V2.13
RULE-LEVEL-CUMULATIVE-V20,Cumulative levels,"The CMMC levels and associated sets of practices across domains are cumulative. More specifically, for an organization to achieve a specific CMMC level, it must also demonstrate achievement of the preceding lower levels. For the case in which an organization does not meet its targeted level, it will be certified at the highest level for which it has achieved all applicable practices.",,CMMC-MODEL-OVERVIEW-V2.0
RULE-SOURCE-STABILITY-V213,Stability of security requirements,"These source documents may be revised in the future, however the CMMC security requirements will remain unchanged until the CMMC final rule is published. Any further modifications to the CMMC rule will follow appropriate rulemaking procedures.",,CMMC-MODEL-OVERVIEW-V2.13
RULE-SUPPORTING-DOCS-V213,Supporting documents,"This document is supported by multiple companion documents that provide additional information. The CMMC Assessment Guides present assessment objectives, discussion, examples, potential assessment considerations, and key references for each CMMC security requirement. The CMMC Scoping Guides provide additional guidance on how to correctly scope an assessment. The CMMC Hashing Guide provides information on how to create the hash to validate the integrity of archived assessment artifacts. These supplemental documents are intended to provide explanatory information to assist organizations with implementing and assessing the security requirements covered by CMMC in 32 CFR 170. The documents are not prescriptive and their use is optional. Implementation of security requirements by following any examples is not a guarantee of compliance with any CMMC security requirement or objective.",,CMMC-MODEL-OVERVIEW-V2.13
RULE-SOURCE-MAPPING-V20,Source mapping is not an additional requirement,"This source mapping provides a detailed list of practices from other frameworks that are related to each CMMC practice. In this way, the mapping allows an organization to easily identify which CMMC practices correspond to sources in other frameworks that the organization may already be using or may need to reference in the future. These source mappings do not represent additional CMMC requirements.",,CMMC-MODEL-OVERVIEW-V2.0
