framework_name,framework_version,framework_full_name,control_count,framework_type,status
CIS,CSC v8.1,CIS Critical Security Controls v8.1,434,External,Active
CIS,CSC v8.1 IG1,CIS Critical Security Controls v8.1 Implementation Group 1,125,External,Active
CIS,CSC v8.1 IG2,CIS Critical Security Controls v8.1 Implementation Group 2,308,External,Active
CIS,CSC v8.1 IG3,CIS Critical Security Controls v8.1 Implementation Group 3,354,External,Active
GDPR,EU Regulation 2016/679,General Data Protection Regulation,242,External,Active
HIPAA,Administrative Simplification 2013,Health Insurance Portability and Accountability Act,723,External,Active
HIPAA,HICP Large Practice,HIPAA HICP Large Practice,425,External,Active
HIPAA,HICP Medium Practice,HIPAA HICP Medium Practice,227,External,Active
HIPAA,HICP Small Practice,HIPAA HICP Small Practice,153,External,Active
HIPAA,Security Rule / NIST SP 800-66 R2,Health Insurance Portability and Accountability Act,225,External,Active
ISO 27001,v2013,ISO/IEC 27001:2013 Information Security Management,75,External,Active
ISO 27001,v2022,ISO/IEC 27001:2022 Information Security Management,321,External,Active
ISO 27002,v2013,ISO/IEC 27002:2013 Information Security Controls,256,External,Active
ISO 27002,v2022,ISO/IEC 27002:2022 Information Security Controls,506,External,Active
NIST AI RMF,AI 100-1 v1.0,NIST AI Risk Management Framework v1.0,309,External,Active
NIST CSF,v1.1,NIST Cybersecurity Framework v1.1,191,External,Active
NIST CSF,v2.0,NIST Cybersecurity Framework v2.0,611,External,Active
NIST Privacy Framework,v1.0,NIST Privacy Framework v1.0,361,External,Active
PCI DSS,v3.2,Payment Card Industry Data Security Standard v3.2,537,External,Active
PCI DSS,v4.0.1,Payment Card Industry Data Security Standard v4.0.1,1197,External,Active
