artifact_id,artifact_name,artifact_type,artifact_category,evidence_category,related_standard,related_requirement,description,evidence_examples,retention_period,storage_location,access_control,confidentiality_level,cip_evidence_level,audit_trail,verification_method,responsible_party,update_frequency,bcsi_content,documentation_format
ART-001,Patch Log,Technical Documentation,System Change Records,System Hardening & Patching,CIP-007,CIP-007-R2,"Log of all security patches applied to BES Cyber Assets including patch date, version, asset patched, installer, and impact","Windows Server patches (KB numbers); Linux security updates (CVE numbers); Vendor patches (Siemens, SEL, GE); Firmware updates; Application patches; Third-party library updates; Patch effectiveness testing results","3+ years (compliance requirement); 7 years (recommended for historical analysis)","Configuration management system (Git, Subversion); Patch management tool (WSUS, Yum); Electronic repository; Encrypted backup storage","Read: System administrators, compliance auditors; Write: Automated patch tools, system admins; Delete: System admins with approval only","Confidential - System Security","High - Direct evidence of CIP-007-R2 compliance; Critical control implementation; Required for audit","Full audit trail of patch application; System logs showing patch installation; Verification of patch signatures; Rollback logs (if applicable)","Patch verification: Compare system state before/after patch; Verify patch signatures; Test for patch side effects; Performance testing post-patch; Security regression testing","System Administrator; Patch Management Team; Change Management Board (approval); Compliance Officer (verification)","Real-time upon patch application; Monthly patch cycle for routine updates; Ad-hoc for emergency patches (0-day vulnerabilities)","May contain system details and vulnerability information; Requires protection as sensitive information; Access restricted to authorized personnel","Electronic log file format (.csv, .txt, .json); Linked to change management system; Timestamped entries; Digital signatures on patch archives; Encrypted backup media"
ART-002,Visitor Access Log,Physical Security Record,Access Control & Monitoring,Physical Security,CIP-006,CIP-006-R1,"Record of all visitors to BES Cyber System facilities including visitor name, date, time, purpose, escort, access duration, areas accessed, and badge issued","Visitor sign-in sheets (physical or electronic); Badge check-in system logs; Gate entry logs; Building access control logs; Escort assignment records; Restricted area access logs; Exit sign-out records; Incident reports related to visitors","3+ years (CIP compliance); 7 years (recommended for historical analysis)","Physical facility at check-in desk (original); Electronic database (copies); Backup copies in secure offsite location; Facility security office archives","Read: Facility security, compliance auditors, law enforcement (with authorization); Write: Check-in personnel, gate security; Delete: Only archival records with approval","Confidential - Facility Security","High - Direct evidence of CIP-006-R1 physical access control; Critical for access accountability; Required for audit","Complete record of each visitor entry and exit; Escort assignments; Areas accessed; Time-in and time-out; Badge return; Any security incidents; Anomalies or denied access attempts","Verification of visitor against approved list; Escort verification (authorized personnel); Badge system validation; Cross-reference with facility roster; Security clearance checks where applicable; Incident correlation","Facility Security Manager; Badge/Access Control Administrator; Compliance Officer; CIP Senior Manager (oversight)","Real-time capture as visitors arrive; Daily review for anomalies; Weekly reports to compliance; Monthly trend analysis; Annual comprehensive audit","May contain personal information (visitor names, affiliations); Some visitors may be contractors with confidential information; Requires protection and privacy controls; BCSI visitors may require additional restrictions","Electronic access control system logs; Physical sign-in sheets; Spreadsheet database (.xlsx); Badge system database; Integration with facility management system; Timestamped records"
ART-003,Background Check Record,Personnel Record,Personnel Risk Management,Personnel & Access,CIP-004,CIP-004-R1,"Documentation of background checks performed on personnel with access to BES Cyber Systems including screening scope, findings, date performed, and authorization to grant access","Criminal history check; Credit check; Employment verification; Education verification; Reference checks; Security clearance (if required); Drug screening; TSA clearance (if applicable); International screening (if applicable); Disqualifying factors assessment; Approval/denial documentation","7 years (CIP requirement); 10 years (recommended); Longer for terminated employees being rehired","Human Resources secure filing system; Employee personnel files; Compliance management system; Secure electronic repository with encryption; Background check vendor records (archived)","Read: HR Director, CIP Senior Manager, Compliance Officer; Write: HR staff, background check vendors; Delete: Authorized HR staff only with document destruction procedure","Confidential - Personnel/HR Records; PII (Personally Identifiable Information)","High - Direct evidence of CIP-004-R1 personnel risk assessment; Mandatory for access grant authorization; Required for audit","Original background check report; Authorization decision; Disqualifying factor assessment; Periodic re-screening verification; Compliance certification; Background check provider credentials","Verification of background check provider credentials; Validation of scope against CIP-004 requirements; Confirmation that disqualifying factors were assessed; Proof of timely re-screening (if applicable); Comparison against approved list","HR Director; Background Check Vendor; CIP Senior Manager; Compliance Officer; Legal Department (for disputes)","Upon hire (initial); Periodically (every 3-7 years per CIP-004-R1); Upon reassignment to higher-sensitivity role; Upon rehire of terminated employee; Continuous monitoring for certain disqualifying factors (as available)","Highly sensitive: Contains personal financial, criminal, and employment history; Subject to privacy laws (FCRA, state laws); Requires strong confidentiality controls; Access restricted to need-to-know personnel; Encryption required for electronic records","Background check report (.pdf, .doc); Personnel file documentation; Compliance checklist; Authorization letter; Background check provider certification; Digital signature of authorizing manager; Retention schedule"
ART-004,Patch Test Results,Technical Documentation,Change Management Records,System Testing & Validation,CIP-010,CIP-010-R1,"Documentation of testing performed on patches before deployment to BES Cyber Systems including test environment, test cases, results, and sign-off for production deployment","Lab test results (isolated environment); Compatibility testing; Performance testing; Regression testing; Security testing; Application functionality testing; Integration testing; Failover testing; Backup/restore testing; Energy management function testing; Sign-off document; Risk assessment (if patch rejected)","3+ years (compliance); 7 years (recommended for historical analysis)","Change management system; Technical documentation repository; Test lab logs; Electronic archive; Backup storage with encryption","Read: System administrators, change managers, compliance auditors; Write: Test team, system admins; Delete: Change management system admin only","Confidential - System Technical Information","High - Evidence of CIP-010 change management (baseline configuration control); Required before patch deployment; Audit requirement","Test plan document; Test case specifications; Test environment configuration; Detailed test results; Performance metrics (before/after); Security assessment; Change advisory board review; Risk assessment; Sign-off (test lead, change manager, security lead)","Verification of test completeness; Validation against requirements; Review of test documentation; Sign-off process compliance; Comparison against change management policy; Post-deployment verification that tested behavior matches production","Test Team Lead; Change Management Committee; CIP Senior Manager; Compliance Officer; System Owner","Per patch cycle (monthly for routine, immediate for emergency); Test results documented before production deployment; Sign-off required before deployment authorization; Post-deployment validation","May contain system vulnerabilities, exploitation techniques, security weaknesses; Sensitive technical information; Requires protection from unauthorized access; Not for general distribution","Test results document (.doc, .pdf); Test case spreadsheet (.xlsx); Lab logs; Performance graphs (.xlsx, .png); Email approvals; Change ticket linked to test results; Digital signatures"
ART-005,Network Diagram,Technical Documentation,System Architecture,System Design,CIP-005,CIP-005-R1,"Diagram showing network topology of BES Cyber Systems including Electronic Security Perimeters, network segments, firewalls, routers, access points, protected systems, external connections, and data flows","Control center network architecture; Substation network topology; Generation facility network layout; SCADA network diagram; Corporate network separation; ESP boundary diagram; DMZ configuration; Firewall placement; Backup system connections; Redundant communication paths; ICCP connection diagram; Remote access architecture; VPN configurations","Current version + 2-3 versions maintained; Indefinite retention of historical versions","Network documentation repository (electronic); Configuration management system; Architecture database; Backup/archive storage; Printed copies (if updated); Cloud-based design tools (Visio, Lucidchart archives)","Read: Network engineers, security team, compliance auditors; Write: Network architects, system engineers; Delete: Only outdated versions with approval; Archive older versions","Confidential - BCSI (Bulk power system information); System Security Information","Very High - Critical for security architecture; Directly supports ESP definition; Evidence of security design; Audit requirement; Foundational for all access control policies","Current network diagram; Historical diagrams (2-3 versions); Network segment list; Asset inventory mapped to network; Security zone definitions; Access control list (ACL) mapping; Change log; Approval signatures; BCSI classification statement","Verification against actual network (physical walk-through); Comparison to firewall rules; Cross-reference with asset inventory; Review against CIP-005 requirements; Validation by network architect; Annual update certification","Network Architect; System Engineer; Network Security Engineer; CIP Senior Manager; Compliance Officer; IT Director","Upon network changes (design review); Semi-annual comprehensive review; Annual certification of accuracy; Immediate update upon major architecture change; Change request trigger for material modifications","BCSI: Network architecture, IP addressing schemes, security zone definitions, firewall rules, access control; Sensitive information; Requires encryption for electronic storage; Physical copies kept in locked storage; Marked as BCSI; Limited distribution","Visio diagram (.vsd, .vsdx); PDF export (.pdf); Network topology software (Lucidchart, Draw.io); High-resolution images (.png, .jpg); Version-controlled in GitLab/GitHub; Hyperlink to supporting documentation"
ART-006,Firewall Rule Documentation,Technical Documentation,Access Control Records,Network Security,CIP-005,CIP-005-R2,"Documentation of firewall rules protecting ESP boundary including source/destination, protocol, ports, action (allow/deny), rule purpose, change date, and authorization","Firewall rule export (.csv from Palo Alto, Cisco ASA, Fortinet); Rule change log; Rule effectiveness testing; Rule audit report; Documentation of default-deny principle implementation; Exception request and approval; Rule deactivation log; Performance impact assessment; Security rule baseline","Current + 1-2 previous versions; Change history indefinite","Firewall configuration backup; Configuration management system (Git, Subversion); CMDB (Configuration Management Database); Encrypted backup storage; Firewall management console","Read: Network engineers, security team, compliance auditors; Write: Firewall admins only; Delete: Only with approval and backup retention","Confidential - System Security; BCSI (network architecture details)","Very High - Direct evidence of CIP-005-R2 access control; Critical for ESP protection; Audit requirement; Foundation for monitoring","Firewall rule list (current); Rule change log (historical); Default-deny verification; Exception documentation; Change request linked to rule change; Approval signatures (security lead, network engineer, CIP manager); Verification test results; Periodic rule review documentation; Annual audit of rule set","Verification against security policy; Testing of allow/deny rules (including testing of deny-all default); Cross-reference with access control policy; Review against CIP-005-R2 requirements; Firewall rule testing; Annual rule effectiveness assessment","Firewall Administrator; Network Security Engineer; Change Management Committee; CIP Senior Manager; Security Architect","Real-time rule changes recorded; Monthly rule audit; Quarterly rule review; Annual comprehensive audit; Change ticket on every rule modification; After-hours change notification and verification","BCSI: Network topology inference, security zone separation, access control strategy; Technical security implementation details; Requires BCSI protection; Not distributed outside need-to-know personnel; Encryption for electronic transmission","Firewall rule export (.csv); Firewall console configuration backup; Change management tickets; Email approvals; Spreadsheet documentation (.xlsx); Version control commit logs; PDF compliance report"
ART-007,Annual Risk Assessment,Management Documentation,Risk Management,Risk Assessment,CIP-002,CIP-002-R1,"Annual assessment of cybersecurity risks to BES Cyber Systems including risk identification, likelihood/impact analysis, control effectiveness, remediation planning, and senior management approval","Risk assessment report document; Risk register (spreadsheet or database); Threat assessment; Vulnerability assessment; Control effectiveness evaluation; Risk acceptance documentation; Remediation plan with timelines and owners; CIP Senior Manager sign-off; Board-level approval (if required); Risk trend analysis; Lessons learned integration","Annual retention + historical versions maintained; 3-7 years per compliance and policy","Risk management system/database; Management documentation files; Compliance management system; Encrypted backup storage; Potentially board materials (if provided to board)","Read: CIP Senior Manager, executive team, compliance auditors; Write: Risk team, compliance staff; Delete: Only archival versions with approval; Board materials require governance","Confidential - Executive; Strategic Information","Very High - Foundational for CIP program; Demonstrates senior management governance; Basis for compliance decisions; Audit requirement; Regulatory reporting basis","Risk assessment report (narrative); Risk register (detailed list); Threat landscape summary; Vulnerability summary; Control assessment matrix; Risk heat map; Remediation plan; Executive summary; Senior manager sign-off; Approval date; Scope (all BES systems or subset)","Verification of assessment scope (all High/Medium Impact systems); Review of methodology (aligned with risk standards); Validation of findings (against actual threats); Testing of control effectiveness claims; Comparison to prior year assessment; Independent audit; Board-level challenge and approval","Risk Manager; CIP Senior Manager; Chief Information Security Officer (CISO); Executive Leadership; Compliance Officer; Internal Audit","Annual (minimum); More frequent if significant changes occur; Continuous monitoring with annual comprehensive update; Review upon major incident; Industry threat landscape changes trigger interim updates","Strategic information: organizational risk tolerance, vulnerability information, security weaknesses, potential impact of incidents, threat actor targeting; Sensitive: not for general distribution; Requires strong confidentiality controls; Board-level document","Risk assessment report (.doc, .pdf); Risk register spreadsheet (.xlsx); Risk heat map visual (.ppt, .png); Executive summary; Board presentation materials; Sign-off emails; Version control"
ART-008,Security Patch Deployment Plan,Technical Documentation,Change Management Records,Patch Management,CIP-007,CIP-007-R1,"Plan for deploying security patches to BES Cyber Systems including patch prioritization, deployment schedule, testing requirements, rollback procedures, and communication plan","Patch deployment schedule (monthly routine, ad-hoc emergency); Patch prioritization matrix; Asset inventory with patch status; Testing schedule before deployment; Rollback procedures; Maintenance window approval; Communication to operations and users; Backup/restore procedures; Risk assessment per patch; Change advisory board approval; Post-deployment verification plan; Performance impact assessment","Current year + 1-2 prior years maintained; Annual update","Change management system; Technical documentation repository; Project management tools (Jira, Azure DevOps); Email communications archive; Backup storage with encryption","Read: System admins, change managers, compliance auditors; Write: Patch manager, change management committee; Delete: Only archival versions with approval","Confidential - System Technical Information","High - Evidence of planned, controlled patch management; Demonstrates CIP-007 compliance; Audit requirement; Critical change control evidence","Patch deployment plan document; Patch prioritization criteria; Monthly/emergency deployment schedule; Testing requirements; Asset group definitions (by risk, criticality, function); Rollback procedures; Risk assessment; Change advisory board approval; Communication template; Post-deployment verification checklist; Performance baseline and monitoring plan","Verification of plan completeness; Review against CIP-007-R1; Testing before deployment; Actual deployment following plan; Post-deployment verification against plan; Audit of actual vs. planned deployment; Performance monitoring","Patch Manager; Change Management Committee; System Administrator; Network Engineer; CIP Senior Manager; Compliance Officer","Annual update (baseline); Monthly patch cycle implementation; Quarterly review; Updates triggered by zero-day vulnerabilities; Emergency patches handled per emergency change procedures","Technical information: asset criticality, vulnerability details, deployment risk factors, system interdependencies; BCSI elements: network architecture, system functions; Requires confidentiality controls; Not for general distribution","Planning document (.doc, .pdf); Deployment schedule (.xlsx, .mpp); Risk assessment matrix; Change management tickets; Email approvals; Post-deployment reports; Lessons learned document"
ART-009,Training Records,Personnel Record,Training & Awareness,Personnel & Access,CIP-004,CIP-004-R3,"Documentation of cybersecurity training provided to personnel with access to BES Cyber Systems including training dates, topics, duration, trainer, attendance, and assessment results","Training completion certificate; Attendance sign-in sheet; Course curriculum; Trainer qualifications; Assessment/quiz results; Pass/fail documentation; Training evaluation feedback; Online learning management system (LMS) completion records; Annual training reminder; Make-up training records; Training content versioning; CIP-specific training attestation","3 years (CIP requirement); 5-7 years (recommended for personnel history)","Human Resources LMS (Learning Management System); Personnel training files; Compliance management system database; Training provider records; Electronic archive with encryption; Backup copies","Read: HR staff, managers, compliance auditors, employees (own records); Write: HR/training staff; Delete: Only per document retention policy; Archive older records","Confidential - Personnel/HR Records","High - Direct evidence of CIP-004-R3 training requirement; Personnel accountability; Audit requirement; Regulatory compliance documentation","Training attendance record; Completion certificate; Content covered (curriculum); Duration of training; Trainer name and qualifications; Quiz/assessment results; Pass/fail status; Annual renewal documentation; Training effectiveness evaluation; Employee acknowledgment/sign-off; LMS completion record with timestamp; Refresher training schedule","Verification of trainer qualifications; Validation of training content against CIP requirements; Confirmation of attendance; Review of assessment results (pass/fail); Verification of annual renewal; Cross-reference with personnel access privileges; Audit trail in LMS","HR Manager; Training Coordinator; CIP Training Lead; Compliance Officer; Department Manager; Employee (responsible for attendance)","Upon hire (initial training); Annually (refresher training); Upon role change (role-specific training); Immediately entered in LMS; Monthly compliance review; Annual audit of training records","PII: Employee names, assessment scores, attendance records; Personnel data; Requires privacy controls; Confidentiality required; Not shared with unauthorized personnel; Restricted access to assessments containing technical details","LMS transcripts (.pdf); Training certificates (.pdf); Attendance sign-in sheets (.doc, .xlsx); Assessment records (.xlsx); Email confirmations; HR personnel file documentation"
ART-010,Vulnerability Scan Reports,Technical Documentation,Vulnerability Management,Threat Assessment,CIP-007,CIP-007-R1,"Output from automated vulnerability scanning tools identifying potential security weaknesses in BES Cyber Systems including vulnerability name, severity, affected asset, remediation guidance, and scan date","Vulnerability scan output (.csv, .json from Nessus, Qualys, OpenVAS); Vulnerability trend report; Critical vulnerability list; Remediation status tracker; False positive documentation; Vulnerability validation (manual confirmation of findings); Prioritized remediation list; Scan baseline for comparison; Re-scan after remediation; Scan parameters and configuration","Current scan + 6 prior months maintained; Annual archive; 3+ years retention recommended","Vulnerability management platform (Nessus, Qualys); SIEM/Security dashboard; Network drive backup; Encrypted storage; Vulnerability tracking system","Read: Security team, system admins, compliance auditors; Write: Vulnerability scanner operators, security analysts; Delete: Only per retention policy; Current scans replace older ones","Confidential - System Security; May contain vulnerability exploitation details","High - Evidence of CIP-007-R1 vulnerability assessment; Demonstrates vulnerability identification and remediation; Audit requirement; Basis for prioritization and remediation planning","Vulnerability scan report (narrative or executive summary); Vulnerability detail list (each vulnerability with CVE, severity, affected asset); Remediation guidance; False positive assessment; Prioritized remediation plan; Re-scan results (after remediation); Trend analysis; Scan methodology; Baseline comparison; Management summary; CIP Senior Manager acknowledgment","Verification of scan scope (all High/Medium Impact systems); Validation of scan parameters (industry standard); Review of vulnerability severity ratings; Cross-reference with patch status; Confirmation of remediation (re-scan verification); False positive validation; Comparison to vulnerability databases; Remediation timeline adherence","Security Analyst; Network Security Engineer; Vulnerability Manager; System Administrator; Compliance Officer; CIP Senior Manager (approval/awareness)","Monthly scans (minimum per CIP-007); Weekly for critical vulnerabilities; Immediately upon discovery of new threat; Re-scan after patches; Quarterly trend review; Annual comprehensive assessment","Contains vulnerability details that could guide attacks if disclosed; May include system architecture information inferred from scan; Exploitation methods; Technical security details; Requires strict confidentiality; Not for general distribution; Marked as sensitive information","Scan report (.pdf, .html); Vulnerability database export (.csv, .json); Executive summary (.doc); Trend graph (.xlsx, .png); Remediation tracker (.xlsx); Email notifications; Log files"
