requirement_part_id,requirement_id,standard_id,part_number,part_description,applicable_systems,measure,source_document
CIP-002-R1.1,CIP-002-R1,CIP-002,R1.1,"Identify each of the high impact BES Cyber Systems according to Attachment 1, Section 1, if any, at each asset;",,,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-002-R1.2,CIP-002-R1,CIP-002,R1.2,"Identify each of the medium impact BES Cyber Systems according to Attachment 1, Section 2, if any, at each asset; and",,,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-002-R1.3,CIP-002-R1,CIP-002,R1.3,"Identify each asset that contains a low impact BES Cyber System according to Attachment 1, Section 3, if any (a discrete list of low impact BES Cyber Systems is not required).",,,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-002-R2.1,CIP-002-R2,CIP-002,R2.1,"Review the identifications in Requirement R1 and its parts (and update them if there are changes identified) at least once every 15 calendar months, even if it has no identified items in Requirement R1, and",,,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-002-R2.2,CIP-002-R2,CIP-002,R2.2,"Have its CIP Senior Manager or delegate approve the identifications required by Requirement R1 at least once every 15 calendar months, even if it has no identified items in Requirement R1.",,,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-003-R1.1,CIP-003-R1,CIP-003,R1.1,"For its high impact and medium impact BES Cyber Systems, if any: 1.1.1. Personnel and training (CIP-004); 1.1.2. Electronic Security Perimeters (CIP-005) including Interactive Remote Access; 1.1.3. Physical security of BES Cyber Systems (CIP-006); 1.1.4. System security management (CIP-007); 1.1.5. Incident reporting and response planning (CIP-008); 1.1.6. Recovery plans for BES Cyber Systems (CIP-009); 1.1.7. Configuration change management and vulnerability assessments (CIP-010); 1.1.8. Information protection (CIP-011); and 1.1.9. Declaring and responding to CIP Exceptional Circumstances.",,,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-003-R1.2,CIP-003-R1,CIP-003,R1.2,"For its assets identified in CIP-002 containing low impact BES Cyber Systems, if any: 1.2.1. Cyber security awareness; 1.2.2. Physical security controls; 1.2.3. Electronic access controls; 1.2.4. Cyber Security Incident response; 1.2.5. Transient Cyber Assets and Removable Media malicious code risk mitigation; 1.2.6. Vendor electronic remote access security controls; and 1.2.7. Declaring and responding to CIP Exceptional Circumstances.",,,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R1.1,CIP-004-R1,CIP-004,R1.1,"Security awareness that, at least once each calendar quarter, reinforces cyber security practices (which may include associated physical security practices) for the Responsible Entity’s personnel who have authorized electronic or authorized unescorted physical access to BES Cyber Systems.",High Impact BES Cyber Systems; Medium Impact BES Cyber Systems,"An example of evidence may include, but is not limited to, documentation that the quarterly reinforcement has been provided. Examples of evidence of reinforcement may include, but are not limited to, dated copies of information used to reinforce security awareness, as well as evidence of distribution, such as: • direct communications (for example, e-mails, memos, computer-based training); or • indirect communications (for example, posters, intranet, or brochures); or • management support and reinforcement (for example, presentations or meetings).","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R2.1,CIP-004-R2,CIP-004,R2.1,"Training content on: 2.1.1. Cyber security policies; 2.1.2. Physical access controls; 2.1.3. Electronic access controls; 2.1.4. The visitor control program; 2.1.5. Handling of BES Cyber System Information and its storage; 2.1.6. Identification of a Cyber Security Incident and initial notifications in accordance with the entity’s incident response plan; 2.1.7. Recovery plans for BES Cyber Systems; 2.1.8. Response to Cyber Security Incidents; and 2.1.9. Cyber security risks associated with a BES Cyber System’s electronic interconnectivity and interoperability with other Cyber Assets, including Transient Cyber Assets, and with Removable Media.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"Examples of evidence may include, but are not limited to, training material such as power point presentations, instructor notes, student notes, handouts, or other training materials.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R2.2,CIP-004-R2,CIP-004,R2.2,"Require completion of the training specified in Part 2.1 prior to granting authorized electronic access and authorized unescorted physical access to applicable Cyber Assets, except during CIP Exceptional Circumstances.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"Examples of evidence may include, but are not limited to, training records and documentation of when CIP Exceptional Circumstances were invoked.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R2.3,CIP-004-R2,CIP-004,R2.3,Require completion of the training specified in Part 2.1 at least once every 15 calendar months.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"Examples of evidence may include, but are not limited to, dated individual training records.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R3.1,CIP-004-R3,CIP-004,R3.1,Process to confirm identity.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, documentation of the Responsible Entity’s process to confirm identity.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R3.2,CIP-004-R3,CIP-004,R3.2,"Process to perform a seven year criminal history records check as part of each personnel risk assessment that includes: 3.2.1. current residence, regardless of duration; and 3.2.2. other locations where, during the seven years immediately prior to the date of the criminal history records check, the subject has resided for six consecutive months or more. If it is not possible to perform a full seven year criminal history records check, conduct as much of the seven year criminal history records check as possible and document the reason the full seven year criminal history records check could not be performed.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, documentation of the Responsible Entity’s process to perform a seven year criminal history records check.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R3.3,CIP-004-R3,CIP-004,R3.3,Criteria or process to evaluate criminal history records checks for authorizing access.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, documentation of the Responsible Entity’s process to evaluate criminal history records checks.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R3.4,CIP-004-R3,CIP-004,R3.4,Criteria or process for verifying that personnel risk assessments performed for contractors or service vendors are conducted according to Parts 3.1 through 3.3.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, documentation of the Responsible Entity’s criteria or process for verifying contractors or service vendors personnel risk assessments.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R3.5,CIP-004-R3,CIP-004,R3.5,Process to ensure that individuals with authorized electronic or authorized unescorted physical access have had a personnel risk assessment completed according to Parts 3.1 to 3.4 within the last seven years.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, documentation of the Responsible Entity’s process for ensuring that individuals with authorized electronic or authorized unescorted physical access have had a personnel risk assessment completed within the last seven years.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R4.1,CIP-004-R4,CIP-004,R4.1,"Process to authorize based on need, as determined by the Responsible Entity, except for CIP Exceptional Circumstances: 4.1.1. Electronic access; and 4.1.2. Unescorted physical access into a Physical Security Perimeter",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, dated documentation of the process to authorize electronic access, and unescorted physical access in a Physical Security Perimeter.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R4.2,CIP-004-R4,CIP-004,R4.2,Verify at least once each calendar quarter that individuals with active electronic access or unescorted physical access have authorization records.,High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"Examples of evidence may include, but are not limited to: • Dated documentation of the verification between the system generated list of individuals who have been authorized for access (i.e., workflow database) and a system generated list of personnel who have access (i.e., user account listing), or Dated documentation of the verification between a list of individuals who have been authorized for access (i.e., authorization forms) and a list of individuals provisioned for access (i.e., provisioning forms or shared account listing).","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R4.3,CIP-004-R4,CIP-004,R4.3,"For electronic access, verify at least once every 15 calendar months that all user accounts, user account groups, or user role categories, and their specific, associated privileges are correct and are those that the Responsible Entity determines are necessary.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, documentation of the review that includes all of the following: 1. A dated listing of all accounts/account groups or roles within the system; 2. A summary description of privileges associated with each group or role; 3. Accounts assigned to the group or role; and Dated evidence showing verification of the privileges for the group are authorized and appropriate to the work function performed by people assigned to each account.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R5.1,CIP-004-R5,CIP-004,R5.1,"A process to initiate removal of an individual’s ability for unescorted physical access and Interactive Remote Access upon a termination action, and complete the removals within 24 hours of the termination action (Removal of the ability for access may be different than deletion, disabling, revocation, or removal of all access rights).",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, documentation of all of the following: 1. Dated workflow or sign-off form verifying access removal associated with the termination action; and Logs or other demonstration showing such persons no longer have access.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R5.2,CIP-004-R5,CIP-004,R5.2,"For reassignments or transfers, revoke the individual’s authorized electronic access to individual accounts and authorized unescorted physical access that the Responsible Entity determines are not necessary by the end of the next calendar day following the date that the Responsible Entity determines that the individual no longer requires retention of that access.",High Impact BES Cyber Systems and their associated: 1. EACMS; and 2. PACS; Medium Impact BES Cyber Systems with External Routable Connectivity and their associated: 1. EACMS; and 2. PACS,"An example of evidence may include, but is not limited to, documentation of all of the following: 1. Dated workflow or sign-off form showing a review of logical and physical access; and Logs or other demonstration showing such persons no longer have access that the Responsible Entity determines is not necessary.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R5.3,CIP-004-R5,CIP-004,R5.3,"For termination actions, revoke the individual’s non-shared user accounts (unless already revoked according to Part 5.1) within 30 calendar days of the effective date of the termination action.",High Impact BES Cyber Systems and their associated: EACMS,"An example of evidence may include, but is not limited to, workflow or sign-off form showing access removal for any individual BES Cyber Assets and software applications as determined necessary to completing the revocation of access and dated within thirty calendar days of the termination actions.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004-R5.4,CIP-004-R5,CIP-004,R5.4,"For termination actions, change passwords for shared account(s) known to the user within 30 calendar days of the termination action. For reassignments or transfers, change passwords for shared account(s) known to the user within 30 calendar days following the date that the Responsible Entity determines that the individual no longer requires retention of that access. If the Responsible Entity determines and documents that extenuating operating circumstances require a longer time period, change the password(s) within 10 calendar days following the end of the operating circumstances.",High Impact BES Cyber Systems and their associated: EACMS,"Examples of evidence may include, but are not limited to: • Workflow or sign-off form showing password reset within 30 calendar days of the termination; • Workflow or sign-off form showing password reset within 30 calendar days of the reassignments or transfers; or Documentation of the extenuating operating circumstance and workflow or sign-off form showing password reset within 10 calendar days following the end of the operating circumstance.","NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
