covered_entity_id,entity_name,entity_type,nerc_function,registration_status,geographic_region,entity_description,asset_types,cip_standards_applicable,audit_frequency,compliance_history,primary_contact
ENTITY-TO-001,Metropolitan Transmission Owner,Transmission Owner,TO,Registered Active,WECC,"Transmission Owner operating 500kV and 345kV transmission systems across three states serving major load centers and generation interconnections","Transmission lines >=230kV; Transmission substations; Control centers; SCADA systems; Communication systems; Protection systems","All CIP standards (CIP-002 through CIP-015); High and Medium Impact BES Cyber Systems; CIP-014 for critical facilities",Every 3 years (risk-based),Clean compliance history; No violations in last audit cycle,"Chief Compliance Officer"
ENTITY-TOP-001,Regional Transmission Operator,Transmission Operator,TOP,Registered Active,SERC,"Transmission Operator with real-time operational authority over transmission system; 24/7 control center operations; Coordination with RC and multiple BAs","Transmission control center (High Impact); EMS/SCADA; Transmission management systems; Real-time monitoring; Switching coordination systems","All CIP standards (CIP-002 through CIP-015); High Impact control center; CIP-012 for RC/BA coordination; CIP-015 internal monitoring",Every 2 years (High Impact priority),Two self-reported violations (Lower VSL) remediated,"VP of System Operations"
ENTITY-BA-001,Independent System Operator,Balancing Authority,BA,Registered Active,PJM,"Balancing Authority and Market Operator for regional electricity market; Real-time generation-load balance; AGC operations; Frequency regulation; Market clearing and settlements","BA control center (High Impact); AGC systems; EMS/SCADA; Market management systems; Interchange scheduling; Generation dispatch","All CIP standards (CIP-002 through CIP-015); High Impact BA control center; CIP-012 communications; CIP-015 monitoring; Market system protections",Every 2 years,Clean compliance in recent years; Proactive compliance program,"Chief Information Security Officer"
ENTITY-GO-001,Nuclear Generation Owner,Generation Owner,GO,Registered Active,SERC,"Nuclear generation facility owner operating two 1100 MW units; High Impact generation; Coordination with NRC cyber security requirements under 10 CFR 73","Nuclear generation units (2200 MW total); Generation switchyard; Generator controls; NRC-regulated systems; Balance of plant","All CIP standards (CIP-002 through CIP-015); High Impact >1500 MW; NRC 10 CFR 73 coordination; Enhanced physical security; Supply chain controls",Every 2 years,NRC coordination complexity; One TFE for legacy safety systems; Clean CIP compliance,"Director of Nuclear Cyber Security"
ENTITY-GO-002,Wind Generation Owner,Generation Owner,GO,Registered Active,SPP,"Wind generation portfolio owner; Multiple wind farms totaling 800 MW across four states; Distributed renewable generation","Wind farms (150+ turbines); Wind farm substations; SCADA systems; Meteorological stations; Curtailment controls","CIP-002 categorization; CIP-003 through CIP-015 for Medium Impact systems; Wind-specific cyber challenges; Vendor access management",Every 3 years,Moderate complexity; Managing vendor access challenges; One Moderate VSL violation (remediated),"Renewable Operations Manager"
ENTITY-GOP-001,Coal Fleet Operator,Generation Operator,GOP,Registered Active,RFC,"Generation Operator for coal-fired power plants; Operates 2000 MW across multiple sites; Coordinated dispatch with BA","Coal plant DCS; Generation dispatch systems; Boiler/turbine controls; Emissions monitoring; BA coordination systems","CIP-002 categorization; CIP-003 through CIP-015 for High Impact systems; Legacy system challenges; Retirement planning impacts CIP investment",Every 3 years,Aging infrastructure challenges; Multiple TFEs for legacy systems; Compliance maintained,"Plant Manager / CIP Coordinator"
ENTITY-RC-001,Wide-Area Reliability Coordinator,Reliability Coordinator,RC,Registered Active,WECC,"Reliability Coordinator for Western Interconnection; Wide-area reliability monitoring; Authority over multiple TOPs and BAs; Real-time contingency analysis","RC control center (High Impact); Wide-area EMS; RTCA; ICCP systems; Coordinator communication systems; Logging/recording","All CIP standards (CIP-002 through CIP-015); High Impact RC functions; CIP-012 inter-control center communications; CIP-014 for critical RC facility; CIP-015 enhanced monitoring",Annual or biennial (Critical function),Exemplary compliance; Industry leader; Participates in NERC standards development,"Senior VP of Reliability"
ENTITY-DP-001,Municipal Distribution Provider,Distribution Provider,DP,Registered Active,SERC,"Distribution Provider serving municipal area; Limited BES assets (automatic load shedding system qualifying as Medium Impact BES)","Distribution SCADA; Automatic load shedding system (300 MW); Distribution substations; Outage management","CIP-002 categorization; CIP-003 through CIP-015 for Medium Impact load shedding system only; Most distribution assets exempt from CIP",Every 4-5 years (Limited BES scope),Limited CIP scope simplifies compliance; Clean history; Load shedding system well-protected,"Utility Manager"
ENTITY-TO-002,Investor-Owned Utility Transmission,Transmission Owner,TO,Registered Active,MRO,"Vertically integrated utility; Transmission Owner for 230kV and 345kV system; Also registered as TOP GO GOP DP","Transmission system; Transmission substations; Generation facilities; Distribution system; Multiple control centers; Integrated SCADA","All CIP standards across multiple functions; High and Medium Impact systems; Complex multi-function compliance; CIP-014 for critical substations",Every 2-3 years,Complex multi-registration; Generally strong compliance; Occasional Lower/Moderate VSL findings quickly remediated,"VP Compliance & Risk"
ENTITY-GO-003,Solar Portfolio Owner,Generation Owner,GO,Registered Active,WECC,"Utility-scale solar generation owner; Five solar farms totaling 500 MW; Inverter-based generation","Solar farms; Solar inverters; SCADA systems; Substations; Meteorological stations","CIP-002 categorization; CIP-003 through CIP-015 for Medium Impact solar; Inverter-based generation cyber considerations; Cloud connectivity issues",Every 3-4 years,Emerging asset class; Vendor dependency high; Working through cloud monitoring CIP applicability,"Solar Operations Director"
