domain_id,domain_name,domain_category,parent_domain,description,cip_standards_covered,key_controls,applicable_entities,risk_focus,example_systems,compliance_scope
DOM-001,Supply Chain Risk Management,External Risk,Organization-wide,"Management of cybersecurity risks in the supply chain including hardware software and services used in BES Cyber Systems. Addresses vendor security assessment and supply chain visibility.","CIP-013","Vendor assessment; Vendor agreements; Supply chain monitoring; Change notifications; SCRM program; Subcontractor management; Third-party access controls","All Responsible Entities procuring for BES systems","Vendor compromise; Malicious code insertion; Hardware tampering; Software vulnerabilities; Supply chain attacks; Subcontractor risks","Hardware suppliers; Software vendors; Service providers; Cloud services; Professional services; OEM support; Spare parts suppliers",Addresses all organizations obtaining BES components
DOM-002,Physical Security,Perimeter & Access Control,"Security Perimeter Management","Protection of BES Cyber Systems through physical security measures including perimeter security access control surveillance and monitoring of facilities containing BES Cyber Systems.","CIP-006 CIP-014","Physical Security Perimeter; Access control (badges biometrics); Surveillance; Intrusion detection; Visitor management; Emergency access; Perimeter testing; Physical monitoring","Entities with High/Medium Impact BCS; CIP-014 critical facilities","Physical intrusion; Theft of equipment; Tampering; Sabotage; Unauthorized access; Natural disasters; Environmental hazards; Insider threats",Control centers; Substations; Generation facilities; Critical infrastructure facilities,High/Medium Impact and Critical Facility scope
DOM-003,Electronic Security,Network & System Protection,"Security Perimeter Management","Protection through electronic/cyber controls including network segmentation firewalls access controls and monitoring of electronic connections to BES Cyber Systems.","CIP-005 CIP-007 CIP-015","Electronic Security Perimeter; Firewalls; Access control lists; MFA; Encryption; Network monitoring; IDS/IPS; SIEM; Application whitelisting; Port control","Entities with High/Medium Impact BCS","Unauthorized network access; Malware; Denial of service; Data exfiltration; Unauthorized modifications; Lateral movement; Protocol exploitation; Reconnaissance",BES Cyber Assets; Protected Cyber Assets; EACMS; Network infrastructure,Protects all networked systems
DOM-004,Personnel & Training,Governance & Awareness,"Personnel Management","Management of personnel risk including background screening training and awareness programs to ensure only authorized and trained personnel have access to BES Cyber Systems.","CIP-004","Personnel risk assessment; Background checks; Training programs; Awareness initiatives; Access authorization; Periodic access reviews; Termination procedures; Role-based training","All Responsible Entities with BES Cyber Systems","Insider threats; Unauthorized access; Social engineering; Lack of security awareness; Credential compromise; Malicious insiders; Negligent access grants; Untrained personnel",All personnel with BES access; Contractors; Vendors; Partners,All entities must implement CIP-004
DOM-005,Governance & Policy,Policy & Procedures,"Organization-wide","Development and maintenance of documented cyber security policies and plans that establish the organization's security posture and compliance framework.","CIP-003","Security policies; Security plans; Senior manager designation; Policy approval; Plan implementation; Governance structure; Roles and responsibilities; Policy reviews","All Responsible Entities","Lack of security direction; Inconsistent controls; Compliance gaps; Inadequate governance; Accountability issues; Uncoordinated security; Policy misalignment; Leadership gaps",Organizational policies; Operational procedures; Control specifications; Security governance,Foundational for all CIP compliance
DOM-006,Change & Configuration Management,Operational Controls,"System Management","Management of changes to BES Cyber Systems and their configurations including documentation authorization testing and baseline maintenance to prevent unauthorized modifications.","CIP-010","Change request process; Change authorization; Configuration baselines; Change testing; Configuration monitoring (35 days); Baseline reviews; Deviation investigation; Change logging","Entities with High/Medium Impact BCS","Unauthorized modifications; Configuration drift; Unplanned outages; Introduction of vulnerabilities; Loss of system integrity; Lack of change visibility; Unauthorized testing; Production impact",BES Cyber Systems; Network infrastructure; SCADA systems; Control systems,Applied to all systems within scope
DOM-007,Vulnerability & Patch Management,Threat Mitigation,"System Management","Management of security vulnerabilities and patches including vulnerability assessments scanning penetration testing and timely application of security patches to maintain system security posture.","CIP-007 CIP-010","Vulnerability assessment (15 months); Security patch management; Patch testing; Patch deployment; Patch exceptions; Compensating controls; Vulnerability tracking; Risk prioritization","Entities with High/Medium Impact BCS","Exploitation of known vulnerabilities; Unpatched systems; Security gaps; Delayed patch application; Patch failures; Compensating control inadequacy; Vulnerability accumulation; Technical debt",All BES Cyber Assets; PCAs; EACMS; System components,Continuous vulnerability management
DOM-008,Incident Response & Recovery,Disaster Recovery,"Operational Continuity","Management of cyber security incidents and recovery including incident detection investigation response recovery plans and testing to minimize impact and restore operations.","CIP-008 CIP-009","Incident response plan; Incident detection; Incident reporting (24 hours); Investigation & root cause; Containment procedures; Recovery plans; RTO/RPO definition; Backup procedures; Restore testing","Entities with High/Medium Impact BCS","Delayed incident response; Loss of critical data; Extended outages; Ineffective recovery; Forensic evidence loss; Compliance violations; Operational impact; Cascade failures",All BES Cyber Systems; Critical infrastructure; Data protection,Mandatory for High/Medium Impact
DOM-009,Information Protection & Cryptography,Data Protection,"Data Security","Protection of sensitive BES Cyber System information including encryption key management secure disposal and access controls to prevent unauthorized disclosure or modification of critical system data.","CIP-005 CIP-011 CIP-012","BCSI identification; BCSI classification; Encryption (AES-128 at rest; TLS 1.2 in transit); Key management; Access controls; Secure disposal; BCSI inventory; Data loss prevention","All Responsible Entities handling BCSI","Data breach; Unauthorized disclosure; Cryptanalysis; Key compromise; Encryption failure; Information loss; Regulatory violation; Competitive harm",BES Cyber System Information; Credentials; Design data; Vulnerability info,All data requiring protection
DOM-010,Communication Security,Inter-Control Center,"Data in Transit","Secure communication between control centers and between control centers and field devices including encryption and authentication to protect operational data and commands.","CIP-012","Encrypted communications; ICCP security; Real-time data protection; Protocol security; Authentication; Integrity verification; Key exchange; Secure protocols","RCs BAs TOs (control center coordination)","Eavesdropping; Man-in-the-middle attacks; Command injection; Data manipulation; Protocol exploitation; Session hijacking; Unauthorized access; Signal spoofing",ICCP connections; Real-time coordination; Field communications; Market systems,Focus on critical operational communications
