node_id,standard_number,standard_full_number,standard_name,version_current,purpose,applicability,effective_date,requirement_count,part_count,measure_count,vrf_levels,status,source_document
CIP-002,002,CIP-002-5.1a,Cyber Security — BES Cyber System Categorization,5.1a,"To identify and categorize BES Cyber Systems and their associated BES Cyber Assets for the application of cyber security requirements commensurate with the adverse impact that loss, compromise, or misuse of those BES Cyber Systems could have on the reliable operation of the BES. Identification and categorization of BES Cyber Systems support appropriate protection against compromises that could lead to misoperation or instability in the BES.",Responsible Entities: Balancing Authority; Distribution Provider (for specified protection/restoration Facilities); Generator Operator; Generator Owner; Interchange Coordinator or Interchange Authority; Reliability Coordinator; Transmission Operator; Transmission Owner.,"24 Months Minimum – CIP-002-5.1a shall become effective on the later of July 1, 2015, or the first calendar day of the ninth calendar quarter after the effective date of the order providing applicable regulatory approval. In those jurisdictions where no regulatory approval is required CIP-002-5.1a shall become effective on the first day of the ninth calendar quarter following Board of Trustees’ approval, or as otherwise made effective pursuant to the laws applicable to such ERO governmental authorities.",2,5,2,High | Lower,Mandatory and enforceable Reliability Standard,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-003,003,CIP-003-9,Cyber Security — Security Management Controls,9,To specify consistent and sustainable security management controls that establish responsibility and accountability to protect BES Cyber Systems against compromise that could lead to misoperation or instability in the Bulk Electric System (BES).,"Responsible Entities: Balancing Authority; Distribution Provider (for specified UFLS/UVLS systems, RAS, Protection Systems, and Cranking Paths); Generator Operator; Generator Owner; Reliability Coordinator; Transmission Operator; Transmission Owner.",See Implementation Plan for CIP-003-9.,4,2,4,Medium | Lower,Mandatory and enforceable Reliability Standard,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-004,004,CIP-004-7,Cyber Security — Personnel & Training,7,"To minimize the risk against compromise that could lead to misoperation or instability in the Bulk Electric System (BES) from individuals accessing BES Cyber Systems by requiring an appropriate level of personnel risk assessment, training, security awareness, and access management in support of protecting BES Cyber Systems.","Responsible Entities: Balancing Authority; Distribution Provider (owning specified UFLS/UVLS, RAS, Protection System, or Cranking Path Facilities); Generator Operator; Generator Owner; Reliability Coordinator; Transmission Operator; Transmission Owner.",See Implementation Plan for CIP-004-7.,6,19,6,Medium | Lower,Mandatory and enforceable Reliability Standard,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-005,005,CIP-005-7,Cyber Security — Electronic Security Perimeter(s),7,To manage electronic access to BES Cyber Systems by specifying a controlled Electronic Security Perimeter in support of protecting BES Cyber Systems against compromise that could lead to misoperation or instability in the BES.,"Responsible Entities: Balancing Authority; Distribution Provider (owning specified UFLS/UVLS, RAS, Protection System, or Cranking Path Facilities); Generator Operator; Generator Owner; Reliability Coordinator; Transmission Operator; Transmission Owner.",See Implementation Plan for Project 2019-03.,3,12,3,Medium,Mandatory and enforceable Reliability Standard,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-006,006,CIP-006-6,Cyber Security — Physical Security of BES Cyber Systems,6,To manage physical access to Bulk Electric System (BES) Cyber Systems by specifying a physical security plan in support of protecting BES Cyber Systems against compromise that could lead to misoperation or instability in the BES.,"Responsible Entities: Balancing Authority; Distribution Provider (owning specified UFLS/UVLS, SPS/RAS, Protection System, or Cranking Path Facilities); Generator Operator; Generator Owner; Interchange Coordinator or Interchange Authority; Reliability Coordinator; Transmission Operator; Transmission Owner.",See Implementation Plan for CIP-006-6.,3,14,3,Medium,Mandatory and enforceable Reliability Standard,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-007,007,CIP-007-6,Cyber Security — System Security Management,6,"To manage system security by specifying select technical, operational, and procedural requirements in support of protecting BES Cyber Systems against compromise that could lead to misoperation or instability in the Bulk Electric System (BES).","Responsible Entities: Balancing Authority; Distribution Provider (for specified UFLS/UVLS, SPS/RAS, Protection System, and Cranking Path Facilities); Generator Operator; Generator Owner; Interchange Coordinator or Interchange Authority; Reliability Coordinator; Transmission Operator; Transmission Owner.",See Implementation Plan for CIP-007-6.,5,20,5,Medium,Mandatory and enforceable Reliability Standard,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-008,008,CIP-008-6,Cyber Security — Incident Reporting and Response Planning,6,To mitigate the risk to the reliable operation of the BES as the result of a Cyber Security Incident by specifying incident response requirements.,Responsible Entities: Balancing Authority; Distribution Provider (for specified BES protection/restoration Facilities); Generator Operator; Generator Owner; Reliability Coordinator; Transmission Operator; Transmission Owner.,See Implementation Plan for CIP-008-6.,4,12,4,Lower,Mandatory and enforceable Reliability Standard,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-009,009,CIP-009-6,Cyber Security — Recovery Plans for BES Cyber Systems,6,"To recover reliability functions performed by BES Cyber Systems by specifying recovery plan requirements in support of the continued stability, operability, and reliability of the BES.",Responsible Entities: Balancing Authority; Distribution Provider that owns specified protection or restoration Facilities; Generator Operator; Generator Owner; Interchange Coordinator or Interchange Authority; Reliability Coordinator; Transmission Operator; Transmission Owner.,See Implementation Plan for CIP-009-6.,3,10,13,Medium | Lower,Mandatory and enforceable Reliability Standard,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-010,010,CIP-010-4,Cyber Security — Configuration Change Management and Vulnerability Assessments,4,To prevent and detect unauthorized changes to BES Cyber Systems by specifying configuration change management and vulnerability assessment requirements in support of protecting BES Cyber Systems from compromise that could lead to misoperation or instability in the Bulk Electric System (BES).,"Responsible Entities: Balancing Authority; Distribution Provider (owning specified UFLS/UVLS, RAS, Protection System, or Cranking Path Facilities); Generator Operator; Generator Owner; Reliability Coordinator; Transmission Operator; Transmission Owner.",See Implementation Plan for Project 2019-03.,4,11,4,Medium,Mandatory and enforceable Reliability Standard,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
CIP-011,011,CIP-011-3,Cyber Security — Information Protection,3,To prevent unauthorized access to BES Cyber System Information (BCSI) by specifying information protection requirements in support of protecting BES Cyber Systems against compromise that could lead to misoperation or instability in the Bulk Electric System (BES).,"Responsible Entities: Balancing Authority; Distribution Provider (owning specified UFLS/UVLS, RAS, Protection System, or Cranking Path Facilities); Generator Operator; Generator Owner; Reliability Coordinator; Transmission Operator; Transmission Owner.",See Implementation Plan for CIP-011-3.,2,4,2,Medium | Lower,Mandatory and enforceable Reliability Standard,"NERC CIP Reliability Standards (CIP-002 to CIP-014), KB 3"
