bca_id,bca_name,asset_type,asset_category,manufacturer,model,bcs_id,bcs_name,facility_id,impact_rating,function,operating_system,network_accessible,routable_protocol,ports_services,authentication_method,location,installation_date,firmware_version,patch_level,security_hardening,monitoring,backup_frequency,notes
BCA-001,Primary EMS Server,Server,SCADA/EMS Server,Siemens,Spectrum Power 7,BCS-001,Primary Control Center EMS,FAC-RC-001,High Impact,"Energy Management System; State estimator; Contingency analysis; Real-time monitoring; SCADA data processing","Windows Server 2019 Standard; SQL Server 2019","Yes - within ESP only","Yes - TCP/IP within ESP; ICCP to external RCs","TCP 102 (ICCP); TCP 1433 (SQL); TCP 3389 (RDP - restricted); HTTPS 443 (web interface)","Active Directory; Multi-factor authentication for remote; Certificate-based for ICCP; Password policy 15 characters","Primary control center server room; Rack 1A; Physically secured; Biometric access","2021-03-15","Spectrum Power 7.3.1","Windows patched 2025-12; SQL Server CU8","CIS Benchmark Level 1; Unnecessary services disabled; Application whitelisting; Host-based firewall; AV/EDR installed","24/7 SIEM monitoring; Splunk agent; Event log forwarding; Performance monitoring; Health checks","Daily incremental; Weekly full backup; Offsite replication; 90-day retention","Primary EMS server; Dual-homed (operations network and ICCP network); Redundant with BCA-002; Load balanced; Critical for real-time operations"
BCA-002,Backup EMS Server,Server,SCADA/EMS Server,Siemens,Spectrum Power 7,BCS-001,Primary Control Center EMS,FAC-RC-001,High Impact,"Backup Energy Management System; Hot standby; Failover capability; Real-time data replication; State estimator backup","Windows Server 2019 Standard; SQL Server 2019","Yes - within ESP only","Yes - TCP/IP within ESP; ICCP to external RCs","TCP 102 (ICCP); TCP 1433 (SQL); TCP 3389 (RDP - restricted); HTTPS 443 (web interface)","Active Directory; Multi-factor authentication for remote; Certificate-based for ICCP; Password policy 15 characters","Primary control center server room; Rack 1B; Physically secured; Biometric access","2021-03-15","Spectrum Power 7.3.1","Windows patched 2025-12; SQL Server CU8","CIS Benchmark Level 1; Unnecessary services disabled; Application whitelisting; Host-based firewall; AV/EDR installed","24/7 SIEM monitoring; Splunk agent; Event log forwarding; Performance monitoring; Health checks; Failover monitoring","Daily incremental; Weekly full backup; Offsite replication; 90-day retention","Backup EMS server; Redundant with BCA-001; Hot standby; Automatic failover; Load balanced; Data replication real-time"
BCA-003,Substation RTU,Remote Terminal Unit,Field Device RTU,Schweitzer Engineering Labs (SEL),SEL-3505,BCS-003,765kV Transmission Substation System,FAC-SUB-001,High Impact,"Remote telemetry; SCADA data acquisition; Breaker control; Status monitoring; Substation automation interface; Protocol conversion","Embedded Linux (SEL proprietary)","Yes - SCADA network within ESP","Yes - DNP3 over TCP/IP to control center; Serial DNP3 to relays","TCP 20000 (DNP3); Serial RS-232/485 (DNP3 to relays); HTTPS 443 (management - restricted)","Local console password; Certificate-based for DNP3 secure authentication; Role-based access; Password policy","765kV substation control house; Equipment rack; Locked room; Perimeter fence; Remote location","2019-08-10","SEL-3505 R332","Firmware updated 2024-11","SEL secure configuration; Unnecessary services disabled; SEL firewall enabled; Role-based access control; Change logging","Remote SCADA monitoring; Alarm forwarding to control center; DNP3 event monitoring; Health status polling every 60 seconds","Configuration backup monthly; Version control; Stored encrypted offsite","Field RTU for 765kV substation; Remote location; Unmanned facility; Serial and Ethernet interfaces; DNP3 protocol; SEL hardened device"
BCA-004,Protective Relay - Line Protection,Intelligent Electronic Device (IED),Protective Relay,Schweitzer Engineering Labs (SEL),SEL-421,BCS-003,765kV Transmission Substation System,FAC-SUB-001,High Impact,"Transmission line protection; Distance protection; Differential protection; Fault detection; Breaker tripping; Event recording; Synchrophasor measurement","Embedded firmware (SEL proprietary)","Yes - substation LAN within ESP","Yes - DNP3 serial to RTU; Ethernet for engineering access; Modbus for substation automation","Serial DNP3 to RTU; TCP Modbus 502 (substation automation); HTTPS 443 (engineering access - restricted)","Local HMI password; Engineering access password; Role-based access levels; Password policy; Physical access to front panel","765kV substation switchyard; Relay panel; Control house; Locked relay room; Physical tamper detection","2018-05-20","SEL-421-5","Firmware R115-V0 (2023-10)","SEL secure settings; Cybersecurity features enabled; Unnecessary protocols disabled; Password complexity; Change detection","Local relay monitoring; Event logging; Fault recording; DNP3 status to SCADA; SEL event reports to control center","Configuration backup after any change; Relay settings version controlled; Stored in secure repository","Distance relay for 765kV transmission line; Zone 1/2/3 protection; High-speed tripping; Fault location; Synchrophasor (PMU) capability; Event recording"
BCA-005,Generator Control System Server,Server,DCS Server,General Electric,Mark VIe,BCS-004,Generation Plant Control System - Nuclear,FAC-GEN-001,High Impact,"Generator control; Excitation control; Governor control; Vibration monitoring; Protection coordination; Unit startup/shutdown; Real-time control","VxWorks RTOS; GE proprietary control software","Yes - plant control network within ESP","Yes - Modbus TCP; Ethernet/IP; Proprietary GE protocol","Modbus TCP 502; Ethernet/IP; HTTPS 443 (HMI access); Proprietary GE ports","Local console; Engineering access password; Operator HMI password; Role-based access; Multi-factor for remote engineering","Nuclear plant turbine building; Control room; Separate from safety systems (10 CFR 50); Physically secured with badge access","2016-11-05","Mark VIe R08.04","Firmware updated 2024-09; GE patches applied quarterly","GE security baseline; Unnecessary services disabled; Network segmentation from safety systems; Application whitelisting; Change management strict","Real-time DCS monitoring; Alarm management; Trend monitoring; Performance monitoring; Cybersecurity event monitoring per NEI 08-09","Configuration backup after changes; Daily operational backup; Version control strict; 7-year retention per NRC","Generator DCS for nuclear plant; Separate from NRC safety systems; Non-safety balance of plant control; Coordination with plant safety team required; Dual NERC/NRC regulation"
BCA-006,Turbine Control System,Programmable Logic Controller (PLC),DCS Controller,General Electric,Mark VIe,BCS-004,Generation Plant Control System - Nuclear,FAC-GEN-001,High Impact,"Steam turbine control; Governor control; Valve control; Speed control; Load control; Vibration monitoring; Emergency trip logic","VxWorks RTOS; GE turbine control logic","Yes - plant control network within ESP","Yes - Modbus TCP; Ethernet/IP; Proprietary GE protocol; Redundant network","Modbus TCP 502; Ethernet/IP; HTTPS 443 (engineering access - restricted); Proprietary GE ports","Local access password; Engineering workstation certificate; Operator access role-based; Multi-factor for remote","Nuclear plant turbine building; Turbine control cabinet; Redundant controllers; Physically secured area; Badge access","2016-11-05","Mark VIe R08.04","Firmware updated 2024-09; GE patches coordinated with outages","GE security settings; Redundant architecture for reliability; Network segmentation; Change management per plant procedures; Safety coordination","Real-time controller monitoring; Redundancy status; Alarm management; Vibration trending; Cybersecurity monitoring per NEI 08-09","Configuration backup before/after changes; Redundant controller synchronization; Version control; Long-term retention","Turbine governor control; Redundant TMR (Triple Modular Redundant) architecture; Critical for plant operation; Coordinated with plant safety; GE proprietary system"
BCA-007,Wind Turbine Controller,Programmable Logic Controller (PLC),Wind Turbine Controller,Siemens,SIMATIC S7-1500,BCS-005,Wind Farm Generation System,FAC-WIND-001,Medium Impact,"Individual wind turbine control; Pitch control; Yaw control; Power optimization; Grid interconnection; Turbine protection; Data logging","TIA Portal; Siemens PLC firmware","Yes - wind farm network within ESP","Yes - Modbus TCP to wind farm SCADA; Ethernet/IP","Modbus TCP 502; HTTPS 443 (HMI access); Proprietary Siemens protocol","Local HMI password; Engineering access password (TIA Portal); Role-based access; Password policy 12+ characters","Wind turbine nacelle; Control cabinet at base; Outdoor environment; Locked cabinet; Remote location in wind farm","2020-07-12","S7-1500 Firmware V2.9","Firmware updated 2024-06; Siemens patches coordinated with maintenance windows","Siemens security features enabled; Unnecessary protocols disabled; Password protection; Network segmentation from corporate; Change logging","Remote monitoring to wind farm SCADA; Turbine status; Power output; Fault alarms; Meteorological data; Periodic health checks","Configuration backup after changes; Monthly backup cycle; Stored in secure wind farm server; 3-year retention","Individual wind turbine PLC; One per turbine (200+ turbines in farm); Outdoor harsh environment; Remote access for troubleshooting; Vendor support required; Modbus TCP to central SCADA"
BCA-008,Wind Farm SCADA Server,Server,SCADA Server,Siemens,WinCC,BCS-005,Wind Farm Generation System,FAC-WIND-001,Medium Impact,"Wind farm monitoring; Turbine control; Power plant control; Grid interconnection; Data aggregation; Meteorological data; Remote access for operators","Windows Server 2019; SQL Server 2019; WinCC SCADA application","Yes - wind farm network and ESP","Yes - Modbus TCP to turbines; DNP3 to grid operator; Corporate VPN for remote access (MFA required)","Modbus TCP 502; DNP3 TCP 20000; HTTPS 443; RDP 3389 (restricted MFA); SQL 1433","Active Directory; Multi-factor authentication for remote access; Certificate-based DNP3; Password policy; Role-based access","Wind farm substation control building; Server rack; Physically secured; Remote location; Badge access or key","2020-06-15","WinCC V7.5 SP2","Windows patched 2025-12; SQL Server patched; WinCC updates applied","CIS Benchmark; Application whitelisting; Host firewall; AV/EDR; Unnecessary services disabled; Corporate network separation","SIEM monitoring; Event log forwarding; SCADA alarm management; Turbine health monitoring; Grid interconnection status monitoring","Daily backup; Weekly full backup; Offsite replication to corporate; 90-day retention; Configuration version control","Central SCADA for wind farm; Communicates with 200+ turbine PLCs; Grid interconnection DNP3; Remote monitoring by operators; MFA for remote access; Medium Impact CIP compliance"
BCA-009,Firewall - Control Center ESP Boundary,Firewall,Network Security Appliance,Palo Alto Networks,PA-5250,BCS-001,Primary Control Center EMS,FAC-RC-001,High Impact,"ESP boundary protection; Firewall rule enforcement; Intrusion prevention; VPN termination (MFA); Traffic logging; Threat detection; Network segmentation","PAN-OS (Palo Alto Networks OS)","Yes - management interface within ESP","Yes - all traffic inspection; VPN termination; ICCP traffic filtering; Corporate network isolation","All ports managed by firewall rules; ICCP TCP 102; HTTPS 443; SSH 22 (management - restricted); VPN protocols","Local admin password; Certificate-based VPN; Multi-factor for remote admin; RADIUS integration for user VPN; Role-based admin access","Control center network room; Rack-mounted; Redundant firewall pair (active-passive); Physically secured server room","2022-09-01","PAN-OS 10.2.7-h3","Firmware updated 2025-11; Security updates monthly; Threat intelligence subscriptions active","Default-deny rules; Least privilege access; IPS enabled; Threat prevention enabled; URL filtering; Application control; Logging all traffic","24/7 monitoring; SIEM integration (Splunk); Real-time alert on anomalies; IPS alerts; VPN session monitoring; Threat intelligence correlation","Configuration backup after rule changes; Daily backup; Version control; Change management process; Emergency rollback procedures","ESP boundary firewall; Protects control center BCS; High availability pair; MFA required for VPN; ICCP traffic allowed with authentication; IPS and threat prevention enabled; Logs forwarded to SIEM"
BCA-010,Network Switch - Operations VLAN,Network Switch,Network Infrastructure,Cisco,Catalyst 9300,BCS-001,Primary Control Center EMS,FAC-RC-001,High Impact,"Operations network switching; VLAN segmentation; Access control; Port security; Traffic forwarding; Network redundancy; QoS for SCADA traffic","Cisco IOS-XE","Yes - management interface within ESP","Yes - Layer 2/3 switch; VLAN routing; Management via SSH/HTTPS","SSH 22 (management); HTTPS 443 (management); SNMP 161 (monitoring - restricted); Syslog 514","Local admin password; TACACS+ authentication to Active Directory; SSH keys for automation; Console password; Enable secret","Control center network room; Rack-mounted; Redundant switch stack; Physically secured server room","2023-01-10","IOS-XE 17.9.4a","Firmware updated 2024-10; Cisco security patches applied quarterly","CIS Cisco benchmark; Port security; DHCP snooping; Dynamic ARP inspection; Storm control; Unused ports disabled; Logging enabled","SNMP monitoring; Syslog to SIEM; Port status monitoring; Spanning tree monitoring; Performance monitoring; Configuration change alerts","Configuration backup after changes; Weekly backup; Version control (RANCID); Change management; Emergency rollback","Operations VLAN switch; SCADA/EMS traffic; Redundant stack; Port security enabled; 802.1X for endpoint authentication; QoS prioritizes SCADA; VLANs separate operations/corporate/ICCP"
BCA-011,Historian Server,Server,Data Historian,OSIsoft,PI System (AF Server),BCS-001,Primary Control Center EMS,FAC-RC-001,High Impact,"Historical data storage; Real-time data archival; Trending; Reporting; Data analytics; Compliance reporting; Operational intelligence; Interface to EMS","Windows Server 2019; SQL Server 2019; PI AF Server; PI Data Archive","Yes - within ESP; Limited corporate access via firewall","Yes - PI protocol to EMS; HTTPS for web access; SQL for reporting; API for applications","PI protocol (proprietary); HTTPS 443 (PI Vision web); SQL 1433 (reporting); PI Web API","Active Directory; Role-based access; Multi-factor for remote; Certificate-based for PI interfaces; Password policy","Control center server room; Rack-mounted; Redundant with BCA-012; Physically secured","2021-05-20","PI System 2023","Windows patched 2025-12; SQL patched; PI System updates quarterly","CIS Benchmark; Application whitelisting; Host firewall; AV/EDR; Unnecessary services disabled; Network segmentation from corporate","SIEM monitoring; Event log forwarding; PI System monitoring; Data integrity checks; Performance monitoring; Capacity monitoring","Daily incremental backup; Weekly full backup; PI backup utilities; Offsite replication; 7-year retention for compliance","Historian for EMS data; Long-term data retention; Compliance reporting; Operational analytics; PI System standard; Redundant pair; Corporate reporting interface (read-only firewall rules)"
BCA-012,Backup Historian Server,Server,Data Historian,OSIsoft,PI System (AF Server),BCS-001,Primary Control Center EMS,FAC-RC-001,High Impact,"Backup historian; High availability; Data replication; Failover capability; Long-term data retention; Redundancy for critical data","Windows Server 2019; SQL Server 2019; PI AF Server; PI Data Archive (replication)","Yes - within ESP; Limited corporate access via firewall","Yes - PI replication to primary; HTTPS for web access; SQL for reporting","PI replication protocol; HTTPS 443 (PI Vision web); SQL 1433 (reporting); PI Web API","Active Directory; Role-based access; Multi-factor for remote; Certificate-based for PI interfaces; Password policy","Control center server room; Rack-mounted; Redundant with BCA-011; Physically secured","2021-05-20","PI System 2023","Windows patched 2025-12; SQL patched; PI System updates quarterly","CIS Benchmark; Application whitelisting; Host firewall; AV/EDR; Unnecessary services disabled; Network segmentation","SIEM monitoring; Event log forwarding; PI replication monitoring; Failover monitoring; Performance monitoring; Data synchronization checks","Daily incremental backup; Weekly full backup; PI backup utilities; Offsite replication; 7-year retention","Backup historian; Redundant with BCA-011; Automatic failover; Data replication continuous; High availability; Long-term retention for regulatory compliance"
BCA-013,Engineering Workstation,Workstation,Engineering Workstation,Dell,Precision 7920,BCS-001,Primary Control Center EMS,FAC-RC-001,High Impact,"EMS engineering; Configuration changes; Software development; Testing; Maintenance; Vendor remote access jump host; Change management","Windows 10 Enterprise LTSC 2021","Yes - operations network within ESP; Jump host for vendor remote access","Yes - RDP to servers; SSH to network devices; Vendor VPN termination","RDP 3389; SSH 22; HTTPS 443; Vendor VPN protocols; Engineering tool ports (varies)","Active Directory; Multi-factor authentication; Smart card (PIV); Privileged access management (CyberArk); Role-based access","Control center engineering area; Locked equipment room; Badge access; Session recording for vendor access","2022-03-12","Windows 10 LTSC 2021","Windows patched 2026-01; Fully patched; Monthly updates","CIS Benchmark; Application whitelisting (engineering tools only); Host firewall; AV/EDR; Privileged access management; Session recording; USB disabled","SIEM monitoring; Privileged session recording; User activity monitoring; Software installation logging; Change tracking; Vendor access auditing","Configuration backup weekly; User data backed up (not system); Change documentation; Version control for scripts","Engineering workstation for EMS configuration; Jump host for vendor remote access; Session recording for auditing; CyberArk PAM for privileged access; MFA required; Change management integration"
