evidence_type_id,evidence_category,evidence_name,description,applicable_standards,retention_period,format_type,collection_method,storage_requirements,audit_use
EVIDENCE-POLICY,Documentation,Security Policy Document,Documented cyber security policies addressing CIP-003 through CIP-009 topics approved by Senior Manager,CIP-003-R1,Duration of applicability + 3 calendar years,Document (PDF Word),"Policy development and approval process; Version control; Distribution tracking","Secure storage; Version control; Access control; Backup","Demonstrate governance and policy framework; Senior manager approval verification"
EVIDENCE-PROCEDURE,Documentation,Procedure Document,Operational procedures implementing security controls and policies,All CIP standards,Duration of applicability + 3 calendar years,Document (PDF Word),"Procedure development; Review and approval; Update tracking","Secure storage; Version control; Change management","Demonstrate operational implementation of controls; Procedure adequacy assessment"
EVIDENCE-LOG-FIREWALL,Technical,Firewall Log,Electronic logs from firewalls showing access control decisions and traffic,CIP-005 CIP-007,90 calendar days minimum,Log file (text syslog CEF),Automated log collection; Syslog or SIEM,"Centralized log management; Integrity protection; Backup; Access control","Demonstrate access control enforcement; Detect unauthorized access attempts; Incident investigation"
EVIDENCE-LOG-ACCESS,Operational,Access Log,Records of physical or logical access to BES Cyber Systems or facilities,CIP-004 CIP-006,90 calendar days minimum,Log file or access control system records,Automated logging from access control systems; Badge readers; Authentication systems,"Secure log storage; Tamper protection; Backup","Demonstrate access control; Verify authorized personnel access; Support incident investigation"
EVIDENCE-LOG-SECURITY,Technical,Security Event Log,Logs from BES Cyber Assets showing security-relevant events,CIP-007,90 calendar days minimum,Log file (Windows Event Linux syslog),Automated collection from BES Cyber Assets; SIEM aggregation,"Centralized storage; SIEM or log management; Integrity protection","Detect security events; Support incident detection; Configuration change tracking"
EVIDENCE-TRAINING-CERT,Personnel,Training Completion Certificate,Documentation that individual completed required security training,CIP-004,3 calendar years after access removed or 1 year after revocation,Certificate or training system record,Learning management system; Training attendance; Completion tracking; Test scores,"Training records database; Secure storage; Privacy protection","Demonstrate personnel training compliance; Verify awareness and competency"
EVIDENCE-TRAINING-MATERIAL,Personnel,Training Course Materials,Content of security training programs delivered to personnel,CIP-004,Duration of training program use + 3 years,Training content (presentations videos documents),Training development; Content management; Periodic updates,"Secure storage; Version control","Demonstrate adequacy of training content; Verify CIP topics covered; Assess training quality"
EVIDENCE-BACKGROUND,Personnel,Background Check Results,Personnel risk assessment records including background check results,CIP-004,7 calendar years after access removed,Confidential records,Third-party background check providers; Internal HR processes,"Highly confidential; Restricted access; Secure storage; Privacy compliance; Need-to-know basis","Demonstrate personnel screening; Verify 7-year cycle; Validate authorization decisions"
EVIDENCE-AUTHORIZATION,Personnel,Access Authorization Record,Documentation of decision to grant authorize or deny access to BES Cyber Systems,CIP-004,Duration of access + 1 year,Authorization form or access control system record,Access request and approval workflow; Manager authorization; Risk assessment,"Access control database; Secure storage; Audit trail","Demonstrate proper authorization; Verify business need; Support access reviews"
EVIDENCE-ASSESSMENT-VULN,Assessment,Vulnerability Assessment Report,Results of vulnerability scanning penetration testing or other security assessments,CIP-010-R3,3 calendar years,Assessment report (PDF) Scan results (XML CSV),Security scanning tools; Penetration testing; Manual assessment; Tool reports,"Secure storage (contains vulnerability data); Restricted access; BCSI protection","Demonstrate vulnerability assessment performed; Verify 15-month cycle; Assess remediation"
EVIDENCE-ASSESSMENT-RISK,Assessment,Risk Assessment Report,Annual risk assessment of cybersecurity threats and vulnerabilities,CIP-003,3 calendar years,Risk assessment report (PDF Excel),Risk assessment process; Threat analysis; Vulnerability identification; Control evaluation,"Secure storage; BCSI considerations; Restricted distribution","Demonstrate risk-based approach; Verify annual completion; Validate control decisions"
EVIDENCE-TEST-IRP,Testing,Incident Response Plan Test Results,Documentation of incident response plan testing exercises drills or tabletops,CIP-008,3 calendar years,Test report After-action report,"Testing execution; Participant feedback; Findings documentation; Improvement actions","Secure storage; Lessons learned integration","Demonstrate annual testing; Verify plan adequacy; Assess response capability; Track improvements"
EVIDENCE-TEST-RECOVERY,Testing,Recovery Plan Test Results,Results of recovery plan testing including backup restore tests,CIP-009,3 calendar years,Test report Restore verification records,"Recovery testing; Backup restore procedures; RTO/RPO validation; Test scenarios","Secure storage; Test result retention","Demonstrate annual testing; Verify recovery capability; Validate RTO/RPO; Assess backup integrity"
EVIDENCE-TEST-PHYSICAL,Testing,Physical Security Test Results,Results of CIP-014 physical security testing biennial exercises,CIP-014,3 calendar years,Test report Exercise documentation Law enforcement coordination records,Biennial testing; Simulated attacks; Response evaluation; Law enforcement involvement,"Secure storage (security-sensitive); Law Enforcement Sensitive designation possible; Restricted distribution","Demonstrate biennial testing; Verify response procedures; Assess physical security effectiveness"
EVIDENCE-CHANGE-REQUEST,Operational,Change Request Record,Documentation of requested approved and implemented changes to BES Cyber Systems,CIP-010,3 calendar years,Change ticket or change management system record,Change management process; Request submission; Approval workflow; Implementation tracking,"Change management system; Audit trail; Secure storage","Demonstrate change control; Verify authorization; Validate testing; Track configuration changes"
EVIDENCE-CHANGE-APPROVAL,Operational,Change Authorization,Approval records for system changes showing authorized approver and decision,CIP-010,3 calendar years,Approval form or system record with digital signature,Change approval workflow; Authorized approver designation; Approval documentation,"Change management system; Digital signatures; Non-repudiation","Verify proper authorization; Validate approver authority; Support change audit trail"
EVIDENCE-BASELINE,Technical,Configuration Baseline Documentation,Documented approved baseline configuration for BES Cyber Systems,CIP-010,Duration of baseline applicability + 3 years,Configuration documentation (spreadsheets diagrams CMDB export),Baseline documentation process; Configuration capture; Approval; Version control,"Configuration management database; Version control; Secure storage; BCSI protection","Demonstrate baseline establishment; Support configuration monitoring; Validate authorized configuration"
EVIDENCE-CONFIG-MONITOR,Technical,Configuration Monitoring Report,Results of 35-day configuration monitoring comparing actual to baseline,CIP-010,3 calendar years,Monitoring report Comparison results Deviation records,Automated or manual configuration comparison; 35-day cycle; Deviation investigation,"Configuration management system; Monitoring tool; Secure storage","Demonstrate 35-day monitoring; Verify deviation handling; Validate unauthorized change detection"
EVIDENCE-PATCH,Technical,Security Patch Records,Documentation of security patch evaluation testing deployment or TFE,CIP-007 CIP-010,3 calendar years,Patch management records (spreadsheet system records) TFE documents,Patch tracking system; Vendor advisories; Deployment records; TFE justifications,"Patch management system; TFE documentation; Secure storage","Demonstrate patch management; Verify timely deployment or TFE; Validate testing"
EVIDENCE-INCIDENT,Operational,Cybersecurity Incident Report,Documentation of cybersecurity incident including detection investigation response and reporting,CIP-008,3 calendar years,Incident report NERC notification Investigation records Remediation documentation,"Incident response execution; Evidence preservation; Investigation; Reporting to NERC within 24 hours; Remediation tracking","Incident management system; Secure storage (contains forensic data and vulnerabilities); Restricted access","Demonstrate incident response; Verify NERC reporting; Validate investigation and remediation; Support lessons learned"
EVIDENCE-NERC-REPORT,Compliance,NERC Incident Notification,Initial and update notifications submitted to NERC for reportable CIP Incidents,CIP-008,3 calendar years,NERC reporting form Email records Confirmation receipts,NERC reporting portal; Email notification; Update submissions; Receipt confirmation,"Compliance documentation system; NERC portal records; Email archives","Demonstrate 24-hour reporting; Verify NERC notification; Validate incident classification"
EVIDENCE-VISITOR-LOG,Physical Security,Visitor Sign-In Log,Physical records of visitors to BES Cyber System facilities requiring escort,CIP-006,90 calendar days minimum,Sign-in sheet or visitor management system records,Manual sign-in or electronic visitor management; Escort assignment; Badge issuance,"Visitor management system; Secure storage; Access to authorized personnel only","Demonstrate visitor control; Verify escort compliance; Support physical access audit trail"
EVIDENCE-SURVEILLANCE,Physical Security,Surveillance Video Recording,Video recordings from surveillance cameras monitoring Physical Security Perimeters,CIP-006,90 calendar days minimum (CIP-014 may require longer),Video files (various formats),CCTV recording systems; Network video recorders; Video management systems,"Video storage system; Retention management; Secure access; Evidence preservation capability","Demonstrate surveillance coverage; Support incident investigation; Verify physical security monitoring"
EVIDENCE-ESP-DIAGRAM,Technical,Electronic Security Perimeter Diagram,Network diagram showing ESP boundaries EAPs and protected BES Cyber Systems,CIP-005,Duration of ESP configuration + 3 calendar years,Network diagram (Visio PDF drawing),Network documentation; Diagram creation and maintenance; Change tracking; BCSI protection,"Secure storage (BCSI); Controlled distribution; Version control","Demonstrate ESP architecture; Verify EAP identification; Support network security assessment"
EVIDENCE-VENDOR-ASSESSMENT,Supply Chain,Vendor Security Assessment,Security assessment of vendor or supplier providing BES Cyber System components or services,CIP-013,Duration of vendor relationship + 3 calendar years,Assessment questionnaire Report On-site findings,Vendor assessment process; Questionnaire completion; Document review; On-site assessment if conducted,"Secure storage; Vendor-confidential treatment; Compliance records","Demonstrate supply chain risk management; Verify vendor security practices; Support procurement decisions"
EVIDENCE-VENDOR-AGREEMENT,Supply Chain,Vendor Security Agreement,Contract or agreement with security requirements for vendors,CIP-013,Duration of agreement + 3 calendar years,Contract with security exhibits Amendments,Contract negotiation; Security requirements inclusion; Legal review; Execution,"Contract management system; Secure storage; Legal review records","Demonstrate contractual security obligations; Verify security requirements; Support vendor management"
EVIDENCE-BCSI-INVENTORY,Information Protection,BCSI Inventory,List of identified BES Cyber System Information requiring protection,CIP-011,Duration of BCSI classification + 3 years,Inventory list or database,BCSI identification process; Classification; Tracking; Periodic review,"Secure storage (is itself BCSI); Restricted access; Need-to-know basis","Demonstrate BCSI identification; Verify protection application; Support information classification"
EVIDENCE-ENCRYPTION-CONFIG,Technical,Encryption Configuration,Documentation of encryption implementation for BCSI protection or communications,CIP-005 CIP-011 CIP-012,Duration of encryption configuration + 3 years,Configuration documentation Certificates Key management records,Encryption deployment; Certificate management; Key management; Protocol configuration,"Secure storage; Key management system; Certificate inventory; BCSI protection","Demonstrate encryption implementation; Verify encryption strength (AES-128 TLS 1.2); Validate certificate management"
EVIDENCE-TFE,Compliance,Technical Feasibility Exception Documentation,Documentation justifying inability to implement specific requirement with compensating controls,Multiple CIP standards,Duration of TFE + 3 calendar years,TFE document Justification Compensating controls Approval Annual review,"TFE development; Risk assessment; Compensating control design; Approval process; Annual review","Exception filing; Secure storage; Audit review","Demonstrate technical limitation; Verify compensating controls; Validate annual review; Assess risk acceptance"
