responsible_entity_id,entity_name,entity_type,entity_abbreviation,nerc_region,registered_status,registration_date,compliance_history,last_audit_date,annual_revenue_usd,employee_count,high_impact_bcs_count,medium_impact_bcs_count,low_impact_bcs_count,total_bcs_count,cip_program_maturity,audit_result,compliance_officer_designated,security_officer_designated
RE-001,Duke Energy Corporation,Transmission Owner,DUKE,SERC,Active,2006-03-15,Good - No significant violations in past 3 years,2024-10-15,28500000000,27000,18,8,3,29,Mature,Compliant - Minor findings corrected,Yes,Yes
RE-002,Southern Company,Balancing Authority,SO,SERC,Active,2006-04-01,Good - 1 minor violation resolved 2023,2024-03-20,25000000000,23000,15,7,4,26,Mature,Compliant - Some observations noted,Yes,Yes
RE-003,Pacific Gas and Electric Company,Transmission Operator,PGE,WECC,Active,2006-06-10,Good - 2 minor violations (2022-2023) both resolved,2024-09-10,23500000000,26000,16,9,2,27,Mature,Compliant - Enhanced monitoring,Yes,Yes
RE-004,American Electric Power,Generator Operator,AEP,RFC,Active,2006-02-20,Good - No violations in past 5 years,2024-06-15,18200000000,16500,14,6,3,23,Mature,Compliant - Excellent documentation,Yes,Yes
RE-005,NextEra Energy Resources,Distribution Provider,NEER,SERC,Active,2007-08-12,Good - No violations in past 4 years,2024-08-22,20900000000,15000,12,8,2,22,Mature,Compliant - Best practices noted,Yes,Yes
RE-006,Exelon Corporation,Balancing Authority,EXC,RFC,Active,2006-05-15,Good - 1 major violation (2021) resolved with enhanced monitoring,2024-04-18,21400000000,19000,16,7,4,27,Mature,Compliant - Continued monitoring on 2021 incident,Yes,Yes
RE-007,Dominion Energy,Transmission Owner,DOM,SERC,Active,2006-07-01,Good - No significant violations in past 3 years,2024-07-12,17100000000,16200,13,6,2,21,Mature,Compliant - Excellent audit findings,Yes,Yes
RE-008,Electric Reliability Council of Texas,Reliability Coordinator,ERCOT,ERCOT,Active,2006-01-20,Good - 1 observation corrected 2023,2024-05-22,120000000,850,22,5,3,30,Mature,Compliant - 1 observation resolved,Yes,Yes
RE-009,Bonneville Power Administration,Transmission Operator,BPA,WECC,Active,2006-03-10,Good - No violations in past 5 years,2024-09-05,3800000000,3100,10,4,2,16,Mature,Compliant - Federal entity best practices,Yes,Yes
RE-010,FirstEnergy Corporation,Generator Operator,FE,RFC,Active,2006-06-25,Good - 1 minor violation resolved 2024,2024-11-01,12400000000,12500,11,5,3,19,Mature,Compliant - Minor issue corrected,Yes,Yes
RE-011,Hydro-Québec TransÉnergie,Balancing Authority,HQT,NPCC,Active,2007-09-15,Good - Compliant with Canadian CIP-equivalent requirements,2024-08-30,14500000000,8700,12,5,2,19,Mature,Compliant - Meets Canadian and US standards,Yes,Yes
RE-012,Entergy Corporation,Generator Operator,ETR,SERC,Active,2008-11-05,Good - No violations in past 4 years,2024-10-20,11500000000,12800,10,6,2,18,Mature,Compliant - Good practices,Yes,Yes
RE-013,Salt River Project,Distribution Provider,SRP,WECC,Active,2009-04-18,Good - No violations in past 5 years,2024-09-15,3800000000,5200,6,3,2,11,Mature,Compliant - Municipal utility best practices,Yes,Yes
RE-014,National Grid USA,Transmission Owner,NGRID,NPCC,Active,2006-08-20,Good - 1 minor violation resolved 2022,2024-03-15,21800000000,24000,15,7,3,25,Mature,Compliant - Excellent findings,Yes,Yes
RE-015,California Independent System Operator,Balancing Authority,CAISO,WECC,Active,2006-05-01,Good - 1 observation corrected 2024,2024-06-25,432000000,1200,20,6,3,29,Mature,Compliant - Minor observation corrected Q2 2024,Yes,Yes
RE-016,Xcel Energy,Transmission Operator,XEL,WECC,Active,2006-09-12,Good - No violations in past 3 years,2024-07-18,14200000000,11000,9,5,2,16,Mature,Compliant - Strong controls,Yes,Yes
RE-017,Tennessee Valley Authority,Generator Owner,TVA,SERC,Active,2006-02-28,Good - No violations in past 5 years,2024-05-30,12800000000,10000,14,6,2,22,Mature,Compliant - Federal entity excellence,Yes,Yes
RE-018,Public Service Enterprise Group,Generator Operator,PSEG,RFC,Active,2007-07-15,Good - 1 minor violation resolved 2023,2024-08-12,10700000000,13000,8,4,3,15,Mature,Compliant - Corrective actions effective,Yes,Yes
RE-019,Consolidated Edison,Distribution Provider,CONED,NPCC,Active,2006-10-05,Good - No violations in past 4 years,2024-10-08,14500000000,14500,7,5,2,14,Mature,Compliant - Urban utility best practices,Yes,Yes
RE-020,Arizona Public Service,Transmission Owner,APS,WECC,Active,2007-05-22,Good - No violations in past 3 years,2024-09-25,4100000000,6200,8,4,2,14,Mature,Compliant - Good documentation,Yes,Yes
