asset_type_id,asset_type_name,asset_category,description,nerc_definition,primary_characteristics,protection_requirement,impact_classification,esl_requirement,examples,scope_application,exclusions_criteria,notes
BCA,BES Cyber Asset,Core Asset Type,"A programmable electronic device including hardware firmware and software that processes information for monitoring control or protection of BES equipment and systems. BES Cyber Assets are essential to reliable operation of the BES.",One or more programmable electronic devices including servers workstations controllers relays etc. that if rendered unavailable degraded or misused would within 15 minutes of required operation misoperation or non-operation adversely impact one or more Facilities systems or equipment which if destroyed degraded or otherwise rendered unavailable when needed would affect reliable operation of BES,"- Programmable electronic device; - Uses routable protocol (inside or outside ESP) or; - Dial-up accessible; - Essential to BES reliability within 15 minutes","BCS classification based on impact level (High Medium Low) determines full protection requirements under all applicable CIP standards","Electronic Security Perimeter protection required for High/Medium impact","SCADA RTU PLCs EMS servers control systems protective relays IEDs generation control systems","All Responsible Entities that own or operate identified BES Cyber Systems","- Devices operating solely locally on non-routable protocols; - Network printers; - HVAC control systems not in ESP; - Surveillance cameras (unless specifically controlling BES); - Physical-only devices","BCAs must be explicitly identified and documented; Drive scope of CIP compliance"
BCS,BES Cyber System,System Grouping,"One or more BES Cyber Assets logically grouped by a Responsible Entity to perform one or more reliability tasks essential to the operation of the Bulk Electric System.","Logical grouping of BES Cyber Assets based on business function or operational necessity that collectively perform BES functions. Entities have flexibility in how assets are grouped.","- Grouping of BES Cyber Assets; - Performs reliability tasks; - Logical not necessarily physical; - Flexible grouping structure","Subject to CIP-002 categorization as High Medium or Low Impact determining which standards apply","Must meet impact level requirements; 15-month recategorization cycle required","Load balancing systems; Generation control systems; Transmission control systems; Frequency regulation systems; SCADA systems at control centers; Protection systems","All Responsible Entities owning or operating BES assets","- LowImpact systems not explicitly identified; - Non-critical systems; - Devices outside scope of BES operations; - Local control systems","BCS is subject unit for requirements; High/Medium Impact BCS must be fully documented and protected"
PCA,Protected Cyber Asset,Supporting Asset,"A Cyber Asset logically grouped by a Responsible Entity with one or more BES Cyber Assets in a network to form an Electronic Security Perimeter where its failure misuse or instability could adversely impact the security or reliability of a BES Cyber System.","Any Cyber Asset within an Electronic Security Perimeter that is not a BES Cyber Asset EACMS or PACS. Includes network infrastructure and support systems networked with BCAs.","- Connected to network with BCA; - Within Electronic Security Perimeter; - Not specifically excluding device types; - Interdependent with BCS protection","Protected at level corresponding to the BCS impact level it supports; Nearly all CIP protections apply to PCAs similar to BCSs","Same protection level as associated BCS; ESP protection required","Network switches; File servers; LAN managers; Time servers; DNS servers; Print servers; Network analyzers; Management workstations","Devices physically connected to ESP with BCS","- EACMS (separate requirement category); - PACS (separate requirement category); - Devices outside ESP boundaries; - Standalone non-networked devices","PCAs are critical to BCS protection; Indiscriminate access to PCA networks can compromise BCS"
EACMS,Electronic Access Control/Monitoring System,Security Control,"Cyber Assets that perform electronic access control or electronic access monitoring of the Electronic Security Perimeter(s) or BES Cyber Systems including automatic access control mechanisms or devices that detect and alert on activity at the Electronic Security Perimeter.","Intermediate devices controllers and systems that control regulate monitor or alert on electronic access to BCS or ESP. Includes firewalls routers jump hosts authentication servers SIEM systems and similar security-focused systems.","- Controls/monitors electronic access; - May be intermediate device; - Security focused; - Typically at network boundary; - May include SCADA components","Protected at impact level of associated BCS; Full CIP compliance required","High protection standard; May require enhanced controls","Firewalls; Routers; VPN gateways; Authentication/directory servers (AD); Jump hosts/bastion hosts; Intrusion detection systems (IDS); SIEM systems; Log aggregation; Proxy servers; Firewall managers; VPN concentrators; Access control systems; Network monitors","High/Medium Impact BCS and associated systems","- PCAs not specifically controlling access; - Devices passive to access control; - Physical-only devices; - External network devices outside ESP responsibility","EACMS protection is critical to ESP integrity; Must be documented separately from BCS"
PACS,Physical Access Control System,Security Control,"Cyber Assets that control alert or log access to the Physical Security Perimeter(s) exclusive of locally mounted hardware or devices at the Physical Security Perimeter such as motion sensors electronic lock control mechanisms and badge readers located at the actual perimeter.","Electronic systems that manage monitor or alert on physical access to facilities housing BCS. Includes controllers and management systems that coordinate physical security but excludes local hardware at doors/gates.","- Controls/monitors/alerts physical access; - Centralized management system; - Not local hardware; - Manages access authorization; - Includes alert/logging capability","Protected at impact level of associated facility/BCS; CIP protection requirements apply","High protection standard; Often requires ESP protection for controllers","Access control servers; Badge management systems; Visitor management systems; Surveillance system recording/management; Door lock controllers; Biometric system controllers; Centralized badge readers; Physical access logs and alerts","High/Medium Impact facilities and BCS locations","- Local hardware (badge readers motion sensors lock controls at door); - Cameras and microphones not tied to access control; - Manual visitor logs; - External security services","PACS are distinct from physical perimeter hardware; Controllers must be protected within ESP"
BCSI,BES Cyber System Information,Information Asset,"Information pertaining to a BES Cyber System including but not limited to: system design information; system architecture diagrams; passwords; encryption keys; configuration data; security plans; incident logs; or any other sensitive information that would compromise BES Cyber System security if disclosed.","Any information related to BCS that if compromised would materially impact the security or reliability of the system. Definition is intentionally broad to capture all sensitive system information.","- Protected at all times throughout lifecycle; - Encryption required for storage (AES-128 minimum); - Encryption required in transit (TLS 1.2 minimum); - Access control strictly limited; - Secure disposal required","High protection standard; CIP-011 specific requirements; May require geographic restrictions","Encryption at rest and in transit; Access control; Secure disposal; Physical security (if paper); Audit trails","System blueprints; Network diagrams; Configuration data; Authentication credentials; Security procedures; Recovery plans; Incident response plans; Access control lists; Security patches; Vulnerability assessment results; Financial/operational impacts","All Responsible Entities handling BES information","- Public information about systems; - General grid status information; - Non-technical operational data; - Information already published publicly; - Information released by regulatory agencies","BCSI scope is very broad; When in doubt classify as BCSI"
ImpactLevel,Impact Classification,Classification,"Categorization of BES Cyber Systems into High Medium or Low impact tiers based on their potential impact to the reliable operation of the Bulk Electric System if compromised or rendered unavailable.","Risk-based categorization determining scope and stringency of CIP standards applicability. Classification is based on functional impact bright-line criteria and engineering assessment.","Classification drives which CIP standards fully apply; Determines security control stringency; Defines evidence requirements; Drives audit scope","High Impact: Full CIP compliance (CIP-003 through CIP-015); Medium Impact: Full CIP compliance (CIP-003 through CIP-015); Low Impact: Limited CIP compliance (CIP-003 only)","High Impact: Highest stringency; Medium Impact: High stringency; Low Impact: Baseline","High Impact: Control centers > 1500 MW generation control > 300 control lines >= 230 kV; > 300 MW load shedding; Medium Impact: > 15000 MW generation > significant transmission; Multiple facility impact; Low Impact: Default classification for non-qualifying systems","All Responsible Entities with identified BES Cyber Systems","- Unidentified systems (default to Low Impact); - Systems meeting lower threshold criteria; - Purely local control systems","Bright-line criteria in CIP-002-5.1a are binding for High/Medium classification"
ControlCenter,Control Center Facility,Facility Type,"A facility with responsibility for the real-time monitoring and control of generating units substations transmission lines or other BES equipment including any associated SCADA systems or EMS functions. This includes primary control centers backup control centers and potential alternate processing sites.","Staffed or remote monitoring facility with real-time visibility and control authority over BES operations. Includes Reliability Coordinator centers Balancing Authority centers Transmission Operator centers and Generation Control centers.","All control centers with BES Cyber Systems require full CIP protection High/Medium impact classification; All control center systems are presumed High Impact","High Impact (presumed): All control center systems; Most require all CIP-005 through CIP-015 compliance; Critical facilities under CIP-014","Full Electronic Security Perimeter protection; Physical security plan required; Incident response plan required; Recovery plan required; 24/7 monitoring and incident response capability","Reliability Coordinator Control Center; Balancing Authority Control Center; Transmission Operator Control Center; Generation Operator Control Center; System Operator Center; Supervisory Control Center; Electrical Control Center","Any facility with responsibility for real-time BES monitoring/control","- Simple meter reading facilities; - Historical data analysis centers; - Training simulation facilities (if isolated); - Facilities managing only local/non-BES equipment; - Backup facilities if they truly do not operate in backup capacity","Control centers are high-risk locations; Presumed High Impact in most cases; CIP-014 applies to critical ones"
Substation,Transmission Substation,Facility Type,"A substation with voltage >= 230 kV that performs transmission function for the Reliable operation of the interconnected Bulk Electric System. Substations may contain primary control centers and are subject to BES Cyber System identification and categorization.","Physical facility containing transmission equipment transformers breakers relays and control systems at specified voltage levels. Equipment and control systems within substations are evaluated for BCS classification.","Equipment and control systems at >= 230 kV substations subject to CIP-002 categorization; High/Medium impact likely based on voltage and capacity; May be Critical Facility under CIP-014","High or Medium Impact likely: >= 230 kV transmission stations; >= 765 kV stations presumed Critical Facility under CIP-014; >= 5000 MW transfer capability presumed Critical","Physical Security Perimeter required; Access control required; Surveillance required; Incident response plan; Protection system controls require hardening","EMS monitored substations; Control center managed facilities; SCADA equipped sites; Protective relay stations; Automatic control substations; Remote protection stations","Any substation with >= 230 kV transmission equipment serving BES","- Local distribution only; - <230 kV distribution equipment; - Switchyards not containing BES equipment; - Administrative facilities; - Non-operational facilities","Substation classification depends on capacity voltage and functional role"
GenerationFacility,Generation Facility,Facility Type,"A power generation facility including nuclear hydro thermal wind and other generation types that if rendered unavailable would adversely impact BES reliability. Facilities contain generation control systems fuel systems and protection systems that may be BES Cyber Systems.","Physical site where electrical generation occurs with capacity and functions determining BES Cyber System classification. Includes all associated control systems protective relays and communication systems required for operation.","Generation control systems are typically High or Medium impact BCS; CIP-002 categorization required; Full CIP compliance required for High/Medium impact generation","High or Medium Impact: Depends on generation capacity role in BES and system redundancy; >1500 MW presumed High Impact; < capacity may be Medium; Marginal facilities may be Low","Electronic Security Perimeter required for control systems; Physical security plan; Incident response plan; Recovery plan; Distributed generation may have fewer requirements","Fossil fuel power plants; Nuclear power stations; Hydroelectric facilities; Wind farms; Solar generation facilities; Distributed generation; Backup generation; Pumped storage","Any facility with generation serving BES","- Isolated microgeneration not interconnected to BES; - Facilities with no remote control capability; - Purely manual operation (rare); - Decommissioned but not in BES operation","Generation classification complexity requires engineering analysis"
DistributionAsset,Distribution Provider Asset,Facility Type,"Distribution equipment and systems operated by a Distribution Provider that have a Material Impact on the operation of the Bulk Electric System. May include distribution control systems SCADA systems and automated switching systems that affect BES operations.","Distribution level equipment (typically <= 138 kV) that if failed could impact BES stability or operation. Usually only high-capacity distribution or critical load control meets this threshold.","Most distribution assets are outside BES scope; Only Distribution systems with BES Material Impact require BCS identification and CIP compliance; Generally Low Impact or exempt","Low Impact (if applicable): Most distribution systems are exempt; Only critical systems like load control requiring BCS categorization; Presumed Low Impact if identified","Limited CIP protection: Only CIP-003 R2 required for Low Impact; Simpler governance and security requirements","Automatic load control systems; Smart grid control systems; Distribution SCADA; Critical circuit protection systems; Large industrial customer control systems; Distribution automation","Distribution Provider systems affecting BES stability or reliability","- Normal distribution equipment; - Local control systems; - Distribution substations < 100 MW; - Non-SCADA automated equipment; - Pure meter reading systems","Distribution scope is narrow; Most excluded from CIP; Material Impact determination is critical"
