paragraph_id,part_id,section_id,paragraph_number,text,footnote_refs,source_document
P001,PART_I,,1,"On August 18, 1999, the United States Court of Appeals for the Tenth Circuit issued an opinion vacating a portion of the Commission’s 1998 order addressing customer proprietary network information (CPNI). In the CPNI Order, the Commission adopted rules implementing Section 222 of the Communications Act, which governs carrier use and disclosure of CPNI. CPNI includes where, when, and to whom a customer places a call, as well as the types of service offerings to which the customer subscribes and the extent to which the service is used. In this Order, we clarify the status of our CPNI rules after the Tenth Circuit’s opinion and explain how parties may obtain customer consent for use of their CPNI. In this Second Further Notice of Proposed Rulemaking, we seek comment on what methods of customer consent would serve the governmental interests at issue and afford informed consent in accordance with the First Amendment. We also seek comment on the interplay between Section 222 and Section 272 of the Act in response to a voluntary remand granted by the United States Circuit Court of Appeals for the District of Columbia. 4",1;2,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P002,PART_II,,2,"On May 17, 1996, the Commission initiated a rulemaking, in response to various informal requests for guidance from the telecommunications industry, regarding the obligation of telecommunications carriers under Section 222 of the Act and related issues. The Commission subsequently released the CPNI Order on February 26, 1998, which addressed the scope and meaning of Section 222, and promulgated regulations to implement that section. In the CPNI Order, the Commission determined that “[w]ith Section 222, Congress expressly directs a balance of ‘both competitive and consumer privacy interests with respect to CPNI.’” It found this conclusion to be supported by the comprehensive statutory design, which expressly recognizes the duty of all telecommunications carriers to protect customer information, and embodies the principle that customers must be able to control information they view as sensitive and personal from unauthorized use, disclosure, and access by carriers. Where information is not sensitive, it found that Section 222 permits the free flow of information beyond the customer-carrier relationship, because in this situation, the customer’s interest rests more in choosing service with respect to a variety of competitors, thus necessitating competitive access to the information. 7",6,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P003,PART_II,,3,"In the CPNI Order, the Commission stated that Section 222(c)(1) of the Act allows a carrier to use, without the customer’s prior approval, the customer’s CPNI derived from the complete service that the customer subscribes to from that carrier and its affiliates, for marketing purposes within the existing service relationship. This is known as the “total service approach.” The Commission also concluded that carriers must notify the customer of the customer’s rights under Section 222 and then obtain express written, oral or electronic customer approval -- a “notice and opt-in” approach -- before a carrier may use CPNI to market services outside the customer’s existing service relationship with that carrier. U S West appealed this order to the Tenth Circuit. On August 16, 1999, the Commission adopted the CPNI Reconsideration Order in response to a number of petitions for reconsideration, forbearance, and clarification of the CPNI Order. The CPNI Reconsideration Order, among other things, further clarified the total service approach. It also retained the opt-in approach.",8;9;11;12,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P004,PART_II,,4,"After the Commission adopted the CPNI Reconsideration Order, the Tenth Circuit issued its decision in U S WEST v. FCC, vacating a portion of the CPNI Order “and the regulations adopted therein.” In U S WEST v. FCC, U S WEST contended that the opt-in approach for customer approval in the CPNI Order violated the First and Fifth Amendments of the Constitution. The court declined to review the Commission’s opt-in approach under the traditional administrative law standards of Chevron, in light of what it perceived as the “serious constitutional questions” raised by the approach, and determined that it must be reviewed under the constitutional standards applicable to regulations of commercial speech in Central Hudson Gas & Elec. Corp. v. Public Service Commission.",13;14;16,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P005,PART_II,,5,"The Central Hudson analysis tests “the validity of regulations under the constitutional standards applicable to regulation of commercial speech.” Applying these tests, the Tenth Circuit first questioned whether the government had demonstrated that the interests it put forward in regulating CPNI -- protecting customer privacy and fostering competition -- are substantial. The court agreed that the government had asserted a substantial interest in protecting customers’ privacy, but declined to find that promoting competition was a significant consideration in Congress’ enactment of Section 222 because the section contains no explicit mention of competition. The court did acknowledge, however, that Congress “may not have completely ignored competition in drafting 222” and so allowed that the Act’s objective of competition was in “concert with the government’s interest in protecting the consumer’s privacy.” 18",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P006,PART_II,,6,"The court nonetheless concluded that the government did not demonstrate that the CPNI regulations requiring opt-in customer approval “directly and materially advanc[ed] its interests in protecting privacy and promoting competition.” The court concluded that the Commission’s determination that an opt-in requirement would best protect a consumer’s privacy interests was not narrowly tailored because the Commission had failed to adequately consider an opt-out option. The court stated that an opt-out option should have been more fully investigated as it is inherently less restrictive of speech. Further, the court ruled the Commission did not adequately show that an opt-out strategy would not offer sufficient protection of consumer privacy. In vacating portions of the CPNI Order, the court did not require the Commission to find specifically that the opt-out option was the correct approach. Instead, it found fault with the Commission’s “inadequate consideration of the approval mechanism alternatives in light of the First Amendment.”",20;21,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P007,PART_III,PART_III_A,7,"The court’s opinion in U S WEST v. FCC analyzed only the constitutionality of the Commission’s interpretation of the customer approval requirement of Section 222(c)(1) of the Act by enacting the opt-in regime discussed above. As we have found previously, the court’s vacatur order related only to the discrete portions of the CPNI Order and rules requiring opt-in customer approval. Had the court intended to take the unusual step of vacating portions of the order and rules not before it, we believe it would have said so explicitly. Accordingly, we conclude that the court sought to eliminate only the specific section of our rules that was before it, and that its vacatur order applied only to Section 64.2007(c), the only provision inextricably tied to the opt-in mechanism. The remainder of the Commission’s CPNI rules remain in effect. In reaching this determination, we note that Section 64.2007 contains customer notification requirements, which are needed regardless of whether an opt-in or opt-out regime is in effect. These requirements, set forth in paragraph (f) of this rule, ensure that a carrier provides a customer with “sufficient information to enable the customer to make an informed decision as to whether to permit a carrier to use, disclose or permit access to, the customer’s CPNI.” Among other things, this rule requires the carrier to advise the customer about the customer’s right to limit access to CPNI and the precise steps the customer would need to take to limit such access. Because these notification requirements are general in nature, and necessary without regard to the particular method of customer approval ultimately adopted, we consider it appropriate that they remain in effect notwithstanding the court’s vacatur of the specific method of customer approval previously adopted.",22;23;24,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P008,PART_III,PART_III_A,8,"In the Further Notice of Proposed Rulemaking discussed below, we seek comment on the responsibilities of carriers in obtaining consent from customers for the use of CPNI and, specifically, on whether we should adopt opt-in or opt-out consent under Section 222(c)(1). Pending the resolution by the Commission of the particular method of consent, we offer in this Order guidance to parties on how to obtain consent during this interim period. Specifically, pending resolution of this docket, carriers may proceed to obtain consent consistent with the notification requirements in Section 64.2007(f), using an opt-out mechanism or, should they choose to do so, an opt-in mechanism. However, we underscore that consistent with the court’s vacatur, we no longer mandate an opt-in mechanism.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P009,PART_III,PART_III_A,9,"If carriers should choose to obtain customer approval by means of an opt- out approach, such carriers will need to provide customers with notification consistent with Section 64.2007(f). Such notification, either written or oral, advises customers that without any further authorization, the carrier may use the customer’s CPNI not only to market to the customer services to which the customer currently subscribes, along with customer premises equipment and information services, and to share the customer’s CPNI with any of its telecommunications carrier affiliates that have an existing relationship with the customer, but also to market services to which the customer does not already subscribe. An opt-out notification must also provide a reasonable and convenient means of opting out, such as a detachable reply card, toll-free telephone number or electronic mail address.",25,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P010,PART_III,PART_III_A,10,"To the extent that a carrier has already provided any customer with an opt- out request to market services to which the customer does not already subscribe, and such opt-out mechanism satisfies the requirements set forth in paragraphs 9 and 11, the carrier need not provide any additional notification to such customer. Moreover, if a carrier has already provided a customer with notification premised upon an opt-in mechanism, the carrier, should it so choose, may continue to rely upon such notice. However, in that event, the carrier and its affiliates may not market services in reliance upon the notification unless the customer has chosen to opt-in, consistent with the notification. For that reason, we expect that carriers may choose to send out new notices describing an opt-out mechanism in light of the vacatur order.",26,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P011,PART_III,PART_III_A,11,"Finally, we note that our current rules do not provide for any time period after which a customer’s implicit approval of the use or sharing of CPNI may be reasonably assumed to have been given to the carrier. We will consider that question in the FNPRM below. In the interim, however, we expect that carriers shall not use the CPNI based on “implicit approval” (through opt-out) until customers have been afforded some reasonable period to respond to the notification. Pending resolution of the FNPRM, we will use a 30-day period from customer receipt of notice as a “safe harbor,” but may permit some shorter period if supported by an adequate explanation from the carrier.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P012,PART_IV,,12,"In this Further Notice, we seek to obtain a more complete record on ways in which customers can consent to a carrier’s use of their CPNI. Taking into account the Tenth Circuit’s opinion, we seek comment on what methods of approval would serve the governmental interests at issue, and afford informed consent, while also satisfying the constitutional requirement that any restrictions on speech be narrowly tailored. Specifically, we seek comment on the interests and policies underlying Section 222 that are relevant to formulating an approval requirement, including an analysis of the privacy interests that are at issue, and on the extent to which we should take competitive concerns into account. To the extent that competition, in addition to privacy, is a legitimate government interest under Section 222, we seek comment on the likely difference in competitive harms under opt-in and opt-out approvals. We seek comment on whether it is possible for the Commission to implement a flexible opt-in approach that does not run afoul of the First Amendment, or whether opt-out approval is the only means of addressing the constitutional concerns expressed by the 10th Circuit.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P013,PART_IV,,13,"At the outset, we also ask parties to comment on the scope of the Tenth Circuit’s opinion. As we stated above, we conclude that the Tenth Circuit vacated only the specific portion of our CPNI rules relating to the opt-in mechanism. We seek comment on this interpretation, and on whether it is reasonable to interpret the opinion as vacating other CPNI rules that are not inextricably tied to opt-in. If we were to conclude that the court vacated additional requirements, which we do not believe that it did, we ask parties to comment on whether it would affect our overall findings regarding “approval of the customer” in Section 222(c)(1). Would we need to re-examine our interpretation of “approval” as it relates to the uses for which a carrier may use CPNI without customer approval, including to market customer premises equipment and information services, and to use CPNI to market to customers who have switched to another carrier?27 As the Commission concluded in the CPNI Order, we have authority to adopt rules to implement approval requirements in Section 222(c)(1) as well as for other obligations imposed on carriers by Section 222.28 Exercising this authority is consistent with what Congress envisioned to ensure a uniform national CPNI policy, and is necessary to reduce confusion and controversy for customers and carriers regarding carrier use of CPNI. We ask parties to comment on whether anything in the Tenth Circuit’s opinion affects our exercise of this authority, or otherwise changes how we should implement and enforce the privacy requirements contained in Section 222.",29,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P014,PART_IV,PART_IV_A,14,"In the CPNI Order, the Commission addressed specifically the requirement that a carrier obtain “approval of the customer” for use of CPNI outside the telecommunications service from which it was derived. It concluded that the term “approval” should be interpreted “in a manner that will best further consumer privacy interests and competition, as well as the principle of customer control” underlying Section 222.31 In light of those statutory objectives, it further concluded that carriers must obtain express written, oral, or electronic approval by a customer to use a customer’s CPNI beyond the existing service relationship. It concluded that an opt-in approach would best ensure that customers confer knowing approval of the use of their information. It further concluded that CPNI could be shared with other affiliates that have a relationship with the customer because such sharing would not implicate privacy concerns.",30;32;33,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P015,PART_IV,PART_IV_A,15,"The Commission rejected an opt-out regime, under which a carrier could use CPNI beyond the existing service relationship as long as it has made a request to a customer for permission to use CPNI in that manner and the customer had not expressly objected to such use. It reasoned that an opt-out regime would not ensure informed consent because customers might not read carriers’ disclosures and might not comprehend the extent of their rights under the Act or the steps they must take to protect those rights. Moreover, with respect to promoting competition, the Commission found that an opt-in requirement limits the advantage that incumbent carriers have over new competitive entrants.",34,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P016,PART_IV,PART_IV_A,16,"Because the Tenth Circuit found that the opt-in requirements were not narrowly tailored to promote the government’s asserted interests in protecting privacy and promoting competition, we initiate this proceeding to obtain a more complete record on consent mechanisms, and we urge commenters to focus upon the concerns articulated by the court. In addition, we ask parties to comment on whether there are any other laws or regulatory schemes governing matters similar to CPNI that the Commission might use as an analog. For example, both the financial services and healthcare industries have regulatory models in place for guarding consumers’ privacy. Is the information that these models are designed to protect different or more sensitive than CPNI such that it deserves heightened protection, or are there similarities that we should take into account in developing a consent scheme that is responsive to the court’s opinion? Parties should also comment on whether there are any other consent requirements that apply in a non- telecommunications context that we should consider?",35;36,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P017,PART_IV,PART_IV_A,17,"We seek comment on the interests and policies underlying Section 222 that are relevant to formulating an approval requirement to implement Section 222(c)(1). In the CPNI Order, the Commission articulated two governmental interests: protection of customer privacy and promotion of competition. The court indicated that “[w]hile, in the abstract, these may constitute legitimate and substantial interests, we have concerns about the proffered justifications in the context of this case.” We ask the parties to comment upon the extent to which these interests bear upon our interpretation of the approval requirement at issue. Commenters should also discuss, with as much specificity as possible, how a carrier’s use of CPNI could erode privacy. The Tenth Circuit recognized that “disclosure of CPNI information could prove embarrassing to some,” but beyond that was uncertain about the government’s privacy interest. We seek comment on that aspect of the court’s analysis and ask what other privacy concerns may be implicated by access to CPNI. For example, the court noted that privacy interests may include protection against unwanted solicitations, but questioned whether such concerns were embraced by Section 222. We seek comment on this question. The court also said that it “would prefer to see a more empirical explanation and justification for the government’s asserted interest [in privacy].” We seek comments responsive to the court’s concern.",37;38;39;40,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P018,PART_IV,PART_IV_A,18,"The court was not persuaded that competition was a legitimate or substantial state interest underlying Section 222. 41 We seek comments that address those reservations, and on the extent to which competitive concerns should be taken into account in our interpretation of the approval requirements under Section 222(c)(1). We further seek comment about the potential competitive ramifications of construing Section 222 without regard to competitive issues, and how such a construction might affect the competitive goals of the 1996 Act. We seek comment on the likely difference in competitive effects under opt-in and opt-out approvals. We request empirical or other evidence to illustrate the competitive advantages, if any, that opt-out approval affords a carrier. We ask whether, and to what extent, any such competitive advantages may undermine the goals of Section 222 or, more generally, the goals of the 1996 Act. The court indicated that the competitive concerns we previously articulated were speculative. We seek comments responsive to the court’s opinion and ask how these competitive questions should shape our interpretation and enforcement of the Section 222(c)(1) approval requirement.",42;43,KB 2/USA/Customer Proprietary Network Information Rules.pdf
P019,PART_IV,PART_IV_A,19,"We seek comment on any potential harms that may arise from adopting either an opt-out or opt-in approach. The court, for example, stated that the “government presents no evidence regarding how and to whom carriers would disclose CPNI.” As a result, the court had difficulty evaluating the potential for harms from CPNI dissemination. We inquire to whom a carrier might make CPNI available, and seek comments about the extent to which such dissemination would affect customer privacy interests.",44;45,KB 2/USA/Customer Proprietary Network Information Rules.pdf
