control_id,name,description
1,Inventory and Control of Enterprise Assets,"Actively manage (inventory, track, and correct) all enterprise assets connected to the infrastructure physically, virtually, remotely, and within cloud environments."
2,Inventory and Control of Software Assets,"Actively manage (inventory, track, and correct) all software on the network so that only authorized software is installed and can execute."
3,Data Protection,"Develop processes and technical controls to identify, classify, securely handle, retain, and dispose of data."
4,Secure Configuration of Enterprise Assets and Software,"Establish and maintain the secure configuration of enterprise assets and software."
5,Account Management,"Use processes and tools to assign and manage authorization to credentials for user accounts, including administrator and service accounts."
6,Access Control Management,"Use processes and tools to create, assign, manage, and revoke access credentials and privileges for user, administrator, and service accounts."
7,Continuous Vulnerability Management,"Develop a plan to continuously assess and track vulnerabilities on all enterprise assets within the enterprise's infrastructure."
8,Audit Log Management,"Collect, alert, review, and retain audit logs of events that could help detect, understand, or recover from an attack."
9,Email and Web Browser Protections,"Improve protections and detections of threats from email and web vectors, as these are opportunities for attackers to manipulate human behavior."
10,Malware Defenses,"Prevent or control the installation, spread, and execution of malicious applications, code, or scripts on enterprise assets."
11,Data Recovery,"Establish and maintain data recovery practices sufficient to restore in-scope enterprise assets to a pre-incident and trusted state."
12,Network Infrastructure Management,"Establish, implement, and actively manage network devices to prevent attackers from exploiting vulnerable network services."
13,Network Monitoring and Defense,"Operate processes and tooling to establish and maintain comprehensive network monitoring and defense against security threats."
14,Security Awareness and Skills Training,"Establish and maintain a security awareness program to influence behavior among the workforce to be security conscious and properly skilled."
15,Service Provider Management,"Develop a process to evaluate service providers who hold sensitive data or are responsible for critical IT platforms or processes."
16,Application Software Security,"Manage the security life cycle of in-house developed, hosted, or acquired software to prevent, detect, and remediate security weaknesses."
17,Incident Response Management,"Establish a program to develop and maintain an incident response capability to prepare, detect, and quickly respond to an attack."
18,Penetration Testing,"Test the effectiveness and resiliency of enterprise assets through identifying and exploiting weaknesses in controls."
