id,title,safeguard_type,standard_type,text,req_type,parent_id,section,source_doc,source_section,created_date
HIPAA-164.308(a)(1),Security Management Process,Administrative,Standard,"Implement policies and procedures to prevent, detect, contain, and correct security violations",R,,164.308(a)(1),NIST SP 800-66r2,164.308(a)(1),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(1)(ii)(A),Risk Analysis,Administrative,Implementation Specification,"Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of ePHI",R,HIPAA-164.308(a)(1),164.308(a)(1)(ii)(A),NIST SP 800-66r2,164.308(a)(1)(ii)(A),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(1)(ii)(B),Risk Management,Administrative,Implementation Specification,Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level,R,HIPAA-164.308(a)(1),164.308(a)(1)(ii)(B),NIST SP 800-66r2,164.308(a)(1)(ii)(B),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(1)(ii)(C),Sanction Policy,Administrative,Implementation Specification,Apply appropriate sanctions against workforce members who fail to comply with security policies and procedures,R,HIPAA-164.308(a)(1),164.308(a)(1)(ii)(C),NIST SP 800-66r2,164.308(a)(1)(ii)(C),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(1)(ii)(D),Information System Activity Review,Administrative,Implementation Specification,"Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports",R,HIPAA-164.308(a)(1),164.308(a)(1)(ii)(D),NIST SP 800-66r2,164.308(a)(1)(ii)(D),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(2),Assigned Security Responsibility,Administrative,Standard,Identify the security official who is responsible for the development and implementation of security policies and procedures,R,,164.308(a)(2),NIST SP 800-66r2,164.308(a)(2),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(3),Workforce Security,Administrative,Standard,Implement policies and procedures to ensure that all workforce members have appropriate access to ePHI,R,,164.308(a)(3),NIST SP 800-66r2,164.308(a)(3),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(3)(ii)(A),Authorization and/or Supervision,Administrative,Implementation Specification,Implement procedures for authorization and/or supervision of workforce members who work with ePHI,A,HIPAA-164.308(a)(3),164.308(a)(3)(ii)(A),NIST SP 800-66r2,164.308(a)(3)(ii)(A),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(3)(ii)(B),Workforce Clearance Procedure,Administrative,Implementation Specification,Implement procedures to determine that workforce member access to ePHI is appropriate,A,HIPAA-164.308(a)(3),164.308(a)(3)(ii)(B),NIST SP 800-66r2,164.308(a)(3)(ii)(B),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(3)(ii)(C),Termination Procedures,Administrative,Implementation Specification,Implement procedures for terminating access to ePHI when employment or other arrangements end,A,HIPAA-164.308(a)(3),164.308(a)(3)(ii)(C),NIST SP 800-66r2,164.308(a)(3)(ii)(C),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(4),Information Access Management,Administrative,Standard,Implement policies and procedures for authorizing access to ePHI that are consistent with applicable requirements,R,,164.308(a)(4),NIST SP 800-66r2,164.308(a)(4),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(4)(ii)(A),Isolating Health Care Clearinghouse Function,Administrative,Implementation Specification,"If a health care clearinghouse is part of a larger organization, implement policies to protect ePHI from unauthorized access by the larger organization",R,HIPAA-164.308(a)(4),164.308(a)(4)(ii)(A),NIST SP 800-66r2,164.308(a)(4)(ii)(A),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(4)(ii)(B),Access Authorization,Administrative,Implementation Specification,Implement policies and procedures for granting access to ePHI,A,HIPAA-164.308(a)(4),164.308(a)(4)(ii)(B),NIST SP 800-66r2,164.308(a)(4)(ii)(B),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(4)(ii)(C),Access Establishment and Modification,Administrative,Implementation Specification,"Implement policies and procedures that establish, document, review, and modify a user's right of access to ePHI",A,HIPAA-164.308(a)(4),164.308(a)(4)(ii)(C),NIST SP 800-66r2,164.308(a)(4)(ii)(C),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(5),Security Awareness and Training,Administrative,Standard,Implement a security awareness and training program for all members of the workforce,R,,164.308(a)(5),NIST SP 800-66r2,164.308(a)(5),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(5)(ii)(A),Security Reminders,Administrative,Implementation Specification,Provide periodic security updates and reminders,A,HIPAA-164.308(a)(5),164.308(a)(5)(ii)(A),NIST SP 800-66r2,164.308(a)(5)(ii)(A),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(5)(ii)(B),Protection from Malicious Software,Administrative,Implementation Specification,"Implement procedures for guarding against, detecting, and reporting malicious software",A,HIPAA-164.308(a)(5),164.308(a)(5)(ii)(B),NIST SP 800-66r2,164.308(a)(5)(ii)(B),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(5)(ii)(C),Log-in Monitoring,Administrative,Implementation Specification,Implement procedures for monitoring log-in attempts and reporting discrepancies,A,HIPAA-164.308(a)(5),164.308(a)(5)(ii)(C),NIST SP 800-66r2,164.308(a)(5)(ii)(C),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(5)(ii)(D),Password Management,Administrative,Implementation Specification,"Implement procedures for creating, changing, and safeguarding passwords",A,HIPAA-164.308(a)(5),164.308(a)(5)(ii)(D),NIST SP 800-66r2,164.308(a)(5)(ii)(D),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(6),Security Incident Procedures,Administrative,Standard,Implement policies and procedures to address security incidents,R,,164.308(a)(6),NIST SP 800-66r2,164.308(a)(6),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(6)(ii),Response and Reporting,Administrative,Implementation Specification,Identify and respond to suspected or known security incidents; mitigate harmful effects; document incidents and outcomes,R,HIPAA-164.308(a)(6),164.308(a)(6)(ii),NIST SP 800-66r2,164.308(a)(6)(ii),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(7),Contingency Plan,Administrative,Standard,Establish and implement policies and procedures for responding to an emergency or other occurrence that damages systems containing ePHI,R,,164.308(a)(7),NIST SP 800-66r2,164.308(a)(7),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(7)(ii)(A),Data Backup Plan,Administrative,Implementation Specification,Establish and implement procedures to create and maintain retrievable exact copies of ePHI,R,HIPAA-164.308(a)(7),164.308(a)(7)(ii)(A),NIST SP 800-66r2,164.308(a)(7)(ii)(A),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(7)(ii)(B),Disaster Recovery Plan,Administrative,Implementation Specification,Establish and implement procedures to restore loss of data,R,HIPAA-164.308(a)(7),164.308(a)(7)(ii)(B),NIST SP 800-66r2,164.308(a)(7)(ii)(B),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(7)(ii)(C),Emergency Mode Operation Plan,Administrative,Implementation Specification,Establish and implement procedures to enable continuation of critical business processes while operating in emergency mode,R,HIPAA-164.308(a)(7),164.308(a)(7)(ii)(C),NIST SP 800-66r2,164.308(a)(7)(ii)(C),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(7)(ii)(D),Testing and Revision Procedures,Administrative,Implementation Specification,Implement procedures for periodic testing and revision of contingency plans,A,HIPAA-164.308(a)(7),164.308(a)(7)(ii)(D),NIST SP 800-66r2,164.308(a)(7)(ii)(D),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(7)(ii)(E),Applications and Data Criticality Analysis,Administrative,Implementation Specification,Assess the relative criticality of specific applications and data in support of other contingency plan components,A,HIPAA-164.308(a)(7),164.308(a)(7)(ii)(E),NIST SP 800-66r2,164.308(a)(7)(ii)(E),2025-10-26T04:02:45.703863
HIPAA-164.308(a)(8),Evaluation,Administrative,Standard,Perform a periodic technical and nontechnical evaluation based on standards implemented to assess security,R,,164.308(a)(8),NIST SP 800-66r2,164.308(a)(8),2025-10-26T04:02:45.703863
HIPAA-164.308(b)(1),Business Associate Contracts and Other Arrangements,Administrative,Standard,Ensure business associates provide satisfactory assurances that they will appropriately safeguard ePHI,R,,164.308(b)(1),NIST SP 800-66r2,164.308(b)(1),2025-10-26T04:02:45.703863
HIPAA-164.308(b)(4),Written Contract or Other Arrangement,Administrative,Implementation Specification,Document satisfactory assurances through written contracts that meet applicable requirements,R,HIPAA-164.308(b)(1),164.308(b)(4),NIST SP 800-66r2,164.308(b)(4),2025-10-26T04:02:45.703863
HIPAA-164.310(a)(1),Facility Access Controls,Physical,Standard,Implement policies and procedures to limit physical access to electronic information systems and facilities while ensuring authorized access,R,,164.310(a)(1),NIST SP 800-66r2,164.310(a)(1),2025-10-26T04:02:45.703863
HIPAA-164.310(a)(2)(i),Contingency Operations,Physical,Implementation Specification,Establish procedures to allow facility access in support of data restoration under disaster recovery and emergency operations,A,HIPAA-164.310(a)(1),164.310(a)(2)(i),NIST SP 800-66r2,164.310(a)(2)(i),2025-10-26T04:02:45.703863
HIPAA-164.310(a)(2)(ii),Facility Security Plan,Physical,Implementation Specification,"Implement policies and procedures to safeguard the facility and equipment from unauthorized physical access, tampering, and theft",A,HIPAA-164.310(a)(1),164.310(a)(2)(ii),NIST SP 800-66r2,164.310(a)(2)(ii),2025-10-26T04:02:45.703863
HIPAA-164.310(a)(2)(iii),Access Control and Validation Procedures,Physical,Implementation Specification,Implement procedures to control and validate a person's access to facilities based on role or function,A,HIPAA-164.310(a)(1),164.310(a)(2)(iii),NIST SP 800-66r2,164.310(a)(2)(iii),2025-10-26T04:02:45.703863
HIPAA-164.310(a)(2)(iv),Maintenance Records,Physical,Implementation Specification,Implement policies and procedures to document repairs and modifications to physical components of a facility related to security,A,HIPAA-164.310(a)(1),164.310(a)(2)(iv),NIST SP 800-66r2,164.310(a)(2)(iv),2025-10-26T04:02:45.703863
HIPAA-164.310(b),Workstation Use,Physical,Standard,Implement policies and procedures that specify proper functions to be performed and the manner in which those functions are to be performed on workstations accessing ePHI,R,,164.310(b),NIST SP 800-66r2,164.310(b),2025-10-26T04:02:45.703863
HIPAA-164.310(c),Workstation Security,Physical,Standard,Implement physical safeguards for all workstations that access ePHI to restrict access to authorized users,R,,164.310(c),NIST SP 800-66r2,164.310(c),2025-10-26T04:02:45.703863
HIPAA-164.310(d)(1),Device and Media Controls,Physical,Standard,Implement policies and procedures that govern receipt and removal of hardware and electronic media containing ePHI,R,,164.310(d)(1),NIST SP 800-66r2,164.310(d)(1),2025-10-26T04:02:45.703863
HIPAA-164.310(d)(2)(i),Disposal,Physical,Implementation Specification,Implement policies and procedures to address final disposition of ePHI and hardware or electronic media on which it is stored,R,HIPAA-164.310(d)(1),164.310(d)(2)(i),NIST SP 800-66r2,164.310(d)(2)(i),2025-10-26T04:02:45.703863
HIPAA-164.310(d)(2)(ii),Media Re-use,Physical,Implementation Specification,Implement procedures for removal of ePHI from electronic media before media are made available for re-use,R,HIPAA-164.310(d)(1),164.310(d)(2)(ii),NIST SP 800-66r2,164.310(d)(2)(ii),2025-10-26T04:02:45.703863
HIPAA-164.310(d)(2)(iii),Accountability,Physical,Implementation Specification,Maintain a record of movements of hardware and electronic media and any person responsible for movements,A,HIPAA-164.310(d)(1),164.310(d)(2)(iii),NIST SP 800-66r2,164.310(d)(2)(iii),2025-10-26T04:02:45.703863
HIPAA-164.310(d)(2)(iv),Data Backup and Storage,Physical,Implementation Specification,Create a retrievable exact copy of ePHI before movement of equipment,A,HIPAA-164.310(d)(1),164.310(d)(2)(iv),NIST SP 800-66r2,164.310(d)(2)(iv),2025-10-26T04:02:45.703863
HIPAA-164.312(a)(1),Access Control,Technical,Standard,Implement technical policies and procedures for systems that maintain ePHI to allow access only to authorized persons or software programs,R,,164.312(a)(1),NIST SP 800-66r2,164.312(a)(1),2025-10-26T04:02:45.703863
HIPAA-164.312(a)(2)(i),Unique User Identification,Technical,Implementation Specification,Assign a unique name and/or number for identifying and tracking user identity,R,HIPAA-164.312(a)(1),164.312(a)(2)(i),NIST SP 800-66r2,164.312(a)(2)(i),2025-10-26T04:02:45.703863
HIPAA-164.312(a)(2)(ii),Emergency Access Procedure,Technical,Implementation Specification,Establish and implement procedures for obtaining necessary ePHI during an emergency,R,HIPAA-164.312(a)(1),164.312(a)(2)(ii),NIST SP 800-66r2,164.312(a)(2)(ii),2025-10-26T04:02:45.703863
HIPAA-164.312(a)(2)(iii),Automatic Logoff,Technical,Implementation Specification,Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity,A,HIPAA-164.312(a)(1),164.312(a)(2)(iii),NIST SP 800-66r2,164.312(a)(2)(iii),2025-10-26T04:02:45.703863
HIPAA-164.312(a)(2)(iv),Encryption and Decryption,Technical,Implementation Specification,Implement a mechanism to encrypt and decrypt ePHI,A,HIPAA-164.312(a)(1),164.312(a)(2)(iv),NIST SP 800-66r2,164.312(a)(2)(iv),2025-10-26T04:02:45.703863
HIPAA-164.312(b),Audit Controls,Technical,Standard,"Implement hardware, software, and procedural mechanisms that record and examine activity in information systems containing ePHI",R,,164.312(b),NIST SP 800-66r2,164.312(b),2025-10-26T04:02:45.703863
HIPAA-164.312(c)(1),Integrity,Technical,Standard,Implement policies and procedures to protect ePHI from improper alteration or destruction,R,,164.312(c)(1),NIST SP 800-66r2,164.312(c)(1),2025-10-26T04:02:45.703863
