relationship_id,entity_id,description,created_date,framework_version,old_entity_id,status
REL-ISR-CE-001,CE-001-v2,HIPAA 1996 regulates hospital covered entities,2026-04-02,HIPAA_2026_v2,CE-001,Active
REL-ISR-CE-002,CE-002-v2,HIPAA 1996 regulates physician practice covered entities,2026-04-02,HIPAA_2026_v2,CE-002,Active
REL-ISR-CE-003,CE-003-v2,HIPAA 1996 regulates dental practice covered entities,2026-04-02,HIPAA_2026_v2,CE-003,Active
REL-ISR-CE-004,CE-004-v2,HIPAA 1996 regulates health insurance company covered entities,2026-04-02,HIPAA_2026_v2,CE-004,Active
REL-ISR-CE-005,CE-005-v2,HIPAA 1996 regulates HMO health plan covered entities,2026-04-02,HIPAA_2026_v2,CE-005,Active
REL-ISR-CE-006,CE-006-v2,HIPAA 1996 regulates medical billing clearinghouse covered entities,2026-04-02,HIPAA_2026_v2,CE-006,Active
REL-ISR-CE-007,CE-007-v2,HIPAA 1996 regulates claims processor clearinghouse covered entities,2026-04-02,HIPAA_2026_v2,CE-007,Active
REL-ISR-CE-008,CE-008-v2,HIPAA 1996 regulates nursing home covered entities,2026-04-02,HIPAA_2026_v2,CE-008,Active
REL-ISR-CE-009,CE-009-v2,HIPAA 1996 regulates home health agency covered entities,2026-04-02,HIPAA_2026_v2,CE-009,Active
REL-ISR-CE-010,CE-010-v2,HIPAA 1996 regulates pharmacy benefit manager covered entities,2026-04-02,HIPAA_2026_v2,CE-010,Active
