content_id,required_elements,description,cfr_citation,framework_version,old_content_id,status
NC-001-v2,"Date of breach, date of discovery, description of breach, types of PHI involved",Notification must describe what happened when it was discovered and what information was involved,45 CFR 164.404(b),HIPAA_2026_v2,NC-001,Active
NC-002-v2,"Steps individuals should take to protect themselves, recommended protective measures",Notification should inform individuals about recommended steps to mitigate potential harm,45 CFR 164.404(b),HIPAA_2026_v2,NC-002,Active
NC-003-v2,"Credit monitoring and identity theft prevention services offered, whether offered at no cost, duration of services",Notification must describe any offered mitigation measures and credit monitoring services,45 CFR 164.404(b),HIPAA_2026_v2,NC-003,Active
NC-004-v2,"What covered entity is doing to investigate, mitigate harm, prevent future breaches",Notification should describe entity's response and steps being taken,45 CFR 164.404(b),HIPAA_2026_v2,NC-004,Active
NC-005-v2,"Contact information for covered entity, phone number, email address, website",Notification must provide entity contact information for questions and requests for more information,45 CFR 164.404(b),HIPAA_2026_v2,NC-005,Active
NC-006-v2,"Information about HIPAA rights, how to file complaint with OCR, contact information for OCR",Notification should include information about privacy rights and complaint procedures,45 CFR 164.404(b),HIPAA_2026_v2,NC-006,Active
NC-007-v2,"Toll-free hotline number, website for more information, mailing address for questions",Notification should include multiple contact methods for individual inquiries,45 CFR 164.404(b),HIPAA_2026_v2,NC-007,Active
NC-008-v2,"Description of individuals' rights under HIPAA, how to exercise right to access, amend or receive accounting",Notification should educate individuals about their HIPAA privacy rights,45 CFR 164.404(b),HIPAA_2026_v2,NC-008,Active
NC-009-v2,Information about credit freeze and fraud alert options available to individuals,Notification should advise individuals of available protective measures,45 CFR 164.404(b),HIPAA_2026_v2,NC-009,Active
NC-010-v2,"Date of notification letter, certification of compliance with all notification requirements",Notification should include administrative details confirming regulatory compliance,45 CFR 164.404(b),HIPAA_2026_v2,NC-010,Active
