relationship_id,entity_id,agreement_id,description,created_date
REL-CE-BAA-001,CE-001,BAA-001,Hospital has permitted uses and disclosures agreement,2026-01-10
REL-CE-BAA-002,CE-002,BAA-002,Physician practice has safeguards requirement agreement,2026-01-10
REL-CE-BAA-003,CE-003,BAA-003,Dental practice has breach notification agreement,2026-01-10
REL-CE-BAA-004,CE-004,BAA-004,Health insurance has subcontractor requirements agreement,2026-01-10
REL-CE-BAA-005,CE-005,BAA-005,HMO has access and amendment rights agreement,2026-01-10
REL-CE-BAA-006,CE-006,BAA-006,Medical billing has accounting of disclosures agreement,2026-01-10
REL-CE-BAA-007,CE-007,BAA-007,Claims processor has data return or destruction agreement,2026-01-10
REL-CE-BAA-008,CE-008,BAA-008,Nursing home has audit and inspection rights agreement,2026-01-10
REL-CE-BAA-009,CE-009,BAA-009,Home health has termination and cure provisions agreement,2026-01-10
REL-CE-BAA-010,CE-010,BAA-010,Pharmacy benefit manager has whistleblower provisions agreement,2026-01-10
REL-CE-BAA-011,CE-001,BAA-002,Hospital has comprehensive safeguards agreement,2026-01-10
REL-CE-BAA-012,CE-002,BAA-003,Physician practice has breach reporting agreement,2026-01-10
