entity_id,entity_type,name,description,obligations,cfr_citation,covered_if_criteria
CE-001,Healthcare Provider,Hospital,Healthcare facility providing inpatient outpatient emergency and surgical services,"Comply with all HIPAA Privacy Security Breach Notification and Enforcement Rules, implement safeguards protect PHI rights management","45 CFR 160, 164",Transmits health information in electronic form
CE-002,Healthcare Provider,Physician Practice,Medical office providing diagnostic treatment and consultation services,"Maintain PHI privacy implement security measures conduct risk assessments, train workforce","45 CFR 164.308, 164.312",Maintains PHI and transmits electronically
CE-003,Healthcare Provider,Dental Practice,Dentistry office providing preventive restorative and surgical dental services,"Implement HIPAA privacy security and breach notification requirements, document policies","45 CFR 164.400, 164.404",Maintains patient records electronically
CE-004,Health Plan,Health Insurance Company,Organization providing health insurance coverage and claims processing,"Manage PHI securely notify of breaches, maintain records respond to individual requests","45 CFR 164.300, 164.400",Collects health information for coverage
CE-005,Health Plan,HMO,Health Maintenance Organization providing managed care coverage,"Implement administrative technical physical safeguards, maintain breach log","45 CFR 164.308, 164.310, 164.312",Electronically transmits health claims
CE-006,Healthcare Clearinghouse,Medical Billing Service,Organization that converts health information to standard format for transmission,"Translate health information standards, maintain data integrity, document process","45 CFR 164.302",Converts health information to standard format
CE-007,Healthcare Clearinghouse,Claims Processor,Entity processing insurance claims and coordinating benefits,"Handle PHI securely, notify individuals of breaches, respond to HIPAA requests","45 CFR 164.404, 164.524",Processes electronic health transactions
CE-008,Healthcare Provider,Nursing Home,Long-term care facility providing residential healthcare services,"Implement all safeguards, train staff, document security measures","45 CFR 164.308 through 164.316",Collects and transmits health information
CE-009,Healthcare Provider,Home Health Agency,Agency providing healthcare services in patient homes,"Safeguard portable PHI, implement field worker training, secure home visits","45 CFR 164.312, 164.308",Transmits health information electronically
CE-010,Health Plan,Pharmacy Benefit Manager,Organization managing prescription drug benefits and claims,"Maintain pharmacy PHI securely, implement safeguards, coordinate with insurers","45 CFR 164.300, 164.312",Handles electronic prescription and claims data
