context_id,node_type,description,example,impact
CTX-00,OperationalContextRoot,Root node for organizational environment and scope,N/A,N/A
ORG01,HealthcareOrganization,HIPAA-covered org or BA context,"Hospital; Cloud Vendor",High
ORG07,OrganizationalSize,Size and complexity determining Security Rule flexibility,"Small Practice; Enterprise",Medium
ORG08,GeographicScope,Physical and digital boundaries of operation,"Multi-state; Regional telehealth",Medium
ORG09,RegulatoryEnvironment,"Overlapping legal frameworks (incl. state privacy & reproductive laws)","CCPA; State laws; 42 CFR Part 2",High
ORG02,TechnologyEnvironment,IT systems and infrastructure handling ePHI,"EHR; Cloud; Mobile apps",High
ORG03,HealthcareProcess,Operational workflows generating or using PHI,"Patient Intake; Billing",High
ORG04,PatientPopulation,Demographics and types of patients served,"General; Minors; Behavioral Health",Medium
ORG05,RiskProfile,Overall exposure level based on assessments,"High-risk; Low-risk",High
ORG06,ComplianceMaturity,Effectiveness of the compliance program (NIST scaling),"Foundational; Optimized",Medium
ORG10,BusinessAssociateAgreement,Legally binding contract between CE and BA transferring liability,Governance/Legal,High
ORG11,HybridEntity,"Single legal entity conducting both covered and non-covered functions that designates its health care components in writing so most Privacy Rule requirements apply only to those components (45 CFR 164.105)","Hybrid entity",Medium
ORG12,AffiliatedCoveredEntity,"Legally separate covered entities under common ownership or control that designate themselves in writing as a single covered entity for Privacy Rule compliance","Health system affiliates",Medium
ORG13,OrganizedHealthCareArrangement,"Clinically or operationally integrated arrangement (OHCA) in which participating covered entities share PHI to manage their common enterprise and may use a joint notice","Hospital and its medical staff",Medium
