agreement_id,required_provisions,description,cfr_citation,permitted_uses,prohibited_uses
BAA-001,Permitted Uses and Disclosures,Business associate may only use or disclose PHI for purposes specified in contract or as required by law,45 CFR 164.504(e)(1)(i),"Services specified in contract, legal compliance","Uses beyond contract scope, selling PHI, marketing"
BAA-002,Safeguards Requirement,Business associate must implement administrative technical and physical safeguards to protect PHI,45 CFR 164.504(e)(1)(ii),"Implementing HIPAA Security Rule requirements, workforce training, security policies","Negligent security implementation, unencrypted transmission"
BAA-003,Breach Notification Obligation,Business associate must notify covered entity immediately upon discovery of breach of PHI,45 CFR 164.504(e)(1)(ii)(C),"Timely notification of breach, forensic analysis, remediation efforts","Delayed notification, hiding breaches, inadequate investigation"
BAA-004,Subcontractor Requirements,Business associate is responsible for subcontractors and must ensure they meet same HIPAA obligations,45 CFR 164.504(e)(1)(ii)(A),"Extending BAA terms to subcontractors, oversight, training","Using unvetted subcontractors, inadequate oversight"
BAA-005,Access and Amendment Rights,Business associate must provide covered entity with ability to access and amend PHI in systems,45 CFR 164.504(e)(1)(iii),"Facilitating individual access requests, supporting amendments, providing copies","Denying access, altering records, withholding information"
BAA-006,Accounting of Disclosures,Business associate must maintain and make available accounting of disclosures of PHI,45 CFR 164.504(e)(1)(iv),"Tracking disclosures, maintaining logs, supporting covered entity compliance","Failing to track disclosures, inadequate documentation"
BAA-007,Data Return or Destruction,Business associate must return or destroy PHI upon termination of contract,45 CFR 164.504(e)(1)(v),"Secure return of original data, certified destruction, retention only if required by law","Retaining PHI after contract termination, improper disposal"
BAA-008,Audit and Inspection Rights,Covered entity has right to audit and inspect business associate's safeguards and systems,45 CFR 164.504(e)(1)(vi),"Permitting covered entity audits, providing evidence of compliance, cooperating fully","Refusing audits, hiding inadequate systems, obstructing inspections"
BAA-009,Termination and Cure Provisions,Contract must include mechanisms for termination and cure of breaches,45 CFR 164.504(e)(1)(vii),"Allowing remediation period, providing cure opportunity, terminating for uncured violations","Immediate termination without cure opportunity, excessive remediation timelines"
BAA-010,Whistleblower Provisions,Business associate must not retaliate against employees reporting HIPAA violations,45 CFR 164.504(e)(1)(ii)(D),"Protecting reporting employees, investigating complaints, taking corrective action","Retaliating against whistleblowers, suppressing reports, punishing reporters"
