hipaa_id,hipaa_title,hipaa_standard_id,cfr_citation,nist_function,nist_category,nist_subcategory_id,nist_subcategory_name,mapping_type,confidence,alignment_level,mapping_rationale,source_doc,source_section,source_page,relationship_id,created_date,created_by
HIPAA-164.308(a)(1)(i),Security Management Process,RS-SM-001,45 CFR 164.308(a)(1)(i),Govern,Risk Management Program,GV.RM-03,Risk management is integrated into processes,direct,High,High,Both require security management process and risk management integration into organizational processes,NIST SP 800-66r2,5.1.1,29,REL-HIPAA-RS-SM-001-NIST-GV.RM-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(1)(ii)(A),Risk Analysis,RS-RA-001,45 CFR 164.308(a)(1)(ii)(A),Identify,Risk Assessment,ID.RA-01,Vulnerabilities and threats are identified,direct,High,High,Both require identification and assessment of vulnerabilities and risks to information assets,NIST SP 800-66r2,Appendix D,105,REL-HIPAA-RS-RA-001-NIST-ID.RA-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(1)(ii)(A),Risk Analysis,RS-RA-001,45 CFR 164.308(a)(1)(ii)(A),Identify,Risk Assessment,ID.RA-04,Potential impacts to organizational mission are identified,direct,High,High,Risk analysis requires assessment of potential impacts and likelihoods of threats,NIST SP 800-66r2,Appendix D,105,REL-HIPAA-RS-RA-001-NIST-ID.RA-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(1)(ii)(A),Risk Analysis,RS-RA-001,45 CFR 164.308(a)(1)(ii)(A),Identify,Risk Assessment,ID.RA-05,Risk assessment is performed to understand potential impacts,direct,High,High,Risk analysis outcomes inform risk response prioritization,NIST SP 800-66r2,Appendix D,105,REL-HIPAA-RS-RA-001-NIST-ID.RA-05,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(1)(ii)(B),Risk Management,RS-RM-001,45 CFR 164.308(a)(1)(ii)(B),Govern,Risk Management Program,GV.RM-03,Risk management is integrated into processes,direct,High,High,Risk management requires integration into enterprise risk management processes,NIST SP 800-66r2,Appendix D,105,REL-HIPAA-RS-RM-001-NIST-GV.RM-03,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(1)(ii)(B),Risk Management,RS-RM-001,45 CFR 164.308(a)(1)(ii)(B),Identify,Risk Assessment,ID.RA-06,Risk response options are selected,direct,High,High,Both require selection prioritization and tracking of risk responses,NIST SP 800-66r2,Appendix D,105,REL-HIPAA-RS-RM-001-NIST-ID.RA-06,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(1)(ii)(B),Risk Management,RS-RM-001,45 CFR 164.308(a)(1)(ii)(B),Govern,Risk Management Program,GV.RM-04,Risk is monitored and managed,partial,High,High,Risk management strategy includes establishing risk response options,NIST SP 800-66r2,5.1.1,30,REL-HIPAA-RS-RM-001-NIST-GV.RM-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(1)(ii)(C),Sanction Policy,RS-SP-001,45 CFR 164.308(a)(1)(ii)(C),Govern,Roles Responsibilities Authorities,GV.RR-04,HR practices include cybersecurity requirements,direct,High,High,Both require cybersecurity to be included in human resources practices including sanctions,NIST SP 800-66r2,5.1.1,32,REL-HIPAA-RS-SP-001-NIST-GV.RR-04,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(1)(ii)(C),Sanction Policy,RS-SP-001,45 CFR 164.308(a)(1)(ii)(C),Govern,Policy Organization,GV.PO-01,Policies are established and enforced,partial,Medium,Medium,Sanction policy is part of organizational cybersecurity policy enforcement,NIST SP 800-66r2,5.1.1,32,REL-HIPAA-RS-SP-001-NIST-GV.PO-01,2026-01-10,HIPAA_Framework_Mapper
HIPAA-164.308(a)(1)(ii)(D),Information System Activity Review,RS-IAR-001,45 CFR 164.308(a)(1)(ii)(D),Detect,Continuous Monitoring,DE.CM-01,Systems and networks are monitored,direct,High,High,Both require monitoring of system activity through audit logs to find adverse events,NIST SP 800-66r2,5.1.1,33,REL-HIPAA-RS-IAR-001-NIST-DE.CM-01,2026-01-10,HIPAA_Framework_Mapper
